
[00:00:00.000 --> 00:00:02.800]  今天我們開始講到基督論
[00:00:02.800 --> 00:00:05.240]  我覺得這個題目非常有趣
[00:00:05.240 --> 00:00:07.800]  我覺得這個題目是非常重要
[00:00:07.800 --> 00:00:10.320]  我們遇到這個末日來的時候
[00:00:10.320 --> 00:00:12.320]  就越有許多的疑端
[00:00:12.320 --> 00:00:16.440]  我們知道趁這個末日就有很多的疑端
[00:00:16.440 --> 00:00:22.840]  這些疑端都是對耶穌基督本身本人
[00:00:22.840 --> 00:00:25.200]  祂的位階、祂的身世
[00:00:25.200 --> 00:00:27.200]  一切都有問題
[00:00:27.200 --> 00:00:30.720]  這些疑端都是對耶穌基督的一生
[00:00:30.720 --> 00:00:33.920]  祂的位格、祂的神性都有問題
[00:00:33.920 --> 00:00:37.200]  所以我覺得我們相信主耶穌的人
[00:00:37.200 --> 00:00:40.480]  我們對於主耶穌要有一個清楚的認識
[00:00:40.480 --> 00:00:42.080]  所以我們信主耶穌的人
[00:00:42.080 --> 00:00:45.160]  對於我們的主耶穌應該有一個清楚的認識
[00:00:45.160 --> 00:00:47.960]  還有一方面我們查考聖經
[00:00:47.960 --> 00:00:50.080]  還有一方面我們查考聖經
[00:00:50.080 --> 00:00:54.320]  我們發覺神在他的心裏面
[00:00:54.320 --> 00:00:56.440]  是最注重主耶穌
[00:00:56.440 --> 00:00:58.440]  我們發覺在神的心裏面
[00:00:58.440 --> 00:01:00.440]  是最注重主耶穌
[00:01:00.440 --> 00:01:03.240]  在他的一切的計劃裏面
[00:01:03.240 --> 00:01:06.640]  他以耶穌為中心
[00:01:06.640 --> 00:01:08.320]  在他一切的計劃裏面
[00:01:08.320 --> 00:01:10.320]  是以耶穌為中心
[00:01:10.320 --> 00:01:12.840]  我們這八次的講道
[00:01:12.840 --> 00:01:14.840]  我們這八次的講道
[00:01:14.840 --> 00:01:19.920]  我們願意陸續地講有系統的信息
[00:01:19.920 --> 00:01:23.640]  我們希望陸續地講有系統的信息
[00:01:23.640 --> 00:01:26.880]  今天我們講到先存的基督
[00:01:26.880 --> 00:01:29.680]  今天我們要講到先存的基督
[00:01:29.680 --> 00:01:33.360]  就是說在創立世界以前就有了主耶穌
[00:01:33.360 --> 00:01:37.520]  就是說在創立世界以前就已經有了主耶穌
[00:01:37.520 --> 00:01:41.760]  明天我們講到舊約裏面的基督
[00:01:41.760 --> 00:01:44.760]  明天我們要講到舊約裏面的基督
[00:01:44.760 --> 00:01:49.840]  第三次我們講到道成無神的信息
[00:01:49.840 --> 00:01:53.240]  第三次我們要講到道成肉身的這個信息
[00:01:53.240 --> 00:01:56.240]  第四就是基督的恩惠
[00:01:56.240 --> 00:01:58.840]  第四我們要講到基督的恩惠
[00:01:58.840 --> 00:02:00.840]  第五就是基督的保鮮
[00:02:00.840 --> 00:02:02.840]  第五我們要講到基督的補血
[00:02:02.840 --> 00:02:05.120]  第六是基督的十字架
[00:02:05.120 --> 00:02:07.440]  第六我們講基督的十字架
[00:02:07.440 --> 00:02:10.320]  第七是不禍於生天的耶穌
[00:02:10.320 --> 00:02:13.320]  第七是講到復活於聖天的耶穌
[00:02:13.320 --> 00:02:15.920]  第八就是再來為王的耶穌
[00:02:15.920 --> 00:02:18.640]  第八就是再來為王的耶穌
[00:02:18.640 --> 00:02:25.640]  希望大家能夠一路地來聽真正的有系統的信息
[00:02:25.640 --> 00:02:28.040]  我們希望各位每次都來
[00:02:28.040 --> 00:02:32.040]  能夠參加聽這個整個有系統的信息
[00:02:32.040 --> 00:02:40.240]  在聖經裏面從舊約起
[00:02:40.240 --> 00:02:45.440]  都有關於將來有一位彌賽亞要來的
[00:02:45.440 --> 00:02:49.440]  講及到將來有一位彌賽亞要來的
[00:02:49.440 --> 00:02:58.240]  耶穌要為要向外邦人也有召聚也有聖召
[00:02:58.240 --> 00:03:02.440]  這個神向外邦人也有焦聚
[00:03:02.440 --> 00:03:09.440]  但是在新約裏面才有關於基督與教會的信息
[00:03:09.440 --> 00:03:14.440]  但是在新約裏面然後才有講到有教會的信息
[00:03:14.440 --> 00:03:21.040]  使徒保羅稱之為基督的奧秘
[00:03:21.040 --> 00:03:25.840]  請我們翻譯福音書書第三章
[00:03:25.840 --> 00:03:29.640]  從三節到六節
[00:03:29.640 --> 00:03:32.040]  請讓我們試念
[00:03:32.040 --> 00:03:34.440]  以福音書書第三章三到六節
[00:03:34.440 --> 00:03:38.040]  用啟示使我知道福音的奧秘
[00:03:38.040 --> 00:03:40.440]  正如我以前略略寫過的
[00:03:40.440 --> 00:03:44.440]  你們念了就能曉得我心知基督的奧秘
[00:03:44.440 --> 00:03:48.440]  這奧秘在以前的世代沒有叫人知道
[00:03:48.440 --> 00:03:53.040]  像如今直著聖靈啟示他的正是徒和先之一樣
[00:03:53.040 --> 00:03:56.440]  這奧秘就像外邦人在基督耶穌裏
[00:03:56.440 --> 00:03:58.840]  直著福音得以同為後世
[00:03:58.840 --> 00:04:02.440]  同為一體同蒙應許
[00:04:02.440 --> 00:04:07.440]  意思就是說我們外邦人要和猶太人
[00:04:07.440 --> 00:04:10.840]  一起成為神的身體
[00:04:10.840 --> 00:04:13.840]  意思就是說我們外邦人和猶太人
[00:04:13.840 --> 00:04:18.440]  一起成為耶穌的身體
[00:04:18.440 --> 00:04:22.240]  同為教會
[00:04:22.240 --> 00:04:25.240]  這是教育裏面所沒有的信息
[00:04:25.240 --> 00:04:27.840]  這是教育裏面所沒有的信息
[00:04:27.840 --> 00:04:34.040]  這個信息其實也是特別的教給使徒保羅的
[00:04:34.040 --> 00:04:38.440]  這個啟示也是神特別的教給使徒保羅的
[00:04:38.440 --> 00:04:42.640]  我們感謝贊美主在他的恩兆裏面
[00:04:42.640 --> 00:04:45.040]  我們這樣有了一份
[00:04:45.040 --> 00:04:47.840]  我們感謝贊美主在他的恩兆裏面
[00:04:47.840 --> 00:04:49.840]  我們有了這樣一份
[00:04:49.840 --> 00:04:54.040]  使徒保羅講到我們做了基督徒
[00:04:54.040 --> 00:04:56.640]  使徒保羅說到我們做了基督徒
[00:04:56.640 --> 00:05:00.640]  我們就被帶入了基督耶穌的身體
