
[00:00:00.000 --> 00:00:03.500]  今天是說哥林多後書第二次的時間
[00:00:03.500 --> 00:00:07.000]  整個哥林多後書是說到保羅
[00:00:07.000 --> 00:00:13.000]  在這段書信裏表達他自己怎樣
[00:00:13.000 --> 00:00:15.000]  我試試
[00:00:15.000 --> 00:00:18.000]  1,2,3,好,這個好
[00:00:18.000 --> 00:00:25.000]  保羅是藉著這段書去表達作為一個上帝的僕人
[00:00:25.000 --> 00:00:27.000]  應該有的心態是怎樣
[00:00:27.500 --> 00:00:32.000]  而且保羅,正如我上次所說,保羅寫很多書信的時候
[00:00:32.000 --> 00:00:34.000]  他不是在一間冷氣房裏面寫
[00:00:34.000 --> 00:00:37.000]  而是在一個艱難的處境裏面
[00:00:37.000 --> 00:00:42.000]  或者面對很多的衝擊,面對很多挑戰的情況當中
[00:00:42.000 --> 00:00:45.000]  去表達作為一個跟從上帝的人
[00:00:45.000 --> 00:00:49.000]  應該有的態度和行動
[00:00:49.000 --> 00:00:56.000]  剛才所讀的一段經文是哥林多後書第一章十二召二十二節
[00:00:56.500 --> 00:01:02.000]  整個經文其實是處理當時保羅面對一個問題
[00:01:02.000 --> 00:01:05.000]  在哥林多前書的十六章結尾
[00:01:05.000 --> 00:01:10.000]  即是哥林多前書裏面說到保羅是想著去馬其頓
[00:01:10.000 --> 00:01:15.000]  接著馬其頓就去哥林多這個地方,這個教會
[00:01:15.000 --> 00:01:19.000]  會停一段時間和他們同住,可以說是過一個冬天
[00:01:19.000 --> 00:01:25.000]  接著,因著某些原因,保羅改了他的行程
[00:01:25.500 --> 00:01:28.000]  沒有說什麼原因,不過改了行程,反過來
[00:01:28.000 --> 00:01:33.000]  就是說他先經過哥林多,接著去到馬其頓
[00:01:33.000 --> 00:01:39.000]  接著去到馬其頓,再回來哥林多這個地方,再探望他們
[00:01:39.000 --> 00:01:46.000]  也在這個時間裏面,會為當中,因為哥林多教會
[00:01:46.000 --> 00:01:49.000]  去為耶路撒冷教會的信徒有的捐獻
[00:01:49.000 --> 00:01:55.000]  他經過的時候,就會順道將一些奉獻帶回耶路撒冷的教會
[00:01:55.000 --> 00:01:59.500]  保羅和哥林多教會的問題,可以說是衝擊
[00:01:59.500 --> 00:02:04.500]  就在這件事裏面開始,或是誤會,是由此而起
[00:02:04.500 --> 00:02:13.500]  保羅是經過哥林多的時候,他沒有和一班信徒在當中
[00:02:13.500 --> 00:02:20.500]  很快就經過,而回來的時候,也沒有停在哥林多裏面
[00:02:21.000 --> 00:02:26.500]  就是因為這個原因,所以哥林多教會的信徒引來很多的不滿
[00:02:26.500 --> 00:02:33.500]  不滿保羅,為什麼你說過不算數,為什麼你說過不做
[00:02:33.500 --> 00:02:38.500]  從這裏去質疑保羅的誠信
[00:02:38.500 --> 00:02:44.500]  在這裏,保羅也有一個解釋,他本來一開始的時候
[00:02:44.500 --> 00:02:48.500]  是預備去探訪哥林多的教會,是一次
[00:02:49.000 --> 00:02:56.500]  然後改了,可以說是在改變裏面,先經過哥林多,然後就拍一次
[00:02:56.500 --> 00:03:02.500]  再去馬其頓,馬其頓再回來哥林多,就是兩次
[00:03:02.500 --> 00:03:04.500]  一來一回其實是探訪他們兩次
[00:03:04.500 --> 00:03:14.500]  不過可惜這個安排都不成事,沒有完成到保羅這個計劃
[00:03:15.000 --> 00:03:22.500]  保羅在這裏的解釋是,極可能是因為上一次他在哥林多,去到哥林多教會的時候
[00:03:22.500 --> 00:03:30.500]  受到哥林多教會的信徒相當不好的對待,叫他傷心流淚,可以說是很痛心
[00:03:30.500 --> 00:03:35.500]  保羅在這裏不想再去的時候,受到同樣的對待
[00:03:35.500 --> 00:03:40.500]  另一方面,保羅也說,他不想再去探訪哥林多教會的時候
[00:03:41.000 --> 00:03:46.500]  一班哥林多的信徒會有任何的憂愁難過
[00:03:46.500 --> 00:03:51.500]  這個是保羅在第二章裏面一開始就說出的原因
[00:03:51.500 --> 00:03:58.500]  所以他就放棄了這個計劃,並且他定了的心意是什麼呢?
[00:03:58.500 --> 00:04:04.500]  就是當我再到你們中間的時候,必須大家都沒有憂愁
[00:04:04.500 --> 00:04:09.500]  就是大家都是見面的時候,大家都是開心,而不會有憂愁
[00:04:10.000 --> 00:04:14.500]  所以這個才是保羅改變這個行程的原因
[00:04:14.500 --> 00:04:21.500]  無論如何,保羅的計劃明顯是為了哥林多教會信徒的好處
[00:04:21.500 --> 00:04:26.500]  而不是憑自己的感覺的喜好而去做這個決定
[00:04:26.500 --> 00:04:31.500]  他的決定裏面就是去探訪他們,這個時間去探訪
[00:04:31.500 --> 00:04:37.500]  對自己,對哥林多教會的信徒都不好,所以去改變這個行程
[00:04:38.000 --> 00:04:44.500]  而不是出於自己個人喜歡就做,不喜歡就不做的態度
[00:04:44.500 --> 00:04:48.500]  所以保羅說他的決定不是出於自己的情慾
[00:04:48.500 --> 00:04:53.500]  這個是保羅對自己的一個辯解
[00:04:53.500 --> 00:05:00.500]  在這整段經文裏面可以說可以看見保羅整個心情
[00:05:00.500 --> 00:05:07.500]  嚴格來說不是為了自己的好處,而是為了哥林多教會信徒的好處
[00:05:07.500 --> 00:05:15.000]  亦都另一方面看到保羅他看見自己作為一個傳道者和福音之間的關係
[00:05:15.000 --> 00:05:22.000]  他的言行和態度和所講的福音是言行一致的
[00:05:22.000 --> 00:05:27.000]  保羅的行程的改變就引起了哥林多教會的信徒
[00:05:27.000 --> 00:05:32.000]  對保羅所傳的福音的質疑
[00:05:32.500 --> 00:05:41.000]  接著保羅在說福音和保羅某程度可以說兩者是分不開的
