
[00:00:00.000 --> 00:00:02.800]  我們今天再次上到弟兄姊妹之間
[00:00:02.800 --> 00:00:05.300]  我們團契生活的聖經的教導
[00:00:05.300 --> 00:00:09.000]  大家一起再揭開羅馬書第十五章
[00:00:09.000 --> 00:00:12.000]  聖經提及的彼此的擔當
[00:00:12.000 --> 00:00:14.000]  彼此的接納
[00:00:14.000 --> 00:00:17.000]  當講到接納的時候
[00:00:17.000 --> 00:00:19.000]  我就想起一件事情
[00:00:19.000 --> 00:00:24.000]  這件事情似乎是一些好像比較悲哀的事情
[00:00:24.000 --> 00:00:25.500]  但我想起這件事的時候
[00:00:25.500 --> 00:00:28.000]  都帶給我自己很多的提醒
[00:00:28.000 --> 00:00:33.000]  早前有一個新聞是在印度發生的
[00:00:33.000 --> 00:00:36.000]  一件事情是當時有一對年輕的夫婦
[00:00:36.000 --> 00:00:39.000]  丈夫二十二歲新婚
[00:00:39.000 --> 00:00:43.000]  兩個人在商場裏面行動的時候
[00:00:43.000 --> 00:00:46.000]  突然間出現了有十一個人
[00:00:46.000 --> 00:00:50.000]  拿著刀走過去斬傷他們
[00:00:50.000 --> 00:00:51.000]  斬殺他們
[00:00:51.000 --> 00:00:54.000]  這位丈夫很愛惜太太
[00:00:54.000 --> 00:00:56.000]  就用身來保護太太
[00:00:56.000 --> 00:00:59.000]  而他身上中了很多刀
[00:00:59.000 --> 00:01:02.000]  所以後來他因為失血過多而死
[00:01:02.000 --> 00:01:04.000]  大家很驚愕
[00:01:04.000 --> 00:01:05.000]  發生什麼事呢?
[00:01:05.000 --> 00:01:07.000]  但後來發現這十一個人當中
[00:01:07.000 --> 00:01:12.000]  其中六個是一位太太的家人
[00:01:12.000 --> 00:01:15.000]  是她的爸爸媽媽的兄弟姊妹
[00:01:15.000 --> 00:01:18.000]  你說家人怎會去斬殺自己的子女
[00:01:18.000 --> 00:01:20.000]  自己的女婿
[00:01:20.000 --> 00:01:22.000]  原來在印度
[00:01:22.000 --> 00:01:23.000]  大家可能都留意到
[00:01:23.000 --> 00:01:25.000]  有一個特別的制度
[00:01:25.000 --> 00:01:28.000]  就是一些種姓的制度
[00:01:28.000 --> 00:01:31.000]  很多人被分為高級、低級、中級
[00:01:31.000 --> 00:01:33.000]  很多不同的級別
[00:01:33.000 --> 00:01:37.000]  而這個男孩是屬於一個最低下層的
[00:01:37.000 --> 00:01:41.000]  所謂賤民級的種姓
[00:01:41.000 --> 00:01:46.000]  但他的太太是屬於一些高級的種姓
[00:01:46.000 --> 00:01:49.000]  而他們的家庭很有財富
[00:01:49.000 --> 00:01:52.000]  但這個女孩很接納這個男孩
[00:01:52.000 --> 00:01:53.000]  因此跟他結婚
[00:01:53.000 --> 00:01:56.000]  但家庭不能夠接納
[00:01:56.000 --> 00:01:59.000]  因此他們用所謂榮耀殺人的方式
[00:01:59.000 --> 00:02:01.000]  走到商場裏一起
[00:02:01.000 --> 00:02:04.000]  把這個女婿殺死
[00:02:04.000 --> 00:02:06.000]  後來他們被捉拿
[00:02:06.000 --> 00:02:09.000]  很多被判死刑
[00:02:09.000 --> 00:02:11.000]  整件事一直看的時候
[00:02:11.000 --> 00:02:12.000]  很難明白
[00:02:12.000 --> 00:02:15.000]  為什麼這個時代還有這樣的事情
[00:02:15.000 --> 00:02:16.000]  但在想的時候
[00:02:16.000 --> 00:02:20.000]  背後其實是一種不接納開始
[00:02:20.000 --> 00:02:21.000]  不接納
[00:02:21.000 --> 00:02:23.000]  這個人好像比我們低級
[00:02:23.000 --> 00:02:26.000]  比我們卑微、卑賤
[00:02:26.000 --> 00:02:30.000]  所以不能夠接受他成為了家中的一員
[00:02:30.000 --> 00:02:31.000]  因此排斥他
[00:02:31.000 --> 00:02:34.000]  甚至要去殺了他
[00:02:34.000 --> 00:02:39.000]  一種不接納可以產生一種仇殺
[00:02:39.000 --> 00:02:44.000]  那種不接納帶來的後果可以是這麼嚴重
[00:02:44.000 --> 00:02:46.000]  當我想起這些事情的時候
[00:02:46.000 --> 00:02:50.000]  就想起《聖經》裏面不斷面對弟兄姊妹之間
[00:02:50.000 --> 00:02:53.000]  是要彼此的接納
[00:02:53.000 --> 00:02:58.000]  彼此的接納當然不表示所有他的事情
[00:02:58.000 --> 00:03:01.000]  我們去認同就等於接納
[00:03:01.000 --> 00:03:03.000]  他有一些事情犯錯了
