
[00:00:00.000 --> 00:00:05.480]  宣讀《創世紀》第29章第1到35節
[00:00:05.480 --> 00:00:10.400]  雅各起行到了東方人之地
[00:00:10.400 --> 00:00:12.200]  他觀看
[00:00:12.200 --> 00:00:15.200]  看啊 田間有一口井
[00:00:15.200 --> 00:00:19.400]  看啊 有三群羊臥在井旁
[00:00:19.400 --> 00:00:24.200]  因為人都去拿井里的水給羊喝
[00:00:24.200 --> 00:00:28.000]  井口上的那塊石頭很大
[00:00:28.000 --> 00:00:31.000]  羊群都在那裡聚集
[00:00:31.000 --> 00:00:36.000]  人就把石頭移開井口取水給羊喝
[00:00:36.000 --> 00:00:41.000]  然後又把石頭放回井口原處
[00:00:41.000 --> 00:00:44.000]  雅各對他們說
[00:00:44.000 --> 00:00:47.000]  弟兄們 你們從哪裡來
[00:00:47.000 --> 00:00:51.000]  他們說 我們是從哈蘭來的
[00:00:51.000 --> 00:00:53.000]  他對他們說
[00:00:53.000 --> 00:00:56.000]  你們認識拿鶴的孫子拉班嗎
[00:00:56.000 --> 00:00:59.000]  他們說 我們認識
[00:00:59.000 --> 00:01:04.000]  雅各對他們說 他平安嗎
[00:01:04.000 --> 00:01:07.000]  他們說 平安
[00:01:07.000 --> 00:01:12.000]  看啊 他女兒拉節和羊一起來了
[00:01:12.000 --> 00:01:15.000]  雅各說 看啊
[00:01:15.000 --> 00:01:19.000]  日正當中不是牲畜聚集的時候
[00:01:19.000 --> 00:01:23.000]  你們取水給羊喝 再去放牧吧
[00:01:23.000 --> 00:01:26.000]  他們說 我們不能這樣
[00:01:26.000 --> 00:01:29.000]  必須等所有的羊群聚集
[00:01:29.000 --> 00:01:32.000]  人把石頭移開井口
[00:01:32.000 --> 00:01:36.000]  我們才可以取水給羊喝
[00:01:36.000 --> 00:01:39.000]  雅各正和他們說話的時候
[00:01:39.000 --> 00:01:42.000]  拉節和他父親的羊來了
[00:01:42.000 --> 00:01:45.000]  因為他是牧羊的
[00:01:45.000 --> 00:01:50.000]  雅各看見他舅父拉班的女兒拉節
[00:01:50.000 --> 00:01:52.000]  和舅父拉班的羊群
[00:01:52.000 --> 00:01:56.000]  就上前把石頭移開井口
[00:01:56.000 --> 00:02:00.000]  取水給舅父拉班的羊喝
[00:02:00.000 --> 00:02:05.000]  雅各親了拉節就放聲大哭
[00:02:05.000 --> 00:02:08.000]  雅各告訴拉節
[00:02:08.000 --> 00:02:10.000]  自己是他父親的親戚
[00:02:10.000 --> 00:02:13.000]  是利百家的兒子
[00:02:13.000 --> 00:02:17.000]  拉節就跑去告訴他父親
[00:02:17.000 --> 00:02:22.000]  拉班聽見外甥雅各的消息
[00:02:22.000 --> 00:02:27.000]  就跑去迎接他 抱著他 親他
[00:02:27.000 --> 00:02:30.000]  帶他到自己的家
[00:02:30.000 --> 00:02:35.000]  雅各把這一切的事告訴拉班
[00:02:35.000 --> 00:02:37.000]  拉班對他說
[00:02:37.000 --> 00:02:41.000]  你實在是我的骨肉
[00:02:41.000 --> 00:02:46.000]  雅各就和他同住了一個月
[00:02:46.000 --> 00:02:49.000]  拉班對雅各說
[00:02:49.000 --> 00:02:52.000]  雖然你是我的親戚
[00:02:52.000 --> 00:02:56.000]  怎麼可以讓你白白服侍我呢
[00:02:56.000 --> 00:03:01.000]  告訴我 你要什麼做工資呢
[00:03:01.000 --> 00:03:03.000]  拉班有兩個女兒
[00:03:03.000 --> 00:03:07.000]  大的名叫麗雅 小的名叫拉節
[00:03:07.000 --> 00:03:10.000]  麗雅的雙眼無神
[00:03:10.000 --> 00:03:14.000]  拉節卻長得美貌秀麗
[00:03:14.000 --> 00:03:17.000]  雅各愛拉節就說
[00:03:17.000 --> 00:03:21.000]  我願為你的小女兒拉節
