
[00:00:00.000 --> 00:00:04.000]  各位弟兄姐妹平安。
[00:00:04.000 --> 00:00:08.000]  我們的復活是怎樣的呢?
[00:00:08.000 --> 00:00:12.000]  有一次,有一間小學,
[00:00:12.000 --> 00:00:16.000]  有個小學生剛剛坐在窗邊,
[00:00:16.000 --> 00:00:20.000]  看到一些樹枝貼近窗邊,
[00:00:20.000 --> 00:00:24.000]  他發現有些蟲,
[00:00:24.000 --> 00:00:28.000]  他留意了幾天,
[00:00:28.000 --> 00:00:32.000]  突然間,毛蟲死了,
[00:00:32.000 --> 00:00:35.000]  有些殼包住了他,
[00:00:35.000 --> 00:00:38.000]  他不知道變成了蛹,
[00:00:38.000 --> 00:00:41.000]  但過了幾天之後,
[00:00:41.000 --> 00:00:45.000]  他留意到殼在動,
[00:00:45.000 --> 00:00:48.000]  他一直看的時候,
[00:00:48.000 --> 00:00:54.000]  突然間發現蟲咬穿了殼,
[00:00:54.000 --> 00:00:58.000]  一隻蝴蝶出現,
[00:00:58.000 --> 00:01:01.000]  抖動翅膀,
[00:01:01.000 --> 00:01:03.000]  一伸開,
[00:01:03.000 --> 00:01:06.000]  一隻很美麗的蝴蝶,
[00:01:06.000 --> 00:01:11.000]  因此忍不住撞嚇同學,
[00:01:11.000 --> 00:01:14.000]  蝴蝶呀,蝴蝶呀,
[00:01:14.000 --> 00:01:17.000]  剛剛出來呀,
[00:01:17.000 --> 00:01:21.000]  老師立刻指著他,
[00:01:21.000 --> 00:01:24.000]  同學聽書,
[00:01:24.000 --> 00:01:27.000]  看什麼呀你,
[00:01:27.000 --> 00:01:32.000]  這個小學生很開心站起來,
[00:01:32.000 --> 00:01:36.000]  一臉興奮的神態,
[00:01:36.000 --> 00:01:41.000]  我看著蟲變成蝴蝶了,
[00:01:41.000 --> 00:01:44.000]  老師看一看,
[00:01:44.000 --> 00:01:47.000]  經常都有的呀,
[00:01:47.000 --> 00:01:50.000]  有什麼這麼驚奇呀,
[00:01:50.000 --> 00:01:54.000]  坐下聽課,
[00:01:54.000 --> 00:01:58.000]  坐下聽課,
[00:01:58.000 --> 00:02:06.000]  有些時候我們太習慣了聽復活的事,
[00:02:06.000 --> 00:02:11.000]  常常讀聖經說我們有一天會復活,
[00:02:11.000 --> 00:02:14.000]  我們覺得很平常,
[00:02:14.000 --> 00:02:18.000]  我們失去了那種興奮,
[00:02:18.000 --> 00:02:20.000]  或者不懂得去反復思想,
[00:02:20.000 --> 00:02:27.000]  其中那種生命的意義在哪裡,
[00:02:27.000 --> 00:02:32.000]  可能我們太忙於我們日常的事情,
[00:02:32.000 --> 00:02:33.000]  我們不太理會到,
