
[00:00:00.000 --> 00:00:02.000]  今年教會的主題就是
[00:00:02.000 --> 00:00:05.520]  敬畏上帝 享受生命
[00:00:05.520 --> 00:00:08.240]  在40天生命更新之旅的過程裏
[00:00:08.240 --> 00:00:10.400]  我們講全道書
[00:00:10.400 --> 00:00:12.720]  讓我們認識這個主題
[00:00:12.720 --> 00:00:17.720]  接著在今年的每一個月的第一個主日
[00:00:17.720 --> 00:00:20.360]  我們都會延續這個主題為主
[00:00:20.360 --> 00:00:22.360]  去講什麼是敬畏上帝
[00:00:22.360 --> 00:00:24.680]  什麼是享受生命
[00:00:24.680 --> 00:00:26.320]  剛才我們所讀的經文
[00:00:26.320 --> 00:00:30.560]  在《以賽亞書》的第六章第一至十三節
[00:00:30.560 --> 00:00:34.760]  這段內容其實是真的能夠幫助我們去明白
[00:00:34.760 --> 00:00:38.800]  或者了解什麼是敬畏上帝
[00:00:38.800 --> 00:00:41.280]  以賽亞的先知
[00:00:41.280 --> 00:00:48.200]  其實他在大約主前740年這個期間做先知
[00:00:48.200 --> 00:00:50.600]  或者之前再多一兩年
[00:00:50.600 --> 00:00:56.800]  接著主前的698年左右
[00:00:56.800 --> 00:00:58.400]  他就離開了世界
[00:00:58.400 --> 00:01:03.280]  所以他做先知的年紀大約有40多年的時間
[00:01:03.280 --> 00:01:07.040]  他的太太其實也是一個先知
[00:01:07.040 --> 00:01:10.080]  在他再生的年日
[00:01:10.080 --> 00:01:14.040]  可以說是歷時幾朝的皇帝
[00:01:14.040 --> 00:01:15.920]  他未做先知之前
[00:01:15.920 --> 00:01:20.080]  他基本上在宮廷裏面做一個使觀
[00:01:20.080 --> 00:01:23.920]  去記錄著皇帝的事蹟
[00:01:23.920 --> 00:01:28.200]  所以其實他是在幫助烏西亞王
[00:01:28.200 --> 00:01:31.360]  去寫他的當政歷史
[00:01:31.360 --> 00:01:33.080]  這個就是他的背景
[00:01:33.080 --> 00:01:34.440]  在背景裏面
[00:01:34.440 --> 00:01:37.560]  他就在第六章開始
[00:01:37.560 --> 00:01:39.280]  他就講了一件事
[00:01:39.280 --> 00:01:41.800]  或者在一個很特殊的時刻
[00:01:41.800 --> 00:01:44.800]  他見到一個很特別的一個異象
[00:01:44.800 --> 00:01:47.400]  在第六章第一節這樣說
[00:01:47.400 --> 00:01:49.880]  當烏西亞王崩的那一年
[00:01:49.880 --> 00:01:52.760]  我見主坐在高高的寶座上
[00:01:52.760 --> 00:01:54.640]  他的衣裳垂下
[00:01:54.640 --> 00:01:58.120]  遮滿聖殿
[00:01:58.120 --> 00:01:58.960]  在這裏
[00:01:58.960 --> 00:02:02.520]  他講烏西亞王崩死的那一年
[00:02:02.520 --> 00:02:05.720]  大約是在主前的740年
[00:02:05.720 --> 00:02:11.720]  他結束了52年做君主的地位
[00:02:11.720 --> 00:02:14.560]  不是很短的時間 52年
[00:02:14.560 --> 00:02:16.120]  在他在位的期間
[00:02:16.120 --> 00:02:19.640]  其實他可以說是勵精圖治
[00:02:19.640 --> 00:02:25.440]  他收復了大部分在大衛和所羅門之後
[00:02:25.440 --> 00:02:27.720]  那些皇帝失去一些的土地
[00:02:27.720 --> 00:02:30.360]  他基本上都收復了
[00:02:30.360 --> 00:02:32.520]  在國家的內部
[00:02:32.520 --> 00:02:36.960]  經濟的活動相當繁榮
[00:02:36.960 --> 00:02:41.480]  可以說他令到自己統治的人民
[00:02:41.480 --> 00:02:43.280]  國泰民安
[00:02:43.280 --> 00:02:46.840]  是一個強盛的君主
[00:02:46.840 --> 00:02:49.240]  不過在烏西亞晚年的時候
[00:02:49.240 --> 00:02:51.800]  其實可以說他晚節不保
[00:02:51.800 --> 00:02:54.760]  也許他因為自己的強盛
[00:02:54.760 --> 00:02:56.240]  心高氣傲
[00:02:56.240 --> 00:02:59.720]  他就進入聖殿裏面去燒香
[00:02:59.720 --> 00:03:01.400]  他聖殿燒香這個行動
[00:03:01.400 --> 00:03:03.600]  其實應該是祭司去做的
[00:03:03.600 --> 00:03:06.080]  但是他不理是誰
