
[00:00:00.000 --> 00:00:02.360]  宗子妹平安
[00:00:02.360 --> 00:00:04.480]  今天好紧张
[00:00:04.480 --> 00:00:07.440]  好像刚刚出道的时候
[00:00:07.440 --> 00:00:08.160]  为什么呢
[00:00:08.160 --> 00:00:11.800]  因为从2019年开始到现在
[00:00:11.800 --> 00:00:15.760]  我已经很多年没有用普通话讲道
[00:00:15.760 --> 00:00:21.600]  那还有一个很大的原因就是因为我是在这里长大的
[00:00:21.600 --> 00:00:22.920]  以前在这里啊
[00:00:22.920 --> 00:00:24.480]  就是我们崇拜呀
[00:00:24.480 --> 00:00:27.440]  团庆的地方能够站在这里
[00:00:27.440 --> 00:00:31.320]  我觉得真的是末代的 末大的恩典
[00:00:31.320 --> 00:00:33.000]  也是我多年祷告
[00:00:33.000 --> 00:00:39.120]  我说我希望有一天我能够回到我的母会去讲道
[00:00:39.120 --> 00:00:42.920]  虽然现在这里不是虚博论堂
[00:00:42.920 --> 00:00:45.080]  是恩教堂
[00:00:45.080 --> 00:00:49.520]  但是因为它跟我的意象很有关系
[00:00:49.520 --> 00:00:52.920]  很多年前我读神学的时候
[00:00:52.920 --> 00:00:54.680]  我得到一个意象
[00:00:54.680 --> 00:00:59.080]  就是要到中国内地去培训 培灵
[00:00:59.080 --> 00:01:02.280]  所以我就一直在中国服侍
[00:01:02.280 --> 00:01:07.080]  直到2019年发生了一些事就不能去了
[00:01:07.080 --> 00:01:11.080]  那现在能够在这里用普通话讲道
[00:01:11.080 --> 00:01:13.720]  真的是恩上加恩
[00:01:13.720 --> 00:01:17.960]  盼望大家能够为我的普通话祷告
[00:01:17.960 --> 00:01:19.560]  不要说不明白
[00:01:19.560 --> 00:01:21.120]  大家听不明白
[00:01:21.120 --> 00:01:23.200]  那我就有罪了
[00:01:23.200 --> 00:01:25.640]  那我今天要讲的经文
[00:01:25.640 --> 00:01:27.880]  刚刚读经元
[00:01:27.880 --> 00:01:32.240]  帮我们读真的读得很漂亮
[00:01:32.240 --> 00:01:36.280]  我相信弟兄应该是北京人对吧
[00:01:36.280 --> 00:01:37.280]  不是
[00:01:37.280 --> 00:01:39.560]  那为什么你讲得那么好
[00:01:39.560 --> 00:01:41.640]  好厉害哦 好厉害
[00:01:41.640 --> 00:01:44.040]  那你刚刚一边读的时候
[00:01:44.040 --> 00:01:47.680]  我就一边在台下跟你学
[00:01:47.680 --> 00:01:52.480]  那希望今天万事互相效力
[00:01:52.480 --> 00:01:54.920]  那恩乔堂的联题是什么呢
[00:01:54.920 --> 00:01:58.400]  是新的意象 新的启航
[00:01:58.400 --> 00:02:01.000]  圣经中首次用意象这个字
[00:02:01.000 --> 00:02:04.760]  是在《创世纪》15章1节
[00:02:04.760 --> 00:02:08.120]  这世以后 耶和华在意象中
[00:02:08.120 --> 00:02:10.400]  有话对亚伯兰说
[00:02:10.400 --> 00:02:12.560]  亚伯兰 你不要惧怕
[00:02:12.560 --> 00:02:14.360]  我是你的盾牌
[00:02:14.360 --> 00:02:16.760]  必大大的赏赐你
[00:02:16.760 --> 00:02:19.920]  而亚伯兰就好像我们一样
