
[00:00:00.000 --> 00:00:10.320]  請大家低頭禱告。
[00:00:10.320 --> 00:00:21.680]  天父我們感謝祢,因為祢願意萬人得救,不願意一個人沉淪。
[00:00:21.680 --> 00:00:27.640]  求祢幫助我們體會祢的心,
[00:00:27.640 --> 00:00:33.600]  讓我們也能夠胸懷世界。
[00:00:33.600 --> 00:00:39.680]  求主將負擔加給我們每一個人,
[00:00:39.680 --> 00:00:44.400]  將關心加給我們每一個人,
[00:00:44.400 --> 00:00:52.520]  讓我們能夠同心合意地擔起祢給我們的大使命。
[00:00:52.520 --> 00:00:56.960]  求主將我們的心擴大,
[00:00:56.960 --> 00:01:00.600]  將我們的愛加深,
[00:01:00.600 --> 00:01:04.600]  願意追隨我們的主。
[00:01:04.600 --> 00:01:14.200]  求主藉著聖經向我們每一個人心裡說話,
[00:01:14.200 --> 00:01:22.960]  讓每一個人心中的深處都有所領受。
[00:01:22.960 --> 00:01:27.800]  我們這樣禱告,奉主耶穌基督的名。
[00:01:27.800 --> 00:01:30.280]  阿們。
[00:01:30.280 --> 00:01:42.520]  感謝主帶我回到北宣家參與唐慶和差傳年會。
[00:01:42.520 --> 00:01:48.040]  感謝神多年來在差傳上使用北宣家。
[00:01:48.040 --> 00:01:57.000]  我相信主在以後的日子會更多地、加倍地、多倍地使用。
[00:01:57.000 --> 00:02:02.680]  有人說得很好,
[00:02:02.680 --> 00:02:08.600]  說差傳是神的心,
[00:02:08.600 --> 00:02:12.600]  不是說差傳是神的心意,
[00:02:12.600 --> 00:02:16.040]  而是說神的心。
[00:02:16.040 --> 00:02:22.440]  我們真是願意摸到神這一顆心,
[00:02:22.440 --> 00:02:27.960]  但是在我們摸到神的心之前,
[00:02:27.960 --> 00:02:33.640]  我們必須先讓神摸到我們的心。
[00:02:33.640 --> 00:02:39.880]  如果神摸到我們的心,我們就會體會祂的心了。
[00:02:39.880 --> 00:02:43.480]  神願意萬人得救,
[00:02:43.480 --> 00:02:47.160]  不願意一個人沉淪。
[00:02:47.160 --> 00:02:50.760]  所以神的心是差傳,
[00:02:50.760 --> 00:02:53.960]  不願意一人沉淪。
