
[00:00:00.000 --> 00:00:02.840]  大家打開聖經詩篇三十三篇
[00:00:02.840 --> 00:00:03.920]  我們思想就是
[00:00:03.920 --> 00:00:05.560]  仰望主持我的人
[00:00:05.560 --> 00:00:08.320]  是會時常的歡樂的
[00:00:08.320 --> 00:00:12.680]  我相信大家在農曆新年的時候
[00:00:12.680 --> 00:00:14.880]  都會去買一些蓮花
[00:00:14.880 --> 00:00:17.600]  或者會有一些佈置
[00:00:17.600 --> 00:00:19.000]  很多中國人會歡喜
[00:00:19.000 --> 00:00:22.840]  透過這些蓮花來做一些寓意
[00:00:22.840 --> 00:00:24.120]  表達一些祝福
[00:00:24.120 --> 00:00:27.400]  一些祝賀的心意
[00:00:27.400 --> 00:00:29.720]  所以有人送一盤大吉給你
[00:00:29.720 --> 00:00:31.880]  他一定會多加一句說話
[00:00:31.880 --> 00:00:32.960]  甚麼?
[00:00:32.960 --> 00:00:35.840]  「大吉大利」
[00:00:35.840 --> 00:00:39.000]  如果你自己去買一棵桃花
[00:00:39.000 --> 00:00:39.960]  店主一定會說
[00:00:39.960 --> 00:00:41.640]  「好啊,快點買桃花」
[00:00:41.640 --> 00:00:46.360]  買桃花就會花開富貴
[00:00:46.360 --> 00:00:48.520]  很多寓意的祝賀
[00:00:48.520 --> 00:00:52.400]  這幾年很多人都喜歡買五子卷
[00:00:52.400 --> 00:00:53.920]  即是一些黃色
[00:00:53.920 --> 00:00:56.200]  有幾個特別的菱角
[00:00:56.200 --> 00:00:58.600]  不是菱角,是圓角
[00:00:58.600 --> 00:00:59.800]  買給你的時候
[00:00:59.800 --> 00:01:00.640]  他就會馬上說
[00:01:00.640 --> 00:01:04.280]  「是的,好的,五代同堂」
[00:01:04.280 --> 00:01:05.440]  但我相信這幾年
[00:01:05.440 --> 00:01:08.720]  更多人喜歡買銀柳
[00:01:08.720 --> 00:01:09.560]  大家知道是哪一種
[00:01:09.560 --> 00:01:13.240]  那種銀色的,白色的花
[00:01:13.240 --> 00:01:14.880]  一買的時候就會告訴你
[00:01:14.880 --> 00:01:18.560]  「有銀柳,有柳」
[00:01:18.560 --> 00:01:23.200]  買銀柳就好像多了一些祝福
[00:01:23.200 --> 00:01:24.840]  當然這些只是一廂情願
[00:01:24.840 --> 00:01:27.600]  自己心裏面希望得到的祝福
[00:01:27.600 --> 00:01:29.240]  不因為你買了一條銀柳
[00:01:29.240 --> 00:01:31.920]  就因此有銀有柳
[00:01:31.920 --> 00:01:33.240]  但這些寓意
[00:01:33.240 --> 00:01:35.080]  都有時候給我們一些
[00:01:35.080 --> 00:01:39.080]  好像心裏面的一種祝福
[00:01:39.080 --> 00:01:40.480]  但聖經也有一些時候
[00:01:40.480 --> 00:01:42.200]  會用一些植物
[00:01:42.200 --> 00:01:44.200]  來提醒我們
[00:01:44.200 --> 00:01:48.040]  留心去尋求神給我們的祝福
[00:01:48.040 --> 00:01:49.760]  聖經詩篇有提及過
[00:01:49.760 --> 00:01:53.440]  是青橄欖樹
[00:01:53.440 --> 00:01:54.720]  青橄欖樹
[00:01:54.720 --> 00:01:55.920]  橄欖是一些比較
[00:01:55.920 --> 00:01:59.240]  生命力比較長的植物
[00:01:59.240 --> 00:02:03.320]  表示那種生命的長久
[00:02:03.320 --> 00:02:06.320]  青橄欖樹表示一種茂盛
[00:02:06.320 --> 00:02:10.480]  是時常結果的一種情況
[00:02:10.480 --> 00:02:14.120]  所以你記得聖經詩篇52篇第8節
[00:02:14.120 --> 00:02:14.920]  詩人說
[00:02:14.920 --> 00:02:16.400]  「至於我
[00:02:16.400 --> 00:02:20.880]  我就像象神殿中的青橄欖樹
[00:02:20.880 --> 00:02:26.200]  我要永永遠遠倚靠祢的慈愛」
[00:02:26.200 --> 00:02:29.480]  當人知道永遠倚靠神的慈愛
[00:02:29.480 --> 00:02:31.600]  就好像青橄欖樹
[00:02:31.600 --> 00:02:34.840]  領受神給我們那種生命的旺盛
[00:02:34.840 --> 00:02:37.400]  和生命的祝福
[00:02:37.400 --> 00:02:38.720]  所以當我們讀詩篇的時候
[00:02:38.720 --> 00:02:40.240]  詩篇上提醒我們
[00:02:40.240 --> 00:02:41.760]  不要倚靠人
[00:02:41.760 --> 00:02:43.360]  不要倚靠勢力
[00:02:43.360 --> 00:02:46.400]  是專心的倚靠上帝
[00:02:46.400 --> 00:02:48.560]  上上去仰望祂
[00:02:48.560 --> 00:02:51.880]  就領受神給我們的祝福
[00:02:51.880 --> 00:02:53.840]  我們就可以歡樂
[00:02:53.840 --> 00:02:56.280]  因為知道祂給我們的恩惠
[00:02:56.280 --> 00:02:58.240]  祂一定會保守我們
[00:02:58.240 --> 00:03:01.560]  我們就可以靠主歡樂
[00:03:01.560 --> 00:03:04.040]  而詩篇33篇正是告訴我們
[00:03:04.040 --> 00:03:07.840]  要放膽去靠主來歡樂
[00:03:07.840 --> 00:03:11.080]  我們大家一起看回聖經
[00:03:11.080 --> 00:03:14.000]  一開始的時候提到喜樂的讚美
[00:03:14.000 --> 00:03:15.280]  是哪些人呢?
[00:03:15.280 --> 00:03:18.120]  33篇第一節
[00:03:18.120 --> 00:03:21.320]  「二人啊!你們應當靠耶和華歡樂
[00:03:21.320 --> 00:03:24.920]  正值人的讚美是合宜的」
[00:03:24.920 --> 00:03:28.120]  二人是指那些已經夢神拯救的人
[00:03:28.120 --> 00:03:29.520]  經歷過神的拯救
[00:03:29.520 --> 00:03:30.800]  神的救恩
[00:03:30.800 --> 00:03:35.440]  他們心裏面可以靠著神來歡樂
[00:03:35.440 --> 00:03:36.760]  我們留心到詩篇裏面
[00:03:36.760 --> 00:03:39.360]  常常提到關於歡樂的訊息
[00:03:39.360 --> 00:03:39.880]  有提過
[00:03:39.880 --> 00:03:42.840]  如果你記得聖經詩篇第四篇第七節
[00:03:42.840 --> 00:03:45.800]  就說「神使我心裏快樂
[00:03:45.800 --> 00:03:50.520]  勝過那些風修悟谷生走的人」
[00:03:50.520 --> 00:03:52.800]  有些人他有很大的風修
[00:03:52.800 --> 00:03:55.240]  意味著他很富裕
[00:03:55.240 --> 00:03:57.120]  很多的財富
[00:03:57.120 --> 00:03:59.840]  但是神使我們心裏面快樂
[00:03:59.840 --> 00:04:02.920]  勝過那些有財富的人
[00:04:02.920 --> 00:04:03.680]  聖經又說
[00:04:03.680 --> 00:04:04.880]  求神救我們脫離
[00:04:04.880 --> 00:04:08.680]  只是今生有福分的人
[00:04:08.680 --> 00:04:10.760]  很多的人是有福分
[00:04:10.760 --> 00:04:13.240]  不過只是今生的福分
[00:04:13.240 --> 00:04:16.080]  但是神給我們的是永恆的福分
[00:04:16.080 --> 00:04:20.280]  因為耶和華是我們永遠的福分
[00:04:20.280 --> 00:04:21.400]  所以聖經告訴我們
[00:04:21.400 --> 00:04:23.760]  神使我們心裏面可以快樂
[00:04:23.760 --> 00:04:25.880]  勝過其他富裕
[00:04:25.880 --> 00:04:29.400]  或者有其他物質資源的人
[00:04:29.400 --> 00:04:30.480]  聖經提醒我們
[00:04:30.480 --> 00:04:32.040]  我們可以喜樂
[00:04:32.040 --> 00:04:35.400]  是因為祂是我們的福分
[00:04:35.400 --> 00:04:36.720]  當然這種喜樂
[00:04:36.720 --> 00:04:38.840]  不單是一種情緒的表達
[00:04:38.840 --> 00:04:40.120]  祂情緒
[00:04:40.120 --> 00:04:41.000]  祂樂觀些
[00:04:41.000 --> 00:04:42.960]  所以祂常常喜樂
[00:04:42.960 --> 00:04:44.160]  這種喜樂是說
[00:04:44.160 --> 00:04:45.600]  就是你心裏面知道
[00:04:45.600 --> 00:04:47.120]  神是你的福分
[00:04:47.120 --> 00:04:51.120]  因此你選擇去快樂
[00:04:51.120 --> 00:04:52.600]  面對一些挑戰的時候
[00:04:52.600 --> 00:04:54.160]  可能你會有受煩
[00:04:54.160 --> 00:04:56.800]  可能有很多的困擾
[00:04:56.800 --> 00:04:58.760]  但你仍然很清楚知道
[00:04:58.760 --> 00:05:00.600]  耶和華是你的幫助
[00:05:00.600 --> 00:05:01.960]  是你的依靠
[00:05:01.960 --> 00:05:04.840]  因此你選擇不去憂愁
[00:05:04.840 --> 00:05:07.360]  你選擇去快樂
[00:05:07.360 --> 00:05:08.840]  而聖經常常提醒我們
[00:05:08.840 --> 00:05:12.640]  二人你們應當靠耶和華歡樂
[00:05:12.640 --> 00:05:17.240]  是意味著你可以去選擇去快樂
[00:05:17.240 --> 00:05:20.000]  因此神吩咐我們歡樂
[00:05:20.000 --> 00:05:22.080]  是要我們去聽從
[00:05:22.080 --> 00:05:24.640]  而因此在當中快樂
[00:05:24.640 --> 00:05:25.560]  在快樂的時候
[00:05:25.560 --> 00:05:27.880]  聖經就說不單止你自己去快樂
[00:05:27.880 --> 00:05:30.520]  亦都透過不同的方式表達出來
[00:05:30.520 --> 00:05:33.760]  所以第二第三節繼續說
[00:05:33.760 --> 00:05:35.760]  你們應當彈琴
[00:05:35.760 --> 00:05:37.680]  稱謝耶和華
[00:05:37.680 --> 00:05:40.480]  用十弦失歌頌他
[00:05:40.480 --> 00:05:43.120]  亦都意味著用高音 低音
[00:05:43.120 --> 00:05:44.480]  一起配合著
[00:05:44.480 --> 00:05:48.400]  亦都盡量地投入去讚美神
[00:05:48.400 --> 00:05:49.360]  第三節說
[00:05:49.360 --> 00:05:51.840]  應當向他唱新歌
[00:05:51.840 --> 00:05:53.400]  彈得巧妙
[00:05:53.400 --> 00:05:54.880]  用好的技巧
[00:05:54.880 --> 00:05:57.120]  用洪亮的聲音投入
[00:05:57.120 --> 00:05:59.760]  亦都讚美上帝
[00:05:59.760 --> 00:06:00.920]  當聖經裏面提到
[00:06:00.920 --> 00:06:02.640]  唱詩歌讚美上帝的時候
[00:06:02.640 --> 00:06:05.240]  我就想起很多弟兄姊妹
[00:06:05.240 --> 00:06:07.320]  大多數都是在禮拜堂
[00:06:07.320 --> 00:06:10.360]  在崇拜的時候才會唱詩歌
[00:06:10.360 --> 00:06:13.560]  你們會否在家裏也會唱聖詩?
[00:06:13.560 --> 00:06:15.960]  弟兄姊妹也有點籌
[00:06:15.960 --> 00:06:17.480]  在家裏有詩集
[00:06:17.480 --> 00:06:21.400]  或者你會在網上下載一些詩歌
[00:06:21.400 --> 00:06:22.880]  當你有機會的時候唱詩歌
[00:06:22.880 --> 00:06:23.960]  你會發覺
[00:06:23.960 --> 00:06:25.800]  你會幫自己將心思
[00:06:25.800 --> 00:06:29.680]  從一些眼前的困難轉向神
[00:06:29.680 --> 00:06:31.520]  去思想祂的恩惠
[00:06:31.520 --> 00:06:33.440]  思想祂的能力
[00:06:33.440 --> 00:06:36.680]  因此內心得到一種信心
[00:06:36.680 --> 00:06:40.960]  以致你可以面對著很多困難
[00:06:40.960 --> 00:06:44.680]  何時你集中你的注意在困難上
