
[00:00:00.000 --> 00:00:09.160]  昨晚我和師母在我們所居住的大廈附近超市走走
[00:00:09.160 --> 00:00:14.200]  碰到兩個會友,問他們你們兩個在幹什麼
[00:00:14.200 --> 00:00:18.400]  他們兩個說我們剛剛看完電影,我說八卦的,看什麼電影?
[00:00:18.400 --> 00:00:21.800]  又是那一套,又是那一套
[00:00:21.800 --> 00:00:29.800]  香港票房已經破了紀錄了,這套戲
[00:00:29.800 --> 00:00:33.600]  這套戲有很多金句,其中一句就是這樣
[00:00:33.600 --> 00:00:38.800]  人一出世就是倒數,很容易明白
[00:00:38.800 --> 00:00:42.800]  人一出世就是步向死亡
[00:00:42.800 --> 00:00:48.800]  在神所定的日子,我們有多少年日
[00:00:48.800 --> 00:00:52.800]  他都寫在生命冊上,他都知道的
[00:00:52.800 --> 00:00:55.800]  不過我這樣想,看完這句之後
[00:00:55.800 --> 00:01:00.800]  人生在世,我們出世就是步向死亡的日子
[00:01:00.800 --> 00:01:05.800]  不過是有兩個人生的取態的
[00:01:05.800 --> 00:01:13.800]  一個就好像水母,水母在大海洋中飄流
[00:01:13.800 --> 00:01:17.800]  其實他們去什麼方向都不知道
[00:01:17.800 --> 00:01:27.800]  譬如你問中學生,DSE的考生,你將來想讀什麼科目的大學
[00:01:27.800 --> 00:01:32.800]  很多都不知道,讀大學的問他,你出來會做什麼工作
[00:01:32.800 --> 00:01:38.800]  不是很清楚,過了幾十年,做完事,退休了
[00:01:38.800 --> 00:01:41.800]  退休之後做什麼,都不太清楚
[00:01:41.800 --> 00:01:51.800]  人生是很漂流的,不過有個作為信徒的我們
[00:01:51.800 --> 00:01:55.800]  特別是今天的經文,耶穌基督降生為人
[00:01:55.800 --> 00:02:00.800]  不是水母,而是像是仿如三文魚
[00:02:00.800 --> 00:02:07.800]  他知道有一個方向,逆流而上,回到原產地產卵
[00:02:07.800 --> 00:02:13.800]  是有目標的,有方向的,耶穌基督降世是有方向,是有使命的
[00:02:13.800 --> 00:02:16.800]  而我們作為跟隨耶穌基督的人,應該是這樣的
