
[00:00:00.000 --> 00:00:03.920]  歷代之下的第十四和十五章
[00:00:03.920 --> 00:00:05.520]  請大家打開聖經
[00:00:05.520 --> 00:00:08.320]  因為剛才我們所讀的都是其中一個部分
[00:00:08.320 --> 00:00:11.040]  我們想看完這兩章聖經
[00:00:11.040 --> 00:00:14.240]  十四、十五章的兩章聖經是一起的
[00:00:14.240 --> 00:00:16.160]  所以待會我會說跳來跳去
[00:00:16.160 --> 00:00:18.440]  不過很可惜大家要翻來覆去
[00:00:18.440 --> 00:00:19.440]  沒關係的
[00:00:19.440 --> 00:00:21.160]  聖經看多一點就沒壞的
[00:00:21.160 --> 00:00:22.640]  越看多越好
[00:00:22.640 --> 00:00:23.920]  所以我們打開聖經
[00:00:23.920 --> 00:00:26.640]  我們一起研究一下這個個案
[00:00:26.640 --> 00:00:32.440]  亞薩王所帶來的猶太國復興的個案
[00:00:32.440 --> 00:00:35.840]  我記得我幾年前也說過這段聖經了
[00:00:35.840 --> 00:00:38.720]  所以這次我就試著從另外一個角度
[00:00:38.720 --> 00:00:40.520]  從復興的角度來說
[00:00:40.520 --> 00:00:43.680]  但是當中有很多真理的部分
[00:00:43.680 --> 00:00:45.480]  是不能避免要重複的
[00:00:45.480 --> 00:00:47.360]  所以大家應該也不會介意
[00:00:47.360 --> 00:00:48.160]  好
[00:00:48.160 --> 00:00:51.000]  我們一起來看看這個亞薩王
[00:00:51.000 --> 00:00:52.920]  亞薩王是哪一位呢?
[00:00:52.920 --> 00:00:54.880]  亞薩王可能沒這麼熟悉
[00:00:54.880 --> 00:00:59.200]  但其實你知道以色列和猶太國分裂之後
[00:00:59.200 --> 00:01:01.200]  南面的猶太國
[00:01:01.200 --> 00:01:04.560]  第三個王就是亞薩王了
[00:01:04.560 --> 00:01:07.920]  第一個當然就是羅邦安了
[00:01:07.920 --> 00:01:09.880]  羅邦安之後有一個不是很熟悉的
[00:01:09.880 --> 00:01:11.600]  大家叫做亞比亞
[00:01:11.600 --> 00:01:13.160]  亞比亞的兒子
[00:01:13.160 --> 00:01:15.680]  就是今天我們所研究的亞薩
[00:01:15.680 --> 00:01:17.440]  亞薩是一個好的王
[00:01:17.440 --> 00:01:19.680]  這個王剛才我們所讀的聖經裡面
[00:01:19.680 --> 00:01:22.520]  看到是帶來整個國家
[00:01:22.520 --> 00:01:25.560]  整個民族其實是猶太國的復興
[00:01:25.560 --> 00:01:27.480]  那麼
[00:01:27.480 --> 00:01:28.720]  這個復興是怎麼樣的呢?
[00:01:28.720 --> 00:01:30.320]  我們先來研究一下
[00:01:30.320 --> 00:01:32.360]  如果你看這兩張聖經
[00:01:32.360 --> 00:01:33.760]  我們就要問一個問題
[00:01:33.760 --> 00:01:34.800]  在聖經裡面
[00:01:34.800 --> 00:01:36.800]  究竟何謂復興?
[00:01:36.800 --> 00:01:39.680]  當然我們一般都能夠理解到
[00:01:39.680 --> 00:01:42.360]  所謂復興就是靈性上的復興
[00:01:42.360 --> 00:01:45.080]  而最典型的就是今天我們所讀的那段聖經
[00:01:45.080 --> 00:01:46.000]  第十五章
[00:01:46.000 --> 00:01:48.360]  你看到第十節到第十五節
[00:01:48.360 --> 00:01:50.800]  就講到復興的一個奮興會
[00:01:50.800 --> 00:01:51.400]  是不是?
[00:01:51.400 --> 00:01:53.160]  第十節講到
[00:01:53.160 --> 00:01:54.440]  亞薩王在位
[00:01:54.440 --> 00:01:55.520]  第十五年三月
[00:01:55.520 --> 00:01:57.800]  他們在耶路撒冷就有一個奮興會
[00:01:57.800 --> 00:02:00.520]  這個奮興會就將他們的
[00:02:00.520 --> 00:02:01.480]  這裡有多少?
[00:02:01.480 --> 00:02:02.920]  說七百隻牛
[00:02:02.920 --> 00:02:03.960]  七千隻羊
[00:02:03.960 --> 00:02:05.280]  獻給耶和華上帝
[00:02:05.280 --> 00:02:06.760]  場面非常豪大
[00:02:06.760 --> 00:02:08.160]  並且你看到
[00:02:08.160 --> 00:02:09.200]  就說他們為什麼呢?
[00:02:09.200 --> 00:02:10.840]  去同神立約
[00:02:10.840 --> 00:02:12.600]  立約立什麼約呢?
[00:02:12.600 --> 00:02:16.200]  就是一心一意的尋求耶和華
[00:02:16.200 --> 00:02:20.440]  於是他們就開始繼續表達他們的心意的時候
[00:02:20.440 --> 00:02:22.200]  他說無論男女老幼
[00:02:22.200 --> 00:02:23.880]  都大聲歡呼
[00:02:23.880 --> 00:02:25.360]  然後就起勢
[00:02:25.360 --> 00:02:27.280]  然後他們就很快樂
[00:02:27.280 --> 00:02:29.840]  然後他們說一心起勢
[00:02:29.840 --> 00:02:31.880]  如果我們用音樂的角度來講
[00:02:31.880 --> 00:02:32.680]  Crescendo(音樂節)
[00:02:32.680 --> 00:02:33.320]  是不是?
[00:02:33.320 --> 00:02:34.400]  用一些俗一點的說法
[00:02:34.400 --> 00:02:35.840]  叫做越來越嗨
[00:02:35.840 --> 00:02:37.920]  那麼就尋求一心起勢
[00:02:37.920 --> 00:02:39.120]  是盡意的
[00:02:39.120 --> 00:02:40.200]  尋求耶和華
[00:02:40.200 --> 00:02:41.640]  耶和華就被他們尋見
[00:02:41.640 --> 00:02:44.040]  並且使他們四景安寧
[00:02:44.040 --> 00:02:45.840]  那麼這個就是一個很簡單
[00:02:45.840 --> 00:02:47.400]  但是很切切的
[00:02:47.400 --> 00:02:49.480]  很到肉的一個描述
[00:02:49.480 --> 00:02:52.080]  就是這個復興會
[00:02:52.080 --> 00:02:53.640]  這個奮興會
[00:02:53.640 --> 00:02:57.040]  但是如果我們真的留心看這兩張聖經
[00:02:57.040 --> 00:03:00.080]  復興絕對不單單只是這麼多事情
[00:03:00.080 --> 00:03:02.480]  復興不是一兩個聚會
[00:03:02.480 --> 00:03:04.080]  大家都興嘻嘻
[00:03:04.080 --> 00:03:05.040]  很嗨
[00:03:05.040 --> 00:03:06.160]  哭了
[00:03:06.160 --> 00:03:06.800]  那就是復興
[00:03:06.800 --> 00:03:10.440]  要看整個聚會之後
[00:03:10.440 --> 00:03:13.520]  弟兄姊妹之間的生命有沒有改變
[00:03:13.520 --> 00:03:16.400]  一個人的屬靈上的復興也是如此
[00:03:16.400 --> 00:03:18.600]  還有一件事情今天我想特別提的
[00:03:18.600 --> 00:03:20.440]  這張聖經告訴我們一個真理
[00:03:20.440 --> 00:03:22.200]  這個真理說出來可能
[00:03:22.200 --> 00:03:23.440]  可能你沒有想過
[00:03:23.440 --> 00:03:25.440]  或者甚至覺得有一點點不贊成
[00:03:25.440 --> 00:03:27.320]  但是我的標準就是這樣
[00:03:27.320 --> 00:03:27.920]  大家都知道
[00:03:27.920 --> 00:03:29.440]  聖經這麼說我就這麼說
[00:03:29.440 --> 00:03:32.400]  我沒有辦法用別的方法去說的
[00:03:32.400 --> 00:03:33.440]  聖經說什麼呢?
[00:03:33.440 --> 00:03:39.080]  這個復興不單單是一個信仰上的火的復興
[00:03:39.080 --> 00:03:43.000]  這個復興同時也帶來生活上
[00:03:43.000 --> 00:03:44.680]  如果我們從現代化來講
[00:03:44.680 --> 00:03:46.240]  一個事業上
