
[00:00:00.000 --> 00:00:02.360]  歡迎回來「神學Stage」
[00:00:02.360 --> 00:00:04.560]  重奏講述靈因現象的第三節
[00:00:04.560 --> 00:00:07.960]  上兩節我們探討了很多
[00:00:07.960 --> 00:00:12.960]  五場中或靈因現象的立體面向
[00:00:12.960 --> 00:00:14.040]  讓觀眾知道
[00:00:14.040 --> 00:00:16.160]  但我覺得我們有個問題
[00:00:16.160 --> 00:00:19.600]  我們好像忽略了一點
[00:00:19.600 --> 00:00:20.680]  到現在還未提及
[00:00:20.680 --> 00:00:23.440]  就是我們一開始的定義也提及
[00:00:23.440 --> 00:00:25.960]  其實他們很強調性靈工作
[00:00:25.960 --> 00:00:28.360]  但我們好像一直只提及
[00:00:28.440 --> 00:00:30.920]  有甚麼其他面向
[00:00:30.920 --> 00:00:32.760]  好像避開了這個位置
[00:00:32.760 --> 00:00:34.440]  因為最多被人挑釁的
[00:00:34.440 --> 00:00:36.280]  就是他們有這個位置
[00:00:36.280 --> 00:00:39.440]  但這個位置不是甚麼特別的例子
[00:00:39.440 --> 00:00:42.760]  其實是普遍強調性靈工作
[00:00:42.760 --> 00:00:44.240]  他們一定會有這個面向
[00:00:44.240 --> 00:00:48.760]  為何他們強調追求靈因經驗
[00:00:48.760 --> 00:00:52.320]  或如何正義化他們的想法
[00:00:52.320 --> 00:00:57.280]  其實如果我們對五場節或靈因教會
[00:00:57.360 --> 00:00:59.120]  有多點觀察
[00:00:59.120 --> 00:01:00.640]  我們會發現他們當中
[00:01:00.640 --> 00:01:04.240]  有一種很強烈的復原主義傾向
[00:01:04.240 --> 00:01:06.640]  甚麼意思?就是他們會認為
[00:01:06.640 --> 00:01:08.320]  我在聖經中看到
[00:01:08.320 --> 00:01:09.840]  例如使徒行傳中
[00:01:09.840 --> 00:01:13.000]  那群信徒究竟如何實踐信仰
[00:01:13.000 --> 00:01:15.200]  或在哥倫多前書等
[00:01:15.200 --> 00:01:17.800]  他們會覺得為何今天不去
[00:01:17.800 --> 00:01:19.680]  有這些實踐
[00:01:19.680 --> 00:01:20.520]  甚至我們會提倡
[00:01:20.520 --> 00:01:24.520]  應該要有使徒的意志
[00:01:24.520 --> 00:01:25.720]  使徒的方言
