
[00:00:00.000 --> 00:00:03.240]  今天說明是輕鬆的
[00:00:03.240 --> 00:00:06.480]  所以我們兩個坐在這裡可以這樣聊
[00:00:06.480 --> 00:00:10.040]  電視機拍得很棒
[00:00:10.040 --> 00:00:12.040]  可以了嗎?
[00:00:12.040 --> 00:00:13.800]  即是放在金絲上搖搖手
[00:00:13.800 --> 00:00:15.800]  看到了嗎?
[00:00:15.800 --> 00:00:19.720]  今天我們會分兩段
[00:00:19.720 --> 00:00:24.160]  我們不會像我說完一段
[00:00:24.160 --> 00:00:26.480]  然後奶圈又說另一段
[00:00:26.480 --> 00:00:28.000]  我們會有這個對話
[00:00:28.000 --> 00:00:30.960]  隨時都會希望擦出一些火花
[00:00:30.960 --> 00:00:35.680]  第一段大概到八點至九點左右
[00:00:35.680 --> 00:00:37.440]  然後我們有一點點休息
[00:00:37.440 --> 00:00:39.640]  因為我們遲了開始
[00:00:39.640 --> 00:00:43.440]  休息之後我們會有第二段時間
[00:00:43.440 --> 00:00:47.080]  然後一直到十點之前
[00:00:47.080 --> 00:00:48.480]  就一定完結
[00:00:48.480 --> 00:00:50.240]  我們的時間
[00:00:50.240 --> 00:00:52.040]  就是這樣的安排
[00:00:52.040 --> 00:00:56.320]  大家手上都有一張白紙
[00:00:56.320 --> 00:01:00.360]  白紙就是給大家可以有些問題
[00:01:00.360 --> 00:01:02.720]  或者你有些感想
[00:01:02.720 --> 00:01:03.960]  意見
[00:01:03.960 --> 00:01:08.280]  總之是可以跟我們一起交流的
[00:01:08.280 --> 00:01:10.680]  人這麼多
[00:01:10.680 --> 00:01:15.080]  所以未必可能每個人都可以站起來說
[00:01:15.080 --> 00:01:18.600]  所以今天我們就不可以容許大家站起來說
[00:01:18.600 --> 00:01:20.600]  但是你可以把它寫下來
[00:01:20.600 --> 00:01:23.000]  當然你不需要寫你的名字
[00:01:23.000 --> 00:01:26.120]  如果你想括號是男的
[00:01:26.120 --> 00:01:27.640]  或者女的
[00:01:27.640 --> 00:01:28.240]  好嗎?
[00:01:28.240 --> 00:01:28.880]  好
[00:01:28.880 --> 00:01:29.560]  都可以的
[00:01:29.560 --> 00:01:30.240]  好
[00:01:30.240 --> 00:01:33.520]  在休息的時間
[00:01:33.520 --> 00:01:35.440]  你就可以拿上來前面
[00:01:35.440 --> 00:01:36.920]  或者是
[00:01:36.920 --> 00:01:40.560]  我們待會等袋子在這裡
[00:01:40.560 --> 00:01:42.120]  你可以等袋子在這裡
[00:01:42.120 --> 00:01:43.720]  有一個箱子
[00:01:43.720 --> 00:01:44.920]  有一個箱子之類
[00:01:44.920 --> 00:01:48.080]  我們待會請我們的同事負責
[00:01:48.080 --> 00:01:50.080]  大家可以有交流
[00:01:50.080 --> 00:01:52.560]  上半段就是我們兩個的對話
[00:01:52.560 --> 00:01:54.320]  下半段我們也會有一些
[00:01:54.320 --> 00:01:59.120]  然後就跟大家可以一起有些問題解答
[00:01:59.120 --> 00:02:00.400]  或者分享的時間
[00:02:00.400 --> 00:02:01.160]  好嗎?
[00:02:01.160 --> 00:02:01.920]  好
[00:02:01.920 --> 00:02:05.400]  在上半段裡面
[00:02:05.400 --> 00:02:08.800]  我們會想處理兩個大的問題
[00:02:08.800 --> 00:02:10.320]  第一個問題
[00:02:10.320 --> 00:02:13.360]  就是馬雀所提出的
[00:02:13.360 --> 00:02:15.520]  就是現在男人和女人
[00:02:15.520 --> 00:02:17.080]  究竟是共舞
[00:02:17.080 --> 00:02:18.520]  還是共舞呢?
[00:02:18.520 --> 00:02:19.400]  兩個舞字
[00:02:19.400 --> 00:02:20.880]  一個是打架的舞
[00:02:20.880 --> 00:02:22.480]  一個是跳舞的舞
[00:02:22.480 --> 00:02:23.360]  那麼
[00:02:23.360 --> 00:02:25.520]  第二個問題
[00:02:25.520 --> 00:02:28.200]  我們上半段會處理的就是
[00:02:28.200 --> 00:02:31.160]  真正的男人是怎樣的男人
[00:02:31.160 --> 00:02:34.160]  還有什麼屬靈的意思在背後
[00:02:34.160 --> 00:02:36.520]  然後下半段我們就會說
[00:02:36.520 --> 00:02:38.600]  男人的信仰
[00:02:38.600 --> 00:02:42.200]  就會回到我們所提出的問題
[00:02:42.200 --> 00:02:45.200]  究竟男人是不是特別難信耶穌
[00:02:45.200 --> 00:02:47.120]  現在我們的教會
[00:02:47.120 --> 00:02:48.120]  我們的文化
[00:02:48.120 --> 00:02:49.560]  我們的團契
[00:02:49.560 --> 00:02:50.880]  我們的方式
[00:02:50.880 --> 00:02:53.080]  是不是比較適合女人
[00:02:53.080 --> 00:02:54.880]  所以男人不肯來呢?
[00:02:54.880 --> 00:02:56.600]  我們會很坦白地說這些問題
[00:02:56.600 --> 00:02:58.600]  如果得罪大家或者得罪教會
[00:02:58.600 --> 00:03:00.400]  就請原諒
[00:03:00.400 --> 00:03:01.480]  無心之失
[00:03:01.480 --> 00:03:04.720]  愛之深責之切
[00:03:04.720 --> 00:03:08.920]  大家不喜歡的也可以寫問題上來
[00:03:08.920 --> 00:03:10.200]  提出抗議
[00:03:10.200 --> 00:03:11.720]  不要打我就行了
[00:03:11.720 --> 00:03:16.440]  真正的男人是應該有戰鬥的精神
[00:03:16.440 --> 00:03:18.000]  不過不是粗暴
[00:03:18.000 --> 00:03:18.680]  OK
[00:03:18.680 --> 00:03:19.160]  好
[00:03:19.160 --> 00:03:23.080]  不如我現在開始先和賴謙談一談
[00:03:23.080 --> 00:03:25.240]  看一幅比較闊的圖畫
[00:03:25.240 --> 00:03:28.960]  時下的男人女人之間的關係
[00:03:28.960 --> 00:03:30.160]  這件事呢
[00:03:30.160 --> 00:03:31.280]  就
[00:03:31.280 --> 00:03:32.800]  到了最近
[00:03:32.800 --> 00:03:33.560]  大家都知道了
[00:03:33.560 --> 00:03:35.880]  這十年八年就特別突出了
[00:03:35.880 --> 00:03:37.360]  在我們香港突出了
[00:03:37.360 --> 00:03:38.800]  不要說在全世界
[00:03:38.800 --> 00:03:40.400]  西方裡面更加早
[00:03:40.400 --> 00:03:42.640]  我自己帶頭認衰
