
[00:00:00.000 --> 00:00:08.000]  現在我們就在剛才唱詩的心情和禱告的心情裡面
[00:00:08.000 --> 00:00:11.000]  一同來領受著話語
[00:00:11.000 --> 00:00:15.000]  今天晚上我們要看最後的兩個關鍵
[00:00:15.000 --> 00:00:23.000]  拆傳施工的關鍵和蒙福宇宙族的關鍵
[00:00:23.000 --> 00:00:27.000]  拆傳施工的關鍵
[00:00:27.000 --> 00:00:33.000]  是教會歷史裡面最重要的事情之一
[00:00:33.000 --> 00:00:39.000]  記載在《十途行傳》十三章和十六章裡面
[00:00:39.000 --> 00:00:41.000]  在聖靈的引導之下
[00:00:41.000 --> 00:00:47.000]  安提阿的教會開始了拆傳工作
[00:00:47.000 --> 00:00:52.000]  拆遣了巴納巴和保羅出去工作
[00:00:52.000 --> 00:01:02.000]  後來在十六章我們看見保羅得到聖靈再一次進一步的引導
[00:01:02.000 --> 00:01:05.000]  給他看見馬其頓的意象
[00:01:05.000 --> 00:01:12.000]  就離開了當時工作比較小的圈子而進入了歐洲
[00:01:12.000 --> 00:01:19.000]  就開始了福音廣傳全世界的大運動
[00:01:19.000 --> 00:01:26.000]  這件事在整個的教會歷史裡面起了最重大的作用
[00:01:26.000 --> 00:01:32.000]  對當時對於後代它的意義都是難以計算的
[00:01:32.000 --> 00:01:39.000]  今天這個意象領到了華人的教會
[00:01:39.000 --> 00:01:42.000]  所以這件事有實在的意義
[00:01:42.000 --> 00:01:46.000]  我們願意今天晚上靠著主
[00:01:46.000 --> 00:01:50.000]  按照主的話語在聖靈的幫助之下
[00:01:50.000 --> 00:01:57.000]  來了解父神在這件事上對華人教會的心意
[00:01:57.000 --> 00:02:01.000]  今天在座的各位弟兄姊妹當中
[00:02:01.000 --> 00:02:06.000]  有不少是在教會裡面有領導作用的
[00:02:06.000 --> 00:02:10.000]  帶領弟兄姊妹奔走靈城
[00:02:10.000 --> 00:02:14.000]  我們願意自己在這件重要的事上
[00:02:14.000 --> 00:02:17.000]  領受神的心意
[00:02:17.000 --> 00:02:22.000]  然後把神的心意傳達給別人
[00:02:22.000 --> 00:02:24.000]  我們首先注意到
[00:02:24.000 --> 00:02:29.000]  師徒時代的拆傳工作不是人開始的
[00:02:29.000 --> 00:02:32.000]  是聖靈開始的
[00:02:32.000 --> 00:02:37.000]  而聖靈先把禱告的心意
[00:02:37.000 --> 00:02:41.000]  放在師徒時代領袖的心裡
[00:02:41.000 --> 00:02:48.000]  請大家翻到《師徒行傳》十三章頭三節
[00:02:48.000 --> 00:02:54.000]  《師徒行傳》十三章頭三節
[00:02:54.000 --> 00:02:59.000]  在安提拉的教會中有幾位先知和教師
[00:02:59.000 --> 00:03:03.000]  就是巴那巴和稱呼尼姐的西面
[00:03:03.000 --> 00:03:07.000]  古里奈人路求與分崩之王
[00:03:07.000 --> 00:03:11.000]  西律同陽的瑪念並掃羅
[00:03:11.000 --> 00:03:15.000]  他們侍奉祖進食的時候
[00:03:15.000 --> 00:03:20.000]  聖靈說要為我分派巴那巴和掃羅
[00:03:20.000 --> 00:03:24.000]  去做我召他們所做的功
[00:03:24.000 --> 00:03:27.000]  當時他們進食禱告
[00:03:27.000 --> 00:03:32.000]  不但禱告而且進食禱告
[00:03:32.000 --> 00:03:37.000]  那麼我們要問他們的進食禱告是經常做的呢
[00:03:37.000 --> 00:03:41.000]  還是這次很特別做的呢
