
[00:00:00.000 --> 00:00:12.000]  親愛的主,我們面對你的十恰大愛,我們真是要說,我豈敢往後退。
[00:00:12.000 --> 00:00:22.000]  願你的恩,你的愛,不斷地激勵我們,讓我們歡歡喜喜地跟從你快跑。
[00:00:22.000 --> 00:00:36.000]  在我們一生的路程上,讓我們注定在你的十字架上,我們的心,我們的眼,都集中在你自己的身上。
[00:00:36.000 --> 00:00:47.000]  讓我們與你同行,跟隨你快跑,為你完成你所要托付給我們的事工。
[00:00:47.000 --> 00:01:01.000]  求主今天晚上再一次向我們說話,讓我們每一個人從你的話語中都有所領受,奉主的名禱告,阿們。
[00:01:01.000 --> 00:01:06.000]  請大家再翻回雅各書。
[00:01:06.000 --> 00:01:15.000]  我們來到第四個分題,就是基督徒的話語。
[00:01:15.000 --> 00:01:37.000]  雅各非常地注重這個分題,他差不多用了整整一章的天賦來講基督徒的言語,可見他何等地重視基督徒生活的這一方面。
[00:01:37.000 --> 00:01:54.000]  有人做過一個統計,平均來說,每一個人每一天要講兩萬五千個字,這是平均的數字。
[00:01:54.000 --> 00:02:13.000]  所以我們的話語實在是我們生活的很重要的一部分,沒有人完全不說話,有人說多一點,有人說少一點,平均每一個人每一天要講兩萬五千個字。
[00:02:13.000 --> 00:02:18.000]  所以很值得我們注意這方面的信息。
[00:02:18.000 --> 00:02:29.000]  同時呢,在家庭生活裡面,言語佔了一個很重要的因素。
[00:02:29.000 --> 00:02:46.000]  一個家庭生活美滿不美滿,喜樂不喜樂,彼此的關係好不好,有一個很重要的因素在裡頭,那就是我們說的話。
[00:02:46.000 --> 00:02:55.000]  如果我們在言語上表現得好,我們在家庭的生活會更加的美滿幸福。
[00:02:55.000 --> 00:03:06.000]  如果有人在這方面有毛病,就會破壞,會影響,會打擊我們的家庭生活。
[00:03:06.000 --> 00:03:28.000]  所以我們在這個夏令會裡頭,都是很盼望我們能夠在家庭生活上,在以後的日子裡面有改進,更加合乎主的心意,更加有主的存在,彰顯我們的主。
[00:03:28.000 --> 00:03:42.000]  所以我們在這方面要學習,神話都不是突然的,都是由感而發。
[00:03:42.000 --> 00:03:57.000]  第二個,也是因為看見當時的基督徒生活當中,在研究方面有很多的缺陷,很多的瑕疵,很多的毛病,所以他才用這麼長的篇幅,
[00:03:57.000 --> 00:04:02.000]  在聖靈的感動之下,傳講這個信息。
[00:04:02.000 --> 00:04:08.000]  很實際,今天晚上我們一同來領受。
[00:04:08.000 --> 00:04:19.000]  我們首先注意到第三章,雅各用五個比喻來形容我們的言語。
[00:04:22.000 --> 00:04:35.000]  第三章第三節,我們若把絕環放在馬嘴裡叫它順服,就能調動它的全身。
[00:04:35.000 --> 00:04:44.000]  這裡如果我們讀下去呢,就知道這個絕環就是來形容舌頭的。
[00:04:44.000 --> 00:04:58.000]  絕環能夠控制一匹馬,這個馬的力量很大,但是有了絕環就可以控制它。
[00:04:58.000 --> 00:05:12.000]  一個人的舌頭就起一個很重要的作用,我們控制得住舌頭,也能控制得住我們整個的人。
[00:05:12.000 --> 00:05:23.000]  第二個形容詞,第四節,看那船隻雖然甚大,又被大風吹筆,
[00:05:23.000 --> 00:05:30.000]  這用小小的舵就能隨著掌舵的意思轉動舵。
[00:05:30.000 --> 00:05:43.000]  這個船很大,舵很小,這個比例呢,比一匹馬和絕環的比例更突出,更顯著。
[00:05:43.000 --> 00:05:51.000]  小小的舵,一隻很大的船,能夠被控制,一樣的意思。
[00:05:51.000 --> 00:06:03.000]  第三個比例,第五節,這樣舌頭在白體里也是最小的,卻能說大話,
[00:06:03.000 --> 00:06:13.000]  看那最小的火能點著最大的樹林,火,最小的火就是火星,
[00:06:13.000 --> 00:06:23.000]  星星之火可以燎原,可以把平原上的最大的樹林都燒光。
[00:06:23.000 --> 00:06:30.000]  在真言書第十八章二十一節有一句話,
[00:06:30.000 --> 00:06:37.000]  真言書十八章二十一節說了一句話,橫向中文的話,
[00:06:37.000 --> 00:06:49.000]  那裡說生死是在舌頭的犬下,我們的舌頭能夠決定一個人的生或者死。
[00:06:49.000 --> 00:06:57.000]  這個很像中文說的一言興邦一言喪邦。
[00:06:57.000 --> 00:07:03.000]  一個國家的生死都受言語的影響,
[00:07:03.000 --> 00:07:10.000]  個人的生死也常常受自己話語的決定,
[00:07:10.000 --> 00:07:14.000]  有人說錯了話,是送命。
[00:07:14.000 --> 00:07:19.000]  在這裡說最小的火能夠點著最大的樹林,
[00:07:19.000 --> 00:07:27.000]  這句話在這裡也是很符合中文說的星星之火可以燎原,
[00:07:27.000 --> 00:07:31.000]  它的作用非常的重大。
[00:07:31.000 --> 00:07:34.000]  所以不可以輕視它。
[00:07:34.000 --> 00:07:39.000]  第四個形容詞,第六節,舌頭就是火,
[00:07:39.000 --> 00:07:45.000]  在我們白題中舌頭是個罪惡的世界,
[00:07:45.000 --> 00:07:50.000]  能污穢犬身,也能把生命的輪子點起來,
[00:07:50.000 --> 00:07:54.000]  並且是從地獄里點著的。
[00:07:54.000 --> 00:07:58.000]  舌頭是個罪惡的世界。
[00:07:58.000 --> 00:08:03.000]  那麼這個世界就表示是一個很大的範圍,
[00:08:03.000 --> 00:08:06.000]  a world of sins,
[00:08:06.000 --> 00:08:14.000]  一個罪惡的世界,各樣的罪惡,
[00:08:14.000 --> 00:08:21.000]  都可以從舌頭表達出來。
[00:08:21.000 --> 00:08:24.000]  最後第五個形容詞,第八節,
[00:08:24.000 --> 00:08:28.000]  唯獨舌頭沒有人能制服,
[00:08:28.000 --> 00:08:33.000]  是不止息的惡物,惡物,a monster,
[00:08:33.000 --> 00:08:36.000]  一個不止息的惡物,
[00:08:36.000 --> 00:08:39.000]  滿了害死人的毒氣,
[00:08:39.000 --> 00:08:44.000]  一直在那裡噴出,噴出毒氣,
[00:08:44.000 --> 00:08:50.000]  這是非常令人懼怕的一種情形。
[00:08:50.000 --> 00:08:56.000]  a monster breathing out poison,
[00:08:56.000 --> 00:09:01.000]  這是非常生動的一個形容詞。
[00:09:01.000 --> 00:09:03.000]  這五個形容詞,
[00:09:03.000 --> 00:09:09.000]  兩個用來形容我們的話語,
[00:09:09.000 --> 00:09:14.000]  所以我們平常不太感覺我們自己的話語會有這些作用,
[00:09:14.000 --> 00:09:19.000]  感謝主,我們的話語沒有這麼嚴重的毛病,
[00:09:19.000 --> 00:09:24.000]  但是還會有相當的毛病,
[00:09:24.000 --> 00:09:29.000]  還有相當的影響力,破壞力。
[00:09:29.000 --> 00:09:36.000]  如果我們的語言好,就有很大的貢獻,
[00:09:36.000 --> 00:09:39.000]  是一種constructive power,
[00:09:39.000 --> 00:09:41.000]  如果我們的語言不好,
[00:09:41.000 --> 00:09:46.000]  就是一個很厲害的destructive power,
[00:09:46.000 --> 00:09:50.000]  所以我們的舌頭可以成事,可以敗事,
[00:09:50.000 --> 00:09:53.000]  可以造就人,可以造就自己,
[00:09:53.000 --> 00:09:56.000]  也可以敗壞人,敗壞自己,
[00:09:56.000 --> 00:10:00.000]  可以影響人,也會影響自己。
[00:10:00.000 --> 00:10:03.000]  在這裡有一句話,
[00:10:03.000 --> 00:10:07.000]  我相信我們都接納的,都承認是真的,
[00:10:07.000 --> 00:10:09.000]  第七節,
[00:10:09.000 --> 00:10:13.000]  各類的走獸,飛禽,昆蟲,水族,
[00:10:13.000 --> 00:10:15.000]  本來都可以制服,
[00:10:15.000 --> 00:10:18.000]  也已經被人制服了,第八節,
[00:10:18.000 --> 00:10:21.000]  唯獨舌頭沒有人能制服,
[00:10:21.000 --> 00:10:27.000]  什麼動物都已經被人制服了,
[00:10:27.000 --> 00:10:30.000]  獅子都被馴服了,
[00:10:30.000 --> 00:10:33.000]  但是舌頭這個monster,
[00:10:33.000 --> 00:10:36.000]  沒有人能夠制服,
[00:10:36.000 --> 00:10:40.000]  我們每天的生活裡面都有會幾次,
[00:10:40.000 --> 00:10:44.000]  我們的舌頭out of control,
[00:10:44.000 --> 00:10:46.000]  我們後悔,說錯話,
[00:10:46.000 --> 00:10:48.000]  我們後悔,說錯了話,
[00:10:48.000 --> 00:10:50.000]  刺傷了人,
[00:10:50.000 --> 00:10:53.000]  說錯了話,不夠誠實,
[00:10:53.000 --> 00:10:56.000]  說錯了話,不能夠造就人,
[00:10:56.000 --> 00:10:59.000]  我們每一個人,
[00:10:59.000 --> 00:11:03.000]  不斷地會有這種的情況出現,
[00:11:03.000 --> 00:11:08.000]  那麼我們現在要開始從兩個書裡面看,
[00:11:08.000 --> 00:11:11.000]  有好些處的經文,
[00:11:11.000 --> 00:11:13.000]  都是講到話語,
[00:11:13.000 --> 00:11:15.000]  而且是從翻譯來講,
[00:11:15.000 --> 00:11:18.000]  都是講不應該有的話語,
[00:11:18.000 --> 00:11:22.000]  我們來按照這個表,
[00:11:22.000 --> 00:11:25.000]  做一個自我檢討,
[00:11:25.000 --> 00:11:27.000]  看看我這個基督徒,
[00:11:27.000 --> 00:11:31.000]  有沒有犯這些毛病,
[00:11:31.000 --> 00:11:34.000]  我在我的群體的生活裡面,
[00:11:34.000 --> 00:11:36.000]  家庭的生活裡面,
[00:11:36.000 --> 00:11:39.000]  教會的生活裡面,
[00:11:39.000 --> 00:11:42.000]  我的工作的圈子裡頭,
[00:11:42.000 --> 00:11:46.000]  有沒有起這些不應該有的作用,
[00:11:46.000 --> 00:11:53.000]  我們看看第一章第十九節,
[00:11:53.000 --> 00:11:55.000]  第一章十九節,
[00:11:55.000 --> 00:11:59.000]  提到第一種不應該有的話語,
[00:11:59.000 --> 00:12:01.000]  我親愛的弟兄們,
[00:12:01.000 --> 00:12:03.000]  這是你們所知道的,
