
[00:00:00.000 --> 00:00:03.000]  很多次當我們讀聖經的時候
[00:00:03.000 --> 00:00:05.000]  我們都會說到
[00:00:05.000 --> 00:00:07.000]  我們是神所揀選的
[00:00:07.000 --> 00:00:11.000]  是神所拯救的子民
[00:00:11.000 --> 00:00:13.000]  所以我們很多時候都會讀到聖經
[00:00:13.000 --> 00:00:15.000]  畢德前書第二章
[00:00:15.000 --> 00:00:17.000]  我們提到聖經裡面說
[00:00:17.000 --> 00:00:22.000]  我們這一群是神所揀選的子民
[00:00:22.000 --> 00:00:25.000]  是神所揀選的族類
[00:00:25.000 --> 00:00:27.000]  而聖經接著就說
[00:00:27.000 --> 00:00:29.000]  有一個很重要的目的
[00:00:29.000 --> 00:00:31.000]  神揀選我們
[00:00:31.000 --> 00:00:33.000]  是要叫我們宣揚
[00:00:33.000 --> 00:00:35.000]  那召我們出黑暗
[00:00:35.000 --> 00:00:39.000]  入奇妙光明者的美德
[00:00:39.000 --> 00:00:40.000]  我們常常都這樣說
[00:00:40.000 --> 00:00:42.000]  神揀選我們
[00:00:42.000 --> 00:00:44.000]  是要叫我們去宣揚
[00:00:44.000 --> 00:00:47.000]  這位曾經將我們從黑暗裡面
[00:00:47.000 --> 00:00:49.000]  彌吊呼召出來
[00:00:49.000 --> 00:00:54.000]  進入光明的這位神的美德
[00:00:54.000 --> 00:00:56.000]  然後再接著聖經就說
[00:00:56.000 --> 00:00:59.000]  你會記得畢德前書二章所提及的
[00:00:59.000 --> 00:01:03.000]  他說以前我們未曾蒙連率
[00:01:03.000 --> 00:01:06.000]  但現在蒙了連率
[00:01:06.000 --> 00:01:09.000]  以前不是神的兒女
[00:01:09.000 --> 00:01:13.000]  但現在成為了神的兒女
[00:01:13.000 --> 00:01:15.000]  一個很大的對比
[00:01:15.000 --> 00:01:18.000]  在我們生命當中出現
[00:01:18.000 --> 00:01:19.000]  因為聖經說
[00:01:19.000 --> 00:01:22.000]  既然今天你已經成為了神的兒女
[00:01:22.000 --> 00:01:24.000]  成為了神的子民
[00:01:24.000 --> 00:01:27.000]  經歷過神的能力在你的身上
[00:01:27.000 --> 00:01:33.000]  因此你去向這個世界作見證
[00:01:33.000 --> 00:01:35.000]  經歷過神的能力的人
[00:01:35.000 --> 00:01:39.000]  神吩咐我們去作他的見證
[00:01:39.000 --> 00:01:41.000]  當我們讀聖經的時候
[00:01:41.000 --> 00:01:44.000]  你會體會到我們今天讀的金句
[00:01:44.000 --> 00:01:46.000]  如果你記得剛才我們讀過
[00:01:46.000 --> 00:01:48.000]  這個月的金句提到
[00:01:48.000 --> 00:01:49.000]  當我們等候神的時候
[00:01:49.000 --> 00:01:51.000]  神賜給我們聖靈
[00:01:51.000 --> 00:01:53.000]  給我們生命的能力
[00:01:53.000 --> 00:01:56.000]  能夠在不同的地方
[00:01:56.000 --> 00:02:00.000]  在前方、在後方、在近的、在遠的地方
[00:02:00.000 --> 00:02:02.000]  做什麼呢?
[00:02:02.000 --> 00:02:05.000]  作主的見證
[00:02:05.000 --> 00:02:06.000]  或者再準確一點說
[00:02:06.000 --> 00:02:09.000]  作主的見證人
[00:02:09.000 --> 00:02:12.000]  不單單做一件事、兩件事去見證上帝
[00:02:12.000 --> 00:02:16.000]  而是我們的生命本身就是見證
[00:02:16.000 --> 00:02:18.000]  所以英文的翻譯
[00:02:18.000 --> 00:02:20.000]  Be my witness
[00:02:20.000 --> 00:02:24.000]  就是整個生命包括了你一切的生活行為
[00:02:24.000 --> 00:02:27.000]  成為了對耶穌基督的見證
[00:02:27.000 --> 00:02:29.000]  因此當我們上到聖經裡面
[00:02:29.000 --> 00:02:31.000]  講到神的揀選的時候
[00:02:31.000 --> 00:02:34.000]  就自然會上到聖經吩咐我們
[00:02:34.000 --> 00:02:37.000]  我們作神的見證
[00:02:37.000 --> 00:02:38.000]  而不單單是新約這樣說
[00:02:38.000 --> 00:02:39.000]  去到舊約的時候
[00:02:39.000 --> 00:02:43.000]  不斷呼應神對我們的心意
[00:02:43.000 --> 00:02:46.000]  而今天讀的《耳塞》書第四十三章
[00:02:46.000 --> 00:02:50.000]  是怎樣講述這件重要的事情
[00:02:50.000 --> 00:02:53.000]  等我讀到第四十三章的時候
[00:02:53.000 --> 00:02:56.000]  你看看第四十三章第一節
[00:02:56.000 --> 00:02:57.000]  聖經就說
[00:02:57.000 --> 00:03:01.000]  「但是也覺也那創造你的耶和華」
[00:03:01.000 --> 00:03:04.000]  「以色列也那塑造的主」
[00:03:04.000 --> 00:03:07.000]  現在這樣說
[00:03:07.000 --> 00:03:12.000]  聖經說到上帝創造我們的生命
[00:03:12.000 --> 00:03:13.000]  也就像我們剛才所說
[00:03:13.000 --> 00:03:17.000]  神揀選我們成為祂的子民
[00:03:17.000 --> 00:03:18.000]  當你想起揀選的時候
[00:03:18.000 --> 00:03:20.000]  或者突然間你也會想起
[00:03:20.000 --> 00:03:22.000]  在現在我們的概念
[00:03:22.000 --> 00:03:24.000]  一想起揀選
[00:03:24.000 --> 00:03:27.000]  你想起什麼
[00:03:27.000 --> 00:03:29.000]  想起選拔
[00:03:29.000 --> 00:03:33.000]  想起要有某一些的標準
[00:03:33.000 --> 00:03:34.000]  在這個標準裡面
[00:03:34.000 --> 00:03:37.000]  我們是否能夠達到這個水平的要求
[00:03:37.000 --> 00:03:40.000]  否則不會被揀選
[00:03:40.000 --> 00:03:41.000]  既然被揀選
[00:03:41.000 --> 00:03:44.000]  應該是有某一種的成果
[00:03:44.000 --> 00:03:46.000]  或者說有種好的表現
[00:03:46.000 --> 00:03:47.000]  這個才是一種
[00:03:47.000 --> 00:03:51.000]  好像被揀選應該有的一種表現
[00:03:51.000 --> 00:03:53.000]  這個是我們的概念
[00:03:53.000 --> 00:03:54.000]  但當你讀聖經的時候
[00:03:54.000 --> 00:03:55.000]  講到神說
[00:03:55.000 --> 00:03:57.000]  「我揀選你們」
[00:03:57.000 --> 00:03:59.000]  「我創造了你們」的時候
[00:03:59.000 --> 00:04:00.000]  你發覺聖經所說
[00:04:00.000 --> 00:04:02.000]  及這一群以色列人
[00:04:02.000 --> 00:04:05.000]  他的情況完全不是這樣
[00:04:05.000 --> 00:04:06.000]  我想大家
[00:04:06.000 --> 00:04:12.000]  你跳到前面42章第18節
[00:04:12.000 --> 00:04:13.000]  42章
[00:04:13.000 --> 00:04:16.000]  或者我們看第19節
[00:04:16.000 --> 00:04:18.000]  聖經說
[00:04:18.000 --> 00:04:21.000]  「有誰比我的僕人更乞呢?」
[00:04:21.000 --> 00:04:25.000]  「有誰比我猜拳的使者更聾呢?」
[00:04:25.000 --> 00:04:29.000]  「有誰乞眼將那與我立了和約的呢?」
[00:04:29.000 --> 00:04:34.000]  「有誰乞眼將夜和華的僕人呢?」
[00:04:34.000 --> 00:04:35.000]  很奇怪
[00:04:35.000 --> 00:04:36.000]  聖經就是這樣說
[00:04:36.000 --> 00:04:39.000]  一群神所揀選的僕人
[00:04:39.000 --> 00:04:41.000]  但他們竟然有眼看不到
[00:04:41.000 --> 00:04:43.000]  有耳聽不到
