
[00:00:00.000 --> 00:00:02.680]  各位弟兄姊妹 轉來平安
[00:00:02.680 --> 00:00:07.320]  不知道大家喜不喜歡看電影呢?
[00:00:07.320 --> 00:00:09.760]  即是看電視或電影的呢?
[00:00:09.760 --> 00:00:11.600]  有沒有這個興趣習慣的?
[00:00:11.600 --> 00:00:13.280]  有的
[00:00:13.280 --> 00:00:17.280]  不知道以下這一類型的題材
[00:00:17.280 --> 00:00:19.000]  你們喜不喜歡看呢?
[00:00:19.000 --> 00:00:22.000]  這些都是香港很經典的
[00:00:22.000 --> 00:00:26.040]  關於法庭的一些電視劇或電影的
[00:00:26.040 --> 00:00:28.160]  大家有沒有看過?
[00:00:29.440 --> 00:00:31.440]  可不可以舉手給我看看?
[00:00:31.440 --> 00:00:36.160]  來自不同的年代的電視劇或電影
[00:00:36.160 --> 00:00:38.160]  有沒有全部看過的?
[00:00:38.160 --> 00:00:41.280]  也有的
[00:00:41.280 --> 00:00:43.040]  厲害
[00:00:43.040 --> 00:00:44.720]  厲害厲害
[00:00:44.720 --> 00:00:47.720]  我自己也很喜歡看這一類型的題材
[00:00:47.720 --> 00:00:50.640]  話說我小時候也想過會不會做律師呢?
[00:00:50.640 --> 00:00:52.040]  很酷
[00:00:52.040 --> 00:00:53.800]  但後來發覺不簡單
[00:00:53.800 --> 00:00:55.720]  打消這個念頭
[00:00:55.720 --> 00:01:00.680]  但是法庭的題材就是我很喜歡看的一類型的劇集題目
[00:01:00.680 --> 00:01:05.120]  今天很想邀請大家一起到旁聽
[00:01:05.120 --> 00:01:10.160]  參與一場非一般的法庭案件
[00:01:10.160 --> 00:01:13.760]  但很特別的是這一次
[00:01:13.760 --> 00:01:17.120]  去訴訟的地方不是區域法院
[00:01:17.120 --> 00:01:20.240]  也不是高登法院
[00:01:20.240 --> 00:01:22.160]  而是更厲害的
[00:01:22.160 --> 00:01:24.680]  這是一個宇宙法院
[00:01:25.840 --> 00:01:28.560]  為什麼是宇宙法院呢?
[00:01:28.560 --> 00:01:32.280]  在剛才建議為我們讀出來的尼加書六章的經文
[00:01:32.280 --> 00:01:33.480]  在頭兩節
[00:01:33.480 --> 00:01:35.400]  第一和第二節
[00:01:35.400 --> 00:01:37.800]  出現了一個詞語
[00:01:37.800 --> 00:01:39.440]  就是「爭辯」
[00:01:39.440 --> 00:01:41.960]  「爭辯」這個字眼其實在原文
[00:01:41.960 --> 00:01:43.280]  在希伯來文裡面
[00:01:43.280 --> 00:01:45.800]  其實是一個法律的用語
[00:01:45.800 --> 00:01:47.840]  意思就是在法庭上
[00:01:47.840 --> 00:01:52.440]  控辯的雙方進行一些控訴和辯護
[00:01:52.440 --> 00:01:55.040]  在這個宇宙法院裡面
[00:01:55.040 --> 00:01:56.480]  或者法庭裡面
[00:01:56.480 --> 00:01:58.280]  到底有什麼角色呢?
