
[00:00:00.000 --> 00:00:01.720]  今天是唐慶主日
[00:00:01.720 --> 00:00:04.000]  希望透過金庫的角度
[00:00:04.000 --> 00:00:06.720]  去理解究竟上帝在地上
[00:00:06.720 --> 00:00:10.000]  設立教會的心意是什麼
[00:00:10.000 --> 00:00:11.480]  又或者可以這樣說
[00:00:11.480 --> 00:00:13.160]  什麼是教會
[00:00:13.160 --> 00:00:14.920]  究竟教會是什麼
[00:00:14.920 --> 00:00:17.640]  在剛才我們所讀的那段經文裡
[00:00:17.640 --> 00:00:19.920]  記載在哥羅西書的第三章
[00:00:19.920 --> 00:00:22.640]  第一節至十一節
[00:00:22.640 --> 00:00:24.360]  哥羅西書其實
[00:00:24.360 --> 00:00:26.680]  保羅是針對當時教會裡
[00:00:26.680 --> 00:00:28.520]  一些異端的教訓
[00:00:28.520 --> 00:00:31.640]  在當時不少的
[00:00:31.640 --> 00:00:34.880]  錯誤的情況出現了
[00:00:34.880 --> 00:00:35.880]  有一些人
[00:00:35.880 --> 00:00:37.760]  去講一些教訓出來
[00:00:37.760 --> 00:00:40.040]  引導一些信徒
[00:00:40.040 --> 00:00:44.240]  離開了基督的舊音
[00:00:44.240 --> 00:00:46.120]  也離開了基督
[00:00:46.120 --> 00:00:51.120]  基督耶穌為我們的主的教訓上
[00:00:51.120 --> 00:00:55.280]  所以保羅在哥羅西書第一章至第二章
[00:00:55.280 --> 00:00:58.080]  很強調耶穌的身份
[00:00:58.080 --> 00:00:59.200]  祂是誰
[00:00:59.200 --> 00:01:00.720]  祂的身份是什麼
[00:01:00.720 --> 00:01:03.120]  我們和祂的關係是什麼
[00:01:03.120 --> 00:01:06.160]  接著在第三章的第一節
[00:01:06.160 --> 00:01:08.960]  至第四章
[00:01:08.960 --> 00:01:10.280]  基本上就是說
[00:01:10.280 --> 00:01:13.800]  既然我們和耶穌已經有這樣的聯合關係
[00:01:13.800 --> 00:01:15.600]  這樣我們日常生活裡
[00:01:15.600 --> 00:01:18.600]  應該怎樣去行事為人呢
[00:01:18.600 --> 00:01:21.320]  在第三章的第一至第四節
[00:01:21.320 --> 00:01:22.280]  保羅這樣說
[00:01:22.280 --> 00:01:24.880]  所以你們若真與基督一同復活
[00:01:24.880 --> 00:01:26.720]  就當求在上面的事
[00:01:26.720 --> 00:01:29.200]  那裡有基督在神的右邊
[00:01:29.200 --> 00:01:31.240]  你們要思念上面的事
[00:01:31.240 --> 00:01:33.000]  不要思念地上的事
[00:01:33.000 --> 00:01:34.320]  因為你們已經死了
[00:01:34.320 --> 00:01:37.680]  你們的生命與基督一同藏在神裡面
