
[00:00:00.000 --> 00:00:04.360]  各位姐妹 我今天很想和大家思想關於聖靈
[00:00:04.360 --> 00:00:06.520]  聖靈的來臨
[00:00:06.520 --> 00:00:11.080]  我們上一個星期是復活節
[00:00:11.080 --> 00:00:14.800]  復活節之前的幾天 我們是壽苦節
[00:00:14.800 --> 00:00:18.480]  我們很感謝主 雖然我們沒有辦法大家走在一起
[00:00:18.480 --> 00:00:22.480]  來一起崇拜 但是我們透過網上
[00:00:22.480 --> 00:00:26.520]  我們可以一起去默想壽苦節
[00:00:26.520 --> 00:00:29.320]  我們多謝廖牧師給我們很好的訊息
[00:00:29.320 --> 00:00:33.280]  我們又在星期日我們可以透過網上
[00:00:33.280 --> 00:00:39.320]  我們一起敬拜 我們一起去慶賀我們耶穌基督的復活節
[00:00:39.320 --> 00:00:42.640]  所以復活節 壽苦節之後
[00:00:42.640 --> 00:00:45.120]  我今天心裏面有一個負擔
[00:00:45.120 --> 00:00:49.320]  很想和大家講聖靈的降臨
[00:00:49.320 --> 00:00:54.160]  因為按照著我們看見聖經裏面所記載
[00:00:54.160 --> 00:01:02.480]  其實我們每一個教會都是向著這段日子所發生的事情的時候
[00:01:02.480 --> 00:01:07.280]  我們不能夠不繼續講聖靈的來臨這回事
[00:01:07.280 --> 00:01:11.600]  我這裏不是想和大家只是講一下我們的節日
[00:01:11.600 --> 00:01:16.040]  不是我們教會有很多節日 我們按照每個節日來講一下
[00:01:16.040 --> 00:01:18.520]  好像題目很容易扮演
[00:01:18.520 --> 00:01:22.680]  不是 是我心裏面有一個很深的感動
[00:01:22.680 --> 00:01:26.120]  今天很想和大家講聖靈的來臨
[00:01:26.120 --> 00:01:29.240]  大家知道聖經告訴我們很清楚
[00:01:29.240 --> 00:01:33.120]  主耶穌基督復活之後有四十日之久
[00:01:33.120 --> 00:01:38.120]  祂不是躲起來 不是神神秘秘
[00:01:38.120 --> 00:01:44.200]  而是和很多的門徒甚至在未信的人面前出現
[00:01:44.200 --> 00:01:49.080]  以致那些反對耶穌基督的人沒有辦法能夠推諉這一位
[00:01:49.080 --> 00:01:56.240]  原來他們所殺了的主 殺了的這位耶穌就是那位要來的王
[00:01:56.240 --> 00:01:59.000]  祂自己就是神 在人間的顯現
[00:01:59.000 --> 00:02:00.880]  這是一個很特別的
[00:02:00.880 --> 00:02:04.440]  在基督教信仰裏面一切宗教都不會有的
[00:02:04.440 --> 00:02:08.720]  一切的教主很偉大也好 祂已經死了
[00:02:08.720 --> 00:02:10.680]  死了不會再回來
[00:02:10.680 --> 00:02:13.600]  我們可以懷念祂 我們可以看祂的書
[00:02:13.600 --> 00:02:19.680]  祂給我們心靈上和人生上的啟發
[00:02:19.680 --> 00:02:21.200]  這些都是很好的事
[00:02:21.200 --> 00:02:24.560]  不過唯有我們所信的耶穌
[00:02:24.560 --> 00:02:28.480]  祂沒有消失 祂還在
[00:02:28.480 --> 00:02:31.880]  當天祂死了之後 祂復活
[00:02:31.880 --> 00:02:35.520]  復活四十日之久 祂和那些門徒一起見面
[00:02:35.520 --> 00:02:37.480]  所有人都見到祂
[00:02:37.480 --> 00:02:40.640]  四十日之後 祂升上天
[00:02:40.640 --> 00:02:45.440]  但是祂都沒有離開 這是我們信仰裏面很重要的一環
[00:02:45.440 --> 00:02:47.360]  祂又沒有離開 為什麼呢
[00:02:47.360 --> 00:02:52.720]  因為祂臨走的時候 剛才我們所讀的聖經
[00:02:52.720 --> 00:02:56.200]  就是約翰福音的十四、十五、十六三章
[00:02:56.200 --> 00:03:01.880]  我們可以說是記載了耶穌的臨別贈言
[00:03:01.880 --> 00:03:05.520]  就是耶穌要上十字架
[00:03:05.520 --> 00:03:10.640]  和門徒一起的時候 講了剛才我們所讀的其中一部份
[00:03:10.640 --> 00:03:13.200]  一段說話
[00:03:13.200 --> 00:03:18.000]  這段說話很濃縮 但是很重要
[00:03:18.000 --> 00:03:21.200]  祂給他們最重要的應許
[00:03:21.200 --> 00:03:24.640]  就是說我們現在好像走了
[00:03:24.640 --> 00:03:27.520]  不過我沒有走
[00:03:27.520 --> 00:03:29.880]  弟兄姊妹請我們記住這個訊息
[00:03:29.880 --> 00:03:31.800]  耶穌說你以為我走了
[00:03:31.800 --> 00:03:34.720]  並且不見了 我消失了
[00:03:34.720 --> 00:03:39.400]  耶穌說我沒有的 我永遠都沒有走
[00:03:39.400 --> 00:03:41.240]  但是這段聖經告訴我們
[00:03:41.240 --> 00:03:46.800]  今天我們很詳細地看 究竟什麼意思祂沒有走呢
[00:03:46.800 --> 00:03:51.400]  有人說那當然了 耶穌死了之後祂復活回來
[00:03:51.400 --> 00:03:53.560]  這是第一個
[00:03:53.560 --> 00:03:55.880]  但是耶穌是不是只是這樣呢
[00:03:55.880 --> 00:03:58.080]  今天我們再看
[00:03:58.080 --> 00:04:03.760]  耶穌告訴我們 祂用一個聖靈的身份
[00:04:03.760 --> 00:04:09.080]  再回來人間 並且不單單是門徒那時候
[00:04:09.080 --> 00:04:11.480]  那四十天 祂升天之後
[00:04:11.480 --> 00:04:13.480]  現在我們見不到耶穌 祂復活的耶穌
[00:04:13.480 --> 00:04:15.360]  雖然祂還在天上
[00:04:15.360 --> 00:04:19.200]  但是門徒繼續和祂在一起
[00:04:19.200 --> 00:04:22.960]  剛才所讀的聖經 我相信如果你繼續讀下去
[00:04:22.960 --> 00:04:24.880]  這三章聖經裡面講了幾次
[00:04:24.880 --> 00:04:29.120]  耶穌說我在你裡面 你也在我裡面
[00:04:29.120 --> 00:04:32.720]  我們不會分開 永遠在一起
[00:04:32.720 --> 00:04:39.080]  這個說法就是今天我想和大家一起思想一個很重要的真理
[00:04:39.080 --> 00:04:42.320]  就是我們的主耶穌基督今天仍然在這裡
[00:04:42.320 --> 00:04:44.240]  祂不單只是在天上
[00:04:44.240 --> 00:04:47.240]  祂是用一個聖靈的身份
[00:04:47.240 --> 00:04:50.880]  和你和我在我們裡面
[00:04:50.880 --> 00:04:52.600]  我們也在祂裡面
[00:04:52.600 --> 00:04:54.440]  那你說這個很複雜
[00:04:54.440 --> 00:04:55.760]  什麼意思呢
[00:04:55.760 --> 00:05:00.120]  等一下我和大家比較實際的 具體的來講
[00:05:00.120 --> 00:05:02.320]  而這件事發生的時候
[00:05:02.320 --> 00:05:06.400]  就成為我們聖經裡面的使徒行傳
[00:05:06.400 --> 00:05:08.480]  所以今天我想用使徒行傳
[00:05:08.480 --> 00:05:12.760]  和約翰福音剛才我們所讀的耶穌的應許
[00:05:12.760 --> 00:05:14.560]  一起來做個對比
[00:05:14.560 --> 00:05:19.760]  我們就會明白 原來真是很奇妙的一回事
[00:05:19.760 --> 00:05:22.960]  聖靈對於很多弟兄姊妹來說
[00:05:22.960 --> 00:05:25.320]  是好像一個很抽象
