
[00:00:00.000 --> 00:00:02.720]  每個人的時間觀念都不同
[00:00:02.720 --> 00:00:03.920]  剛才多少秒?
[00:00:03.920 --> 00:00:06.240]  我想你開口
[00:00:06.240 --> 00:00:09.800]  今早有人猜是十秒
[00:00:09.800 --> 00:00:11.080]  有人說是一分鐘
[00:00:11.080 --> 00:00:13.640]  剛好中間
[00:00:13.640 --> 00:00:15.640]  三十秒左右
[00:00:15.640 --> 00:00:23.120]  剛才你為何不說話?不耐煩
[00:00:23.120 --> 00:00:25.880]  香港人覺得時間很寶貴
[00:00:25.880 --> 00:00:27.320]  浪費時間
[00:00:27.320 --> 00:00:29.680]  可能你很有憐憫的頂姐妹
[00:00:29.680 --> 00:00:32.200]  無知喉嚨痛
[00:00:32.200 --> 00:00:33.000]  不舒服
[00:00:33.000 --> 00:00:34.520]  所以不能說話
[00:00:34.520 --> 00:00:38.520]  還是你再不說話我便離開
[00:00:38.520 --> 00:00:40.600]  有沒有人準備這樣?
[00:00:40.600 --> 00:00:42.480]  覺得要密切
[00:00:42.480 --> 00:00:45.280]  要程式是這樣
[00:00:45.280 --> 00:00:46.720]  或者習慣這樣
[00:00:46.720 --> 00:00:47.840]  上來第一句就是
[00:00:47.840 --> 00:00:49.840]  「頂姐妹吃飯未呀?」之類
[00:00:49.840 --> 00:00:51.360]  打招呼
[00:00:51.360 --> 00:00:55.520]  我們習慣了一些不同的模式
[00:00:55.520 --> 00:00:58.640]  亦表示我們習慣下
[00:00:58.640 --> 00:01:01.960]  知道掌握到你生活一切
[00:01:01.960 --> 00:01:03.400]  我預測到
[00:01:03.400 --> 00:01:05.040]  我猜到
[00:01:05.040 --> 00:01:06.280]  不過專家說
[00:01:06.280 --> 00:01:07.240]  通常猜的東西
[00:01:07.240 --> 00:01:10.040]  不知有多高比例是猜錯的
[00:01:10.040 --> 00:01:11.400]  不過可能我們很有自信
[00:01:11.400 --> 00:01:13.040]  猜對的我們記住
[00:01:13.040 --> 00:01:14.880]  猜錯的
[00:01:14.880 --> 00:01:17.560]  不知解釋還是很容易忘記
[00:01:17.560 --> 00:01:19.040]  所以我們只留了一些
[00:01:19.040 --> 00:01:20.160]  我們猜對的記憶
[00:01:20.160 --> 00:01:21.600]  所以我們經常很有自信
[00:01:21.600 --> 00:01:23.600]  我猜對的我知道
[00:01:23.600 --> 00:01:26.720]  連總統的秘密你都知道
[00:01:26.720 --> 00:01:28.720]  不知哪個國家的總統
[00:01:28.720 --> 00:01:30.720]  我肯定他又如何
[00:01:30.720 --> 00:01:36.400]  我們可能看到兩篇記者報道
[00:01:36.400 --> 00:01:37.720]  秘聞
[00:01:37.720 --> 00:01:40.360]  但我們習慣預測的東西
[00:01:40.360 --> 00:01:42.280]  很掌控一切
[00:01:42.280 --> 00:01:44.120]  我們會預計對的
[00:01:44.120 --> 00:01:45.800]  可能你預計工作
[00:01:45.800 --> 00:01:46.400]  生活
[00:01:46.400 --> 00:01:47.120]  旅行
[00:01:47.120 --> 00:01:49.320]  我們計算一下夠不夠錢
[00:01:49.320 --> 00:01:51.800]  這個是沒有錯的
[00:01:51.800 --> 00:01:53.120]  甚至是好的
[00:01:53.120 --> 00:01:54.880]  但我們覺得所有事情
