
[00:00:00.000 --> 00:00:03.000]  我將大家一起打開啟示錄的第二章
[00:00:03.000 --> 00:00:04.800]  第一節至第七節
[00:00:04.800 --> 00:00:09.080]  我們從啟示錄裡的七個教會的書信
[00:00:09.080 --> 00:00:13.680]  復活的主透過約翰寫給七個教會的書信
[00:00:13.680 --> 00:00:17.800]  來一起看神自己的信息
[00:00:17.800 --> 00:00:19.520]  剛才我們所讀到的就是
[00:00:19.520 --> 00:00:21.200]  已忽所的教會
[00:00:21.200 --> 00:00:25.640]  也是七間教會的第一間
[00:00:25.640 --> 00:00:29.000]  在啟示錄裡有七封信
[00:00:29.000 --> 00:00:33.040]  寫給七個教會
[00:00:33.040 --> 00:00:34.320]  我讀的時候
[00:00:34.320 --> 00:00:36.160]  與其我們說有七封信
[00:00:36.160 --> 00:00:38.440]  寫給七個很獨特的教會
[00:00:38.440 --> 00:00:40.920]  對每個教會有所教訓
[00:00:40.920 --> 00:00:42.880]  有所提醒的話
[00:00:42.880 --> 00:00:46.360]  我不如覺得這段聖經的七封信
[00:00:46.360 --> 00:00:51.200]  是我們復活的主耶穌對教會的成績表
[00:00:51.200 --> 00:00:52.000]  為什麼呢?
[00:00:52.000 --> 00:00:55.800]  我相信大家都知道啟示錄很有象徵性
[00:00:55.800 --> 00:00:57.280]  它七間教會
[00:00:57.280 --> 00:00:59.800]  雖然這七間教會真的有七間教會
[00:00:59.800 --> 00:01:02.600]  在當時的小亞細亞的地方
[00:01:02.600 --> 00:01:04.640]  但是我相信這個七這個字
[00:01:04.640 --> 00:01:07.720]  是代表完全完備的意思
[00:01:07.720 --> 00:01:12.240]  所以主耶穌透過這七間教會作為一個舉例
[00:01:12.240 --> 00:01:14.520]  然後祂對所有的教會
[00:01:14.520 --> 00:01:16.160]  包括我們北宣家
[00:01:16.160 --> 00:01:18.600]  來有所提醒
[00:01:18.600 --> 00:01:21.480]  所以我相信祂不是停留在已忽所教會
[00:01:21.480 --> 00:01:23.480]  在每一間獨特的教會
[00:01:23.480 --> 00:01:26.320]  這個信息是給所有的教會
[00:01:26.320 --> 00:01:30.240]  我不知道今天如果我們主耶穌給北宣家有個成績表
[00:01:30.240 --> 00:01:31.600]  祂會怎麼說
[00:01:31.600 --> 00:01:32.920]  不過我們先看看
[00:01:32.920 --> 00:01:37.240]  已忽所教會給的成績表是怎麼樣的成績表
[00:01:37.240 --> 00:01:39.520]  我留意那個派成績表的
[00:01:39.520 --> 00:01:42.040]  是主耶穌自己那位復活的主耶穌基督
[00:01:42.040 --> 00:01:47.080]  在天上透過約翰來告訴已忽所教會
[00:01:47.080 --> 00:01:50.600]  然後主耶穌說祂自己怎麼描述祂自己呢?
[00:01:50.600 --> 00:01:52.280]  主耶穌描述祂自己說
[00:01:52.280 --> 00:01:56.240]  那位是右手拿著七星
[00:01:56.240 --> 00:02:00.160]  在七個金燈台當中行走的
[00:02:00.160 --> 00:02:02.440]  來給你們成績表
[00:02:02.440 --> 00:02:05.840]  這樣去描述那位給成績表的老師
[00:02:05.840 --> 00:02:06.840]  主宰
[00:02:06.840 --> 00:02:11.000]  弟兄姊妹們開始緊張了
[00:02:11.000 --> 00:02:12.160]  七個星是什麼呢?
[00:02:12.160 --> 00:02:14.120]  七個金燈台是很簡單的
[00:02:14.120 --> 00:02:14.920]  在這裡不難的
[00:02:14.920 --> 00:02:16.760]  在啟示錄其他地方可能難一點
[00:02:16.760 --> 00:02:17.600]  這裡不難
[00:02:17.600 --> 00:02:20.480]  因為第一章最後一章就說了
[00:02:20.480 --> 00:02:21.400]  開估的了
[00:02:21.400 --> 00:02:24.880]  這個七個星就是七個教會的使者
[00:02:24.880 --> 00:02:27.640]  七個燈台就是七個教會
[00:02:27.640 --> 00:02:28.560]  就是這樣
[00:02:28.560 --> 00:02:29.280]  很容易的
[00:02:29.280 --> 00:02:30.480]  就是教會
[00:02:30.480 --> 00:02:32.360]  教會的使者就是教會的弟兄姊妹
[00:02:32.360 --> 00:02:33.720]  領導的那些
[00:02:33.720 --> 00:02:35.840]  所以不用擔心
[00:02:35.840 --> 00:02:37.680]  不過我想再跟你說一點
[00:02:37.680 --> 00:02:38.960]  你有沒有留意
[00:02:38.960 --> 00:02:42.560]  教會其實有很多表徵
[00:02:42.560 --> 00:02:46.200]  教會有很多可以描述它的象徵
[00:02:46.200 --> 00:02:49.680]  為什麼我們的主在這裡偏偏要選星
[00:02:49.680 --> 00:02:53.040]  以及要選燈台來講教會呢?
[00:02:53.040 --> 00:02:54.520]  你告訴我你能不能想到?
[00:02:54.520 --> 00:02:55.360]  其實是可以想到的
[00:02:55.360 --> 00:02:56.880]  你查過經也能想到
[00:02:56.880 --> 00:02:59.120]  為什麼用星和燈台呢?
[00:02:59.120 --> 00:03:00.560]  因為什麼呢?
[00:03:00.560 --> 00:03:05.120]  星和燈台是發熱發光的
[00:03:05.120 --> 00:03:07.520]  是照亮周圍的
[00:03:07.520 --> 00:03:11.240]  這就是我們的主在這個時間裡面
[00:03:11.240 --> 00:03:15.440]  對教會特別的角度去評價他們
[00:03:15.440 --> 00:03:17.160]  坦白說
[00:03:17.160 --> 00:03:19.200]  在啟示錄的時代
[00:03:19.200 --> 00:03:22.840]  教會面對很多的衝擊
[00:03:23.600 --> 00:03:26.800]  教會是一個不信的羅馬帝國當中
[00:03:26.800 --> 00:03:30.320]  而當時羅馬帝國已經開始逼迫基督教
[00:03:30.320 --> 00:03:34.880]  羅馬人普遍對基督徒並沒有好感
[00:03:34.880 --> 00:03:37.400]  因為基督徒的生活行為操守
[00:03:37.400 --> 00:03:38.720]  道德很高
[00:03:38.720 --> 00:03:41.080]  簡單來講是影衰他們
[00:03:41.080 --> 00:03:43.960]  他們的道德很多的混亂
