
[00:00:00.000 --> 00:00:09.000]  昨天我們提到神做事好像有一點破了我們人間所認為的規格
[00:00:09.000 --> 00:00:13.000]  昨天說到神做事情往往破了人間的規格
[00:00:13.000 --> 00:00:20.000]  是差不多有些很出位的,不按地出牌的方法來做事
[00:00:20.000 --> 00:00:23.000]  是出格的,不按牌理來出牌的這樣的形式
[00:00:23.000 --> 00:00:25.000]  我們有時候都覺得接受不到
[00:00:25.000 --> 00:00:27.000]  有時候我們不能接受
[00:00:27.000 --> 00:00:30.000]  但是我要說清楚
[00:00:30.000 --> 00:00:34.000]  要補充一下
[00:00:34.000 --> 00:00:41.000]  我們的神做事並不是沒有原則的
[00:00:41.000 --> 00:00:45.000]  也不是沒有倫理的要求
[00:00:45.000 --> 00:00:49.000]  是有的
[00:00:49.000 --> 00:00:52.000]  他自己做事可以這樣
[00:00:52.000 --> 00:00:56.000]  但是他對他所創造的子民是有所要求的
[00:00:56.000 --> 00:00:58.000]  他做事可以如此行
[00:00:58.000 --> 00:01:00.000]  但對於他所創造的子民是有所要求
[00:01:00.000 --> 00:01:03.000]  你們要清楚你們要聖潔
[00:01:03.000 --> 00:01:06.000]  因為我是聖潔的
[00:01:06.000 --> 00:01:08.000]  你們要聖潔因為我是聖潔的
[00:01:08.000 --> 00:01:12.000]  所以所有屬在主名下的人
[00:01:12.000 --> 00:01:15.000]  必須要在人生的道路裡面
[00:01:15.000 --> 00:01:19.000]  向聖潔的道路奔跑追求
[00:01:19.000 --> 00:01:21.000]  所以所有屬主名下的人
[00:01:21.000 --> 00:01:23.000]  人生必定要向聖潔奔跑
[00:01:23.000 --> 00:01:25.000]  不過很可惜
[00:01:25.000 --> 00:01:30.000]  人往往都是軟弱失敗
[00:01:30.000 --> 00:01:32.000]  如今早萊特牧師所說
[00:01:32.000 --> 00:01:35.000]  我們根本就是失敗的一群子民
[00:01:35.000 --> 00:01:41.000]  聖基也寫給了失敗的人
[00:01:41.000 --> 00:01:43.000]  記錄了很多失敗的人
[00:01:43.000 --> 00:01:46.000]  《聖經》當中也記錄了很多失敗的人和事
[00:01:46.000 --> 00:01:50.000]  萊特牧師今天早上講得很清楚
[00:01:50.000 --> 00:01:52.000]  你和我都會失敗
[00:01:52.000 --> 00:01:55.000]  過去失敗將來都可能會失敗
[00:01:55.000 --> 00:02:04.000]  但不等於我們沒有出路沒有指引
[00:02:04.000 --> 00:02:14.000]  先知以西傑在他二十章十五到十七節裡面這樣說
[00:02:14.000 --> 00:02:16.000]  神有點後悔這樣說
[00:02:16.000 --> 00:02:21.000]  我在曠野起誓
[00:02:21.000 --> 00:02:28.000]  必不令他們進入我所賜留乃與蜜之地
[00:02:28.000 --> 00:02:33.000]  就是全地中最美好之地
[00:02:33.000 --> 00:02:38.000]  因為他們厭棄我的典章
[00:02:38.000 --> 00:02:41.000]  不順從我的律例
[00:02:41.000 --> 00:02:44.000]  干犯我的安息日
[00:02:44.000 --> 00:02:49.000]  他們心隨從自己的偶像
[00:02:49.000 --> 00:02:51.000]  雖然如此
[00:02:51.000 --> 00:02:57.000]  我仍然固惜他們不滅絕他們
[00:02:57.000 --> 00:03:03.000]  不再曠野把他們滅絕盡盡
[00:03:03.000 --> 00:03:08.000]  大家知道神的心裡面是非常矛盾的
[00:03:08.000 --> 00:03:11.000]  又愛又恨
[00:03:11.000 --> 00:03:13.000]  要愛這班子民挽回他們
[00:03:13.000 --> 00:03:17.000]  但他們常常都隨心己欲去隨從偶像
[00:03:17.000 --> 00:03:19.000]  要愛子民挽回他們
[00:03:19.000 --> 00:03:21.000]  他們卻隨從己意去跟從偶像
[00:03:21.000 --> 00:03:24.000]  神恩情帶領他們出埃及去到迦南美地
[00:03:24.000 --> 00:03:28.000]  但他們竟然去拜那些巴力的諸神
[00:03:28.000 --> 00:03:32.000]  神用恩情帶他們從埃及進入迦南
[00:03:32.000 --> 00:03:35.000]  但他們竟然拜迦南外邦的諸神
[00:03:35.000 --> 00:03:38.000]  一次一次重複出現
[00:03:38.000 --> 00:03:40.000]  重複又重複地出現
[00:03:40.000 --> 00:03:43.000]  大家看到秘魯到巴比倫七十年都一樣
[00:03:43.000 --> 00:03:46.000]  他們開始覺得神不靈了
[00:03:46.000 --> 00:03:47.000]  神沒有拯救了
[00:03:47.000 --> 00:03:51.000]  所以又轉向巴比倫諸神來叩拜
[00:03:51.000 --> 00:03:54.000]  現在秘魯巴比倫七十幾年又故態復萌了
[00:03:54.000 --> 00:03:57.000]  覺得神不靈驗了又去拜巴比倫的偶像
[00:03:57.000 --> 00:03:58.000]  所以四十六章第一節說
[00:03:58.000 --> 00:04:01.000]  彼勒叩拜尼泊爾屈身
[00:04:01.000 --> 00:04:04.000]  就是指著巴比倫的偶像
[00:04:04.000 --> 00:04:07.000]  第一節說到彼勒叩拜尼泊爾屈身
[00:04:07.000 --> 00:04:09.000]  這些都是巴比倫的偶像
[00:04:09.000 --> 00:04:13.000]  你看看,神真的很厭惡這班子民
[00:04:13.000 --> 00:04:15.000]  神真的很厭惡這些子民
[00:04:15.000 --> 00:04:17.000]  敬拜偶像,不敬拜我
[00:04:17.000 --> 00:04:19.000]  敬拜偶像,不來敬拜我
[00:04:19.000 --> 00:04:20.000]  我這麼好對他們
[00:04:20.000 --> 00:04:23.000]  但他們一點感恩之心都沒有
[00:04:23.000 --> 00:04:24.000]  我對他們這麼好
[00:04:24.000 --> 00:04:26.000]  他們完全沒有感恩的心
[00:04:26.000 --> 00:04:29.000]  完全是他們只是表達了一種自我的喜好
[00:04:29.000 --> 00:04:32.000]  或者自戀的那種心態
[00:04:32.000 --> 00:04:34.000]  他們完全表達自我的喜好
[00:04:34.000 --> 00:04:35.000]  一種自戀的心態
[00:04:35.000 --> 00:04:37.000]  以自己的方式去敬拜
[00:04:37.000 --> 00:04:39.000]  來代替敬拜真神
[00:04:39.000 --> 00:04:41.000]  用自己喜歡的方式來敬拜
[00:04:41.000 --> 00:04:42.000]  代替敬拜真神
[00:04:42.000 --> 00:04:47.000]  所以以色列真的干犯了神的聖潔
[00:04:47.000 --> 00:04:49.000]  神興起巴比倫來擄去
[00:04:49.000 --> 00:04:52.000]  就是表示祂懲罰祂的子民
[00:04:52.000 --> 00:04:54.000]  神興起巴比倫把他們擄去
[00:04:54.000 --> 00:04:55.000]  這就是懲罰
[00:04:55.000 --> 00:04:58.000]  神有時候擺你在一定的處境裏面
[00:04:58.000 --> 00:05:02.000]  可能就是神懲罰你的一種原因
[00:05:02.000 --> 00:05:04.000]  有時候神把你放在某些處境
[00:05:04.000 --> 00:05:06.000]  同樣是神可能在懲罰你
[00:05:06.000 --> 00:05:08.000]  但神又興起居魯士
[00:05:08.000 --> 00:05:11.000]  請教他們脫離這個秘魯之地
[00:05:11.000 --> 00:05:12.000]  但另一方面神興起居魯士
