
[00:00:00.000 --> 00:00:05.680]  宣讀《馬太福音》第五章三十三到三十七節
[00:00:05.680 --> 00:00:12.340]  你們又聽過有對古人說
[00:00:12.340 --> 00:00:14.520]  不可背事
[00:00:14.520 --> 00:00:18.260]  所起的事總要向主謹守
[00:00:18.260 --> 00:00:20.880]  但是我告訴你們
[00:00:20.880 --> 00:00:24.380]  什麼事都不可且
[00:00:24.380 --> 00:00:27.560]  不可指著天起事
[00:00:27.560 --> 00:00:30.560]  因為天是神的寶座
[00:00:30.560 --> 00:00:33.840]  不可指著地起事
[00:00:33.840 --> 00:00:37.200]  因為地是祂的腳凳
[00:00:37.200 --> 00:00:40.920]  也不可指著耶路撒冷起事
[00:00:40.920 --> 00:00:45.600]  因為耶路撒冷是大君王的京城
[00:00:45.600 --> 00:00:49.640]  又不可指著你的頭起事
[00:00:49.640 --> 00:00:55.400]  因為你不能使一根頭髮變黑變白
[00:00:56.520 --> 00:01:00.560]  你們的話是就說是
[00:01:00.560 --> 00:01:03.600]  不是就說不是
[00:01:03.600 --> 00:01:08.840]  若再多說就是出於那惡者
[00:01:08.840 --> 00:01:11.040]  這是上主的話
[00:01:11.040 --> 00:01:16.840]  好大家我們一起來低頭禱告
[00:01:16.840 --> 00:01:20.200]  親愛的天父
[00:01:20.200 --> 00:01:23.200]  你賜給了我們非常多的美好的東西
[00:01:23.200 --> 00:01:25.880]  願我們都珍惜
[00:01:26.040 --> 00:01:28.040]  無論是我們今天的插花
[00:01:28.040 --> 00:01:30.360]  還是我們的陽光雨露
[00:01:30.360 --> 00:01:32.400]  還是我們今天可以在這裡
[00:01:32.400 --> 00:01:34.280]  平安的享受
[00:01:34.280 --> 00:01:38.040]  你跟我們一起來參與這個敬拜的時間
[00:01:38.040 --> 00:01:40.760]  我們知道這個世界上還有很多地震
[00:01:40.760 --> 00:01:42.440]  火災
[00:01:42.440 --> 00:01:44.240]  甚至是戰爭
[00:01:44.240 --> 00:01:46.640]  他們都不能夠享受到這個時候
[00:01:46.640 --> 00:01:49.240]  我們都為他們禱告
[00:01:49.240 --> 00:01:51.000]  也為此我們今天的享受
[00:01:51.000 --> 00:01:53.440]  我們也能夠獻上感恩
[00:01:53.440 --> 00:01:54.200]  願神啊
[00:01:54.200 --> 00:01:56.000]  你的話語澆灌我們
[00:01:56.000 --> 00:01:58.920]  就像澆灌這個台上的花一樣的
[00:01:58.920 --> 00:02:01.920]  讓我們生命可以燦爛起來
[00:02:01.920 --> 00:02:05.240]  可以在你的真道裡面行得安穩
