
[00:00:00.000 --> 00:00:04.280]  今天大家留意到我們的崇拜講題是八個字
[00:00:04.280 --> 00:00:06.760]  這八個字從聖經裏面拿出來
[00:00:06.760 --> 00:00:09.440]  就是隨從聖靈
[00:00:09.440 --> 00:00:11.440]  體貼聖靈
[00:00:11.440 --> 00:00:14.800]  一個基督徒當我們追求成長的時候
[00:00:14.800 --> 00:00:17.600]  一個很重要的德性的秘訣
[00:00:17.600 --> 00:00:19.600]  就是這八個字
[00:00:19.600 --> 00:00:22.280]  是我們生命誠信的秘訣
[00:00:22.280 --> 00:00:24.280]  也是這八個字
[00:00:24.280 --> 00:00:26.280]  大家讀一讀這八個字
[00:00:26.280 --> 00:00:30.680]  隨從聖靈 體貼聖靈
[00:00:30.680 --> 00:00:34.120]  人生的路一個最重要的方向
[00:00:34.120 --> 00:00:36.680]  我們不是體貼自己的肉體
[00:00:36.680 --> 00:00:38.680]  而是體貼聖靈
[00:00:38.680 --> 00:00:40.920]  按它的引導來行事
[00:00:40.920 --> 00:00:43.480]  這是德性的秘訣
[00:00:43.480 --> 00:00:46.440]  我記得在過去在北美的時候
[00:00:46.440 --> 00:00:48.760]  遇到一間教會的弟兄姊妹
[00:00:48.760 --> 00:00:51.840]  他們告訴我有兩位他們的長老
[00:00:51.840 --> 00:00:54.560]  是教會當中的領袖
[00:00:54.560 --> 00:00:57.160]  但兩位長老之間有很多心病
[00:00:57.160 --> 00:00:59.720]  很多不和 大家都看見
[00:00:59.720 --> 00:01:01.720]  但沒有人敢出聲
[00:01:01.720 --> 00:01:03.720]  後來他們說
[00:01:03.720 --> 00:01:05.040]  一位長老有一個早上
[00:01:05.040 --> 00:01:06.840]  心中有很特別的感動
[00:01:06.840 --> 00:01:11.560]  覺得他應該主動地向對方求饒恕
[00:01:11.560 --> 00:01:13.560]  因此那天早上他開著車
[00:01:13.560 --> 00:01:16.120]  去到對方家門口就停下來
[00:01:16.120 --> 00:01:18.000]  心裡還在跳
[00:01:18.000 --> 00:01:20.640]  不知道對方是否接受我
[00:01:20.640 --> 00:01:24.240]  去到門口的時候按了很多次
[00:01:24.240 --> 00:01:25.920]  沒有人聽
[00:01:25.920 --> 00:01:29.160]  他說「行了 神啊 我做了我應做的了」
[00:01:29.160 --> 00:01:31.160]  「我可以回去了」
[00:01:31.160 --> 00:01:32.960]  當他想轉頭走的時候
[00:01:32.960 --> 00:01:34.440]  對方開了門
[00:01:34.440 --> 00:01:36.760]  這位長老站在門口
[00:01:36.760 --> 00:01:40.960]  兩人在門口當中立即聊天
[00:01:40.960 --> 00:01:44.280]  這位長老向對方求寬恕
[00:01:44.280 --> 00:01:47.840]  承認自己很多地方傷害了對方
[00:01:47.840 --> 00:01:51.080]  然後彼此之間互相認罪
[00:01:51.080 --> 00:01:53.080]  一起祈禱
[00:01:53.080 --> 00:01:55.080]  他們這次的行動
[00:01:55.080 --> 00:01:58.600]  讓他們的教會將來發揮很重要的影響
[00:01:58.600 --> 00:02:01.240]  整個教會因此都重新合一
[00:02:01.240 --> 00:02:05.640]  開始有美好的見證出現
[00:02:05.640 --> 00:02:06.440]  當我聽到的時候
[00:02:06.440 --> 00:02:07.840]  我就想這位長老
[00:02:07.840 --> 00:02:09.840]  如果他內心不去小心
[00:02:09.840 --> 00:02:11.640]  聆聽聖靈的引導
