
[00:00:00.000 --> 00:00:02.240]  有一次有班弟兄姐妹一起聊天
[00:00:02.240 --> 00:00:05.120]  他們在聊天當中就談到一個問題
[00:00:05.120 --> 00:00:08.000]  他們問究竟將來天堂是怎樣的呢?
[00:00:08.000 --> 00:00:10.840]  在天堂做些甚麼呢?
[00:00:10.840 --> 00:00:12.320]  有弟兄就說
[00:00:12.320 --> 00:00:14.320]  「在天堂我們不用工作了」
[00:00:14.320 --> 00:00:16.320]  「一切工作都要停止了」
[00:00:16.320 --> 00:00:18.800]  「不需要再做任何的工作」
[00:00:18.800 --> 00:00:20.080]  另一位就回答
[00:00:20.080 --> 00:00:24.560]  「在天堂的時候我們會大聲經常唱歌」
[00:00:24.560 --> 00:00:25.600]  有一個就說
[00:00:25.600 --> 00:00:28.640]  「糟糕了 我不懂唱歌」
[00:00:28.640 --> 00:00:30.160]  另一個就說
[00:00:30.160 --> 00:00:36.320]  「很悶啊 經常唱歌 沒甚麼工作 很悶啊」
[00:00:36.320 --> 00:00:38.720]  聖經沒有很清楚地詳細記載
[00:00:38.720 --> 00:00:40.800]  將來在天上會怎樣
[00:00:40.800 --> 00:00:43.760]  但是它是重複地多次地告訴我們
[00:00:43.760 --> 00:00:49.280]  在天上我們會不斷地唱詩 讚美歌頌神
[00:00:49.280 --> 00:00:51.440]  這是事實
[00:00:51.440 --> 00:00:53.760]  在天上我們會不斷地讚美神
[00:00:53.760 --> 00:00:57.680]  在剛才我們讀的啟示錄經文當中提到
[00:00:57.680 --> 00:01:02.880]  在天上眾天使天君和穿著白衣的聖徒
[00:01:02.880 --> 00:01:04.960]  他們會面服在上帝的面前
[00:01:04.960 --> 00:01:08.560]  在寶座面前一齊去敬拜神
[00:01:08.560 --> 00:01:10.800]  他們完全沒有任何的畏懼
[00:01:10.800 --> 00:01:12.640]  因為他們已經被潔淨了
[00:01:12.640 --> 00:01:17.120]  他們穿上白袍被神完全地接納
[00:01:17.120 --> 00:01:22.240]  因此他們坦而無懼地在神的面前敬拜祂 讚美祂
[00:01:22.240 --> 00:01:24.800]  在天上我們看到聖經說
[00:01:24.800 --> 00:01:31.200]  很多的聖徒他們晝夜在祂殿中侍奉祂
[00:01:31.200 --> 00:01:32.560]  甚麼侍奉呢?
[00:01:32.560 --> 00:01:35.520]  是讚美 是敬拜的侍奉
[00:01:35.520 --> 00:01:38.480]  而聖經說是晝夜 是不止息的
[00:01:38.480 --> 00:01:42.560]  不停止讓人去讚美 敬拜這位上帝
[00:01:42.560 --> 00:01:46.000]  因此我們發覺永生的特徵是甚麼呢?
[00:01:46.000 --> 00:01:50.480]  永生的特徵就是不止息的敬拜
[00:01:50.480 --> 00:01:54.080]  不止息的讚美就是永生的特徵
[00:01:54.080 --> 00:01:57.840]  在將來那個完全無下無始的永恆當中
[00:01:57.840 --> 00:02:03.280]  一切的 處在的都會開聲讚美 敬拜神
[00:02:03.280 --> 00:02:05.600]  在到時一切的侍奉都要停止
[00:02:05.600 --> 00:02:09.680]  包括講道的侍奉都要停止
[00:02:09.680 --> 00:02:14.160]  但是當時唱詩的侍奉 詩班的侍奉
[00:02:14.160 --> 00:02:17.600]  卻是從今天一直貫連到永恆裏面
[00:02:17.600 --> 00:02:21.680]  從現在一直無止息的去到永恆當中
[00:02:21.680 --> 00:02:26.000]  讚美的侍奉是永不止息
[00:02:26.000 --> 00:02:27.040]  當我們想到這裏的時候
[00:02:27.040 --> 00:02:30.240]  我們就感受到一個教徒在人生當中
[00:02:30.240 --> 00:02:34.240]  一個最寶貴的追求就是學會去崇拜
[00:02:34.240 --> 00:02:37.520]  學會去讚美 學會去歌頌
[00:02:37.520 --> 00:02:39.680]  這是我們重要的一生一世
[00:02:39.680 --> 00:02:43.520]  永恆地要做的一件事情
[00:02:43.520 --> 00:02:46.720]  或者有人會問 究竟崇拜是甚麼意思呢?
[00:02:46.720 --> 00:02:48.560]  為甚麼要崇拜呢?
[00:02:48.560 --> 00:02:52.640]  可否在家裏自己唱詩祈禱就可以解決呢?
[00:02:52.640 --> 00:02:54.400]  甚麼叫做崇拜呢?
[00:02:54.400 --> 00:02:57.440]  我們今天試試會集中一方面去看
[00:02:57.440 --> 00:03:01.120]  大家會一會兒留意到在聖餓報的答案當中
[00:03:01.120 --> 00:03:03.680]  文章裏面我提到有三個重點
[00:03:03.680 --> 00:03:07.920]  第一 崇拜是人與神之間的對話
[00:03:07.920 --> 00:03:11.600]  第二 崇拜是人對神的奉獻
[00:03:11.600 --> 00:03:16.720]  第三 是人來不斷學習神的樣式
[00:03:16.720 --> 00:03:19.280]  而我們今天會集中在第二方面
[00:03:19.280 --> 00:03:22.880]  就是崇拜是人對神的奉獻
[00:03:22.880 --> 00:03:26.480]  我們會從三個角度要小心地看一看
[00:03:26.480 --> 00:03:30.240]  第一方面我們先思想崇拜與奉獻的關係
[00:03:30.240 --> 00:03:34.880]  我請大家先打開聖經
[00:03:34.880 --> 00:03:39.680]  《聖經創世記》第四章第三節
[00:03:39.680 --> 00:03:47.360]  記載了人類第一次的敬拜
[00:03:47.360 --> 00:04:01.600]  《聖經創世記》第四章第三節
[00:04:01.600 --> 00:04:03.840]  第四章第三節這樣說
[00:04:03.840 --> 00:04:07.280]  「有一日 該隱那地裏的出產為貢物」
[00:04:07.280 --> 00:04:08.880]  獻給耶和華
[00:04:08.880 --> 00:04:14.000]  「阿伯也將他羊群中投生的和羊的子牛獻上」
[00:04:14.000 --> 00:04:18.320]  耶和華看中了阿伯和他的貢物
[00:04:18.320 --> 00:04:20.320]  聖經描寫該隱和阿伯兩個人
[00:04:20.320 --> 00:04:22.720]  他們都在面前去敬拜祂
[00:04:22.720 --> 00:04:24.400]  但是他們敬拜的方式
[00:04:24.400 --> 00:04:27.680]  是透過將他們最寶貴的東西
[00:04:27.680 --> 00:04:30.720]  作為祭品 貢獻給神
[00:04:30.720 --> 00:04:35.920]  因此他們的敬拜和他們的奉獻是連在一起的
[00:04:35.920 --> 00:04:38.000]  很多人類學的研究發現一件事情
[00:04:38.000 --> 00:04:40.320]  就是發現很多不同的民族
[00:04:40.320 --> 00:04:43.040]  當他們朝拜他們的神靈的時候
[00:04:43.040 --> 00:04:45.280]  他們一定有一件事情會做
[00:04:45.280 --> 00:04:47.520]  就是他們會將他們最寶貴的東西
[00:04:47.520 --> 00:04:51.280]  會帶來 來奉獻給他們的神靈
[00:04:51.280 --> 00:04:52.560]  因此人類學的研究發現
[00:04:52.560 --> 00:04:54.160]  就是在人的內心裏面
[00:04:54.160 --> 00:04:55.600]  人的本質裏面
[00:04:55.600 --> 00:04:57.360]  當他面對神的時候
[00:04:57.360 --> 00:04:59.360]  會有一種很自然的反應
[00:04:59.360 --> 00:05:03.040]  就是會有所獻 有所奉獻
[00:05:03.040 --> 00:05:05.840]  在聖經描寫第一次的崇拜當中
[00:05:05.840 --> 00:05:08.400]  該隱和阿伯他們露出神面前
[00:05:08.400 --> 00:05:11.600]  就以他們的祭品來奉獻
[00:05:11.600 --> 00:05:14.320]  作為他們的敬拜
