
[00:00:00.000 --> 00:00:12.160]  歡迎大家來到聖下茶館
[00:00:12.160 --> 00:00:13.160]  我是陳伯伯牧師
[00:00:13.160 --> 00:00:16.480]  今天我們的題目就是「恩順清二」
[00:00:16.480 --> 00:00:19.880]  仍然有我們的黃錦文神父在當中對話
[00:00:19.880 --> 00:00:22.080]  黃神父反而這裏是你的熟客
[00:00:22.080 --> 00:00:23.880]  反而是我們第一次來
[00:00:23.880 --> 00:00:25.760]  我們有什麼要說的呢?
[00:00:25.760 --> 00:00:27.120]  我們怎麼開始我們的對話呢?
[00:00:27.120 --> 00:00:31.240]  陳牧師 或者我們談談一個比較核心的主題
[00:00:31.240 --> 00:00:33.560]  比如「恩順清二」
[00:00:33.560 --> 00:00:36.320]  和我們公教會說的「恩順誠二」之間
[00:00:36.320 --> 00:00:38.080]  有什麼異同的地方 好不好?
[00:00:38.080 --> 00:00:39.480]  好
[00:00:39.480 --> 00:00:43.960]  所以我知道我們在歷史裏面
[00:00:43.960 --> 00:00:46.360]  我們路德在五百年前改教
[00:00:46.360 --> 00:00:48.160]  提出「恩順清二」
[00:00:48.160 --> 00:00:50.600]  整個新教 基督教
[00:00:50.600 --> 00:00:55.160]  都是以「恩順清二」這個教義作爲開始
[00:00:55.160 --> 00:00:59.240]  這跟我們「恩順清二」有些不同的地方
[00:00:59.240 --> 00:01:03.160]  大家都知道 到今天仍然有很多不同
[00:01:03.160 --> 00:01:08.720]  仍然有很多的嘗試來和解和溝通的地方
[00:01:08.720 --> 00:01:12.320]  好像是幾年前 那個聲明是幾年前的?
[00:01:12.320 --> 00:01:13.200]  1999年
[00:01:13.200 --> 00:01:17.280]  1999年 大概是二十多年前
[00:01:17.280 --> 00:01:22.520]  說一下天主教會和信義會有個聲明
[00:01:22.520 --> 00:01:28.880]  沒錯 基督教和信義中世界聯會
[00:01:28.880 --> 00:01:33.520]  其實雙方面都經過幾十年的對話
[00:01:33.520 --> 00:01:35.520]  都很漫長的時間
[00:01:35.520 --> 00:01:37.840]  因爲「恩順清二」和「恩順誠二」
[00:01:37.840 --> 00:01:39.760]  這是核心的神學問題
[00:01:39.760 --> 00:01:42.560]  是造成分裂的核心的問題
[00:01:42.560 --> 00:01:44.480]  所以我們就很認真地
[00:01:44.480 --> 00:01:48.880]  雙方面就這個問題做一個很真誠的交流和對話
[00:01:48.880 --> 00:01:50.320]  經過幾十年的對話之後
[00:01:50.320 --> 00:01:55.080]  大家覺得這個問題曾經引起雙方互相譴責
[00:01:55.080 --> 00:01:58.040]  在十六世紀之後 這是事實
[00:01:58.040 --> 00:02:05.280]  但是我們發覺在雙方面研究聖經
[00:02:05.280 --> 00:02:08.520]  研究神學 各方面有新的亮光
[00:02:08.520 --> 00:02:10.760]  在這個新的亮光的光照之下
[00:02:10.760 --> 00:02:12.360]  我們發覺對於這個題目
[00:02:12.360 --> 00:02:14.360]  我們有新的看法
[00:02:14.360 --> 00:02:18.560]  我們發覺兩者的確有不同的地方
[00:02:18.560 --> 00:02:20.560]  這個是事實
[00:02:20.560 --> 00:02:22.560]  但是也有很多地方
[00:02:22.560 --> 00:02:28.560]  其實是有重疊的地方的
[00:02:28.560 --> 00:02:33.880]  彼此之間的關係不是一種所謂矛盾的關係
[00:02:33.880 --> 00:02:35.880]  彼此並不是矛盾
[00:02:35.880 --> 00:02:39.840]  意思就是說這兩種說法可以同時存在
[00:02:39.840 --> 00:02:41.840]  而不會產生矛盾
[00:02:41.840 --> 00:02:44.400]  但不是否定它們是一樣的
[00:02:44.400 --> 00:02:46.400]  它們是不一樣的
[00:02:46.400 --> 00:02:50.800]  就是因爲路德對於人性的看法
[00:02:50.800 --> 00:02:53.320]  和我們宮教對於人性的看法的確是不一樣的
[00:02:53.320 --> 00:02:57.920]  這就造成這兩個觀念之所以有衝突的根源
[00:02:57.920 --> 00:02:59.920]  但經過幾十年交談之後
[00:02:59.920 --> 00:03:07.000]  我們發覺彼此之間可以不矛盾
[00:03:07.000 --> 00:03:09.400]  因爲神學上如果不矛盾
[00:03:09.400 --> 00:03:11.400]  彼此就可以同時存在
[00:03:11.400 --> 00:03:12.400]  我舉一個例子
[00:03:12.400 --> 00:03:15.160]  我們天主教不是隻有一套神學
[00:03:15.160 --> 00:03:17.160]  我們有很多套神學
[00:03:17.160 --> 00:03:19.160]  彼此之間的說法是不同的
[00:03:19.160 --> 00:03:21.840]  不過彼此之間並不矛盾
[00:03:21.840 --> 00:03:24.240]  所以大家都是叫天主教神學
[00:03:24.240 --> 00:03:26.240]  所以關係大概就是這樣
[00:03:26.240 --> 00:03:28.240]  簡單來說
[00:03:28.240 --> 00:03:31.120]  新教其實後來有很多不同的演變
[00:03:31.120 --> 00:03:33.120]  路德是在第一個開始
[00:03:33.120 --> 00:03:34.120]  一個方向是人
[00:03:34.120 --> 00:03:38.120]  然後後來加爾文對於簡說預定
[00:03:38.120 --> 00:03:40.120]  對於狗人裏面的看法
[00:03:40.120 --> 00:03:42.120]  人的回應
[00:03:42.120 --> 00:03:43.120]  有很多不同的版本
[00:03:43.120 --> 00:03:45.120]  譬如去到John Wesley的時候
[00:03:45.120 --> 00:03:48.120]  很多人覺得是人的參與會多一些
[00:03:48.120 --> 00:03:51.120]  上帝的恩典簡說會有一部分
