
[00:00:00.000 --> 00:00:06.000]  我們翻開聖經詩篇119篇剛才讀過的33節開始
[00:00:06.000 --> 00:00:11.800]  在看聖經之前我先分享一點
[00:00:11.800 --> 00:00:15.600]  就是大家很多時候讀到聖經都會提到
[00:00:15.600 --> 00:00:20.800]  就是我們信耶穌領受神給我們的重生
[00:00:20.800 --> 00:00:25.200]  是因為藉著神活潑常存的道
[00:00:25.200 --> 00:00:30.400]  不是因為其他的原因 只是因為神的道
[00:00:30.400 --> 00:00:34.000]  聖經說道神的道是活潑 是常存
[00:00:34.000 --> 00:00:38.800]  意思是有生命的living 是常存的
[00:00:38.800 --> 00:00:42.200]  是永恆不變的神的道
[00:00:42.200 --> 00:00:44.500]  如果我們說我們重生在神的道
[00:00:44.500 --> 00:00:46.800]  叫我們能夠得到拯救
[00:00:46.800 --> 00:00:50.000]  在信主之後更加是因為神的話
[00:00:50.000 --> 00:00:53.800]  生命得到成長 得到豐盛
[00:00:53.800 --> 00:00:57.600]  誰會以為我們重生靠著神的話
[00:00:57.600 --> 00:01:00.000]  以後就不再需要神的話
[00:01:00.000 --> 00:01:02.400]  是一個絕對的矛盾
[00:01:02.400 --> 00:01:06.400]  所以教徒當渴望自己的生命繼續成長
[00:01:06.400 --> 00:01:08.400]  繼續蒙受神的恩惠
[00:01:08.400 --> 00:01:13.400]  是一定不可以放棄放下神的話
[00:01:13.400 --> 00:01:15.400]  但當然大家也體會在生活上
[00:01:15.400 --> 00:01:18.400]  我們有其他的吸引
[00:01:18.400 --> 00:01:21.600]  一些事情充塞著我們的心靈
[00:01:21.600 --> 00:01:23.600]  有些自己內心的慾望
[00:01:23.600 --> 00:01:26.400]  有些想得到的事情
[00:01:26.400 --> 00:01:28.400]  甚至很多不同的活動
[00:01:28.400 --> 00:01:33.000]  會取代了神的話的位置
[00:01:33.000 --> 00:01:36.000]  我最近看一些調查
[00:01:36.000 --> 00:01:38.400]  說到關於汽水的問題
[00:01:38.400 --> 00:01:42.600]  不知道大家可能都稍微會了解
[00:01:42.600 --> 00:01:44.000]  很多人喜歡喝汽水
[00:01:44.000 --> 00:01:47.600]  特別青少年兒童他們很喜歡喝汽水的時候
[00:01:47.600 --> 00:01:50.000]  一喝一罐汽水 大家不知道有沒有留意
[00:01:50.000 --> 00:01:55.000]  一瓶600毫升的可樂
[00:01:55.000 --> 00:01:59.000]  裡面你猜不猜到含了多少糖分
[00:01:59.000 --> 00:02:03.000]  有多少粒方糖在裡面呢
[00:02:03.000 --> 00:02:10.000]  一瓶600毫升的可樂裡面有14粒方糖
[00:02:10.000 --> 00:02:13.000]  等於你喝了一瓶汽水之後
[00:02:13.000 --> 00:02:16.000]  扔了14粒方糖進口
[00:02:16.000 --> 00:02:23.000]  其他的汽水同樣有大概差不多的糖分
[00:02:23.000 --> 00:02:28.000]  一個人一天所需要的攝取量
[00:02:28.000 --> 00:02:30.000]  只需要600克的糖分
[00:02:30.000 --> 00:02:34.000]  但一瓶可樂已經有603克
[00:02:34.000 --> 00:02:36.000]  你大概喝了一瓶汽水之後
[00:02:36.000 --> 00:02:38.000]  全日都不可以再喝有糖分
[00:02:38.000 --> 00:02:40.000]  或者吃有糖分的東西
[00:02:40.000 --> 00:02:42.000]  最近發覺在很多地方
[00:02:42.000 --> 00:02:44.000]  特別在美國
[00:02:44.000 --> 00:02:46.000]  當我去的時候就會察覺到
[00:02:46.000 --> 00:02:48.000]  很多快餐店
[00:02:48.000 --> 00:02:51.000]  你見到汽水是放出來的
[00:02:51.000 --> 00:02:53.000]  喝完之後可以補充
[00:02:53.000 --> 00:02:55.000]  很多小朋友很高興
[00:02:55.000 --> 00:02:58.000]  不斷不斷地加飲
[00:02:58.000 --> 00:03:01.000]  所以你見到很多在北美成長的兒童
[00:03:01.000 --> 00:03:03.000]  相信都不知道在北美
[00:03:03.000 --> 00:03:05.000]  香港、亞洲很多地方
[00:03:05.000 --> 00:03:06.000]  小孩子喝汽水多
[00:03:06.000 --> 00:03:09.000]  有一個現象
[00:03:09.000 --> 00:03:13.000]  變成肥仔肥女 身體發盆
[00:03:13.000 --> 00:03:15.000]  其實很多研究糖分多
[00:03:15.000 --> 00:03:19.000]  有很多很多身體的毛病會陸續出現
[00:03:19.000 --> 00:03:21.000]  但我想說的是
