
[00:00:00.000 --> 00:00:02.600]  我們一起思想神的說話
[00:00:02.600 --> 00:00:04.040]  神的真理
[00:00:04.040 --> 00:00:06.760]  今天我們仍然沿著北宣家路的主題
[00:00:06.760 --> 00:00:09.160]  我們思想關於祈禱
[00:00:09.160 --> 00:00:10.760]  祈禱的真理
[00:00:10.760 --> 00:00:12.360]  剛才我們所讀的聖經
[00:00:12.360 --> 00:00:14.480]  就是今天我們特別要思想的
[00:00:14.480 --> 00:00:18.640]  我們請大家打開剛才的《瑪太福音》第十五章
[00:00:18.640 --> 00:00:21.200]  《瑪太福音》第十五章
[00:00:21.200 --> 00:00:24.320]  第21節至28節
[00:00:24.320 --> 00:00:25.280]  剛才我們讀的時候
[00:00:25.280 --> 00:00:26.520]  你也記得那件事
[00:00:26.520 --> 00:00:32.680]  關於耶穌和外邦的女人互相對話
[00:00:32.680 --> 00:00:35.400]  和他的女兒被鬼附
[00:00:35.400 --> 00:00:38.320]  得到醫治的一件事
[00:00:38.320 --> 00:00:40.160]  其實這件事
[00:00:40.160 --> 00:00:42.040]  不僅在《瑪太福音》有記載
[00:00:42.040 --> 00:00:44.440]  在《馬可福音》第七章也有記載
[00:00:44.440 --> 00:00:46.280]  不過記得比較簡略一點
[00:00:46.280 --> 00:00:48.480]  我們對照兩個福音一起的時候
[00:00:48.480 --> 00:00:49.440]  就比較全面了
[00:00:49.440 --> 00:00:51.040]  稍後時間的問題
[00:00:51.040 --> 00:00:53.240]  我就不會和大家揭來揭去
[00:00:53.240 --> 00:00:54.440]  大家不需要擔心
[00:00:54.440 --> 00:00:58.000]  在《瑪太福音》基本上大部分的內容都在這裡
[00:00:58.000 --> 00:01:01.560]  我相信剛才我們一直讀這段聖經的時候
[00:01:01.560 --> 00:01:05.200]  我們很多弟兄姐妹都會有一種困擾
[00:01:05.200 --> 00:01:09.360]  首先困擾就是為什麼耶穌好像很冷酷
[00:01:09.360 --> 00:01:13.000]  耶穌好像對這個女人
[00:01:13.000 --> 00:01:16.080]  因為外邦的女人好像很看不起他
[00:01:16.080 --> 00:01:17.520]  甚至用這個字眼
[00:01:17.520 --> 00:01:18.920]  我們覺得很反感
[00:01:18.920 --> 00:01:20.480]  說他是狗
[00:01:20.480 --> 00:01:21.840]  疑慮的事情
[00:01:21.840 --> 00:01:24.280]  耶穌說不要給狗吃
[00:01:24.280 --> 00:01:26.320]  幸好新譯本的譯也好
[00:01:26.320 --> 00:01:27.680]  就叫做小狗
[00:01:27.680 --> 00:01:31.600]  小狗和狗是很不一樣的
[00:01:31.600 --> 00:01:32.960]  狗是很賤的
[00:01:32.960 --> 00:01:34.800]  我們在中國傳統裡面
[00:01:34.800 --> 00:01:38.200]  當時的猶太人對狗也不是特別有好感
[00:01:38.200 --> 00:01:41.040]  不過這個也很好
[00:01:41.040 --> 00:01:42.640]  新譯本譯為小狗
[00:01:42.640 --> 00:01:44.760]  也不是為了解釋
[00:01:44.760 --> 00:01:46.880]  這個字本身
[00:01:46.880 --> 00:01:48.640]  Kunarion 這個字
[00:01:48.640 --> 00:01:49.880]  是小狗
[00:01:49.880 --> 00:01:50.720]  就是小狗
[00:01:50.720 --> 00:01:53.240]  是家裡養的寵物狗
[00:01:53.240 --> 00:01:56.120]  現在寵物狗的感覺就很不同了
[00:01:56.120 --> 00:01:57.480]  尤其是年輕人說
[00:01:57.480 --> 00:01:59.760]  小狗很可愛
[00:01:59.760 --> 00:02:02.120]  所以就不會有一種
[00:02:02.120 --> 00:02:03.640]  好像很看不起的感覺
[00:02:03.640 --> 00:02:04.560]  不過
[00:02:04.560 --> 00:02:06.920]  始終好像覺得主耶穌
[00:02:06.920 --> 00:02:09.320]  也是拒人於千里之外
[00:02:09.320 --> 00:02:12.040]  究竟為什麼會這麼做呢?
[00:02:12.040 --> 00:02:14.360]  首先我們不是要慢慢解釋這段的
[00:02:14.360 --> 00:02:15.240]  聖經
[00:02:15.240 --> 00:02:17.200]  很簡單的答案
[00:02:17.200 --> 00:02:19.560]  耶穌有沒有最後治好他的女兒呢?
[00:02:19.560 --> 00:02:20.840]  有
[00:02:20.840 --> 00:02:21.800]  就是了
[00:02:21.800 --> 00:02:23.040]  耶穌怎麼會冷酷呢?
[00:02:23.040 --> 00:02:24.520]  如果冷酷的話就不會治好她了
[00:02:24.520 --> 00:02:25.040]  是不是?
[00:02:25.040 --> 00:02:26.800]  所以整個過程裡面
[00:02:26.800 --> 00:02:29.280]  主耶穌是有意讓我們讀者
[00:02:29.280 --> 00:02:30.560]  或者當時的門徒
[00:02:30.560 --> 00:02:31.920]  甚至這個女人
[00:02:31.920 --> 00:02:34.440]  學習到在祈求
[00:02:34.440 --> 00:02:36.240]  祈禱的功課上
[00:02:36.240 --> 00:02:38.040]  很重要的真理
[00:02:38.040 --> 00:02:40.880]  究竟有什麼樣的真理呢?
[00:02:40.880 --> 00:02:42.000]  時間的關係
[00:02:42.000 --> 00:02:44.400]  我只能夠直接跟大家說
[00:02:44.400 --> 00:02:46.320]  我覺得這段聖經裡面
[00:02:46.320 --> 00:02:48.000]  有很重要的真理
[00:02:48.000 --> 00:02:49.040]  不過
