
[00:00:00.000 --> 00:00:01.640]  今天我們是宣教之日
[00:00:01.640 --> 00:00:04.920]  我想和大家一起看剛才我們所讀的聖經
[00:00:04.920 --> 00:00:07.720]  時間不多,但是是很寶貴的一條聖經
[00:00:07.720 --> 00:00:10.800]  我想和大家看看這個很偉大的
[00:00:10.800 --> 00:00:12.800]  使徒保羅
[00:00:12.800 --> 00:00:18.080]  使徒保羅是一個宣教的經歷
[00:00:18.080 --> 00:00:22.200]  我們看看他那種雄心壯志
[00:00:22.200 --> 00:00:24.800]  我們又看看他怎樣用盡方法
[00:00:24.800 --> 00:00:27.920]  去和他的福音對象溝通
[00:00:27.920 --> 00:00:32.520]  更加重要的是我們看到保羅無論在怎樣的情況下
[00:00:32.520 --> 00:00:36.680]  他對他的福音對象那種不息不滅的愛
[00:00:36.680 --> 00:00:39.760]  我們看看剛才《徹行傳》第十七章
[00:00:39.760 --> 00:00:42.280]  在我們《新學聖經》《唐人聖經》150頁
[00:00:42.280 --> 00:00:43.920]  我不再讀了
[00:00:43.920 --> 00:00:45.280]  因為我想和大家
[00:00:45.280 --> 00:00:51.440]  在思想當中幾個我自己感覺到很得著幫助的重點
[00:00:51.440 --> 00:00:53.520]  我們從第十五節開始看起
[00:00:53.520 --> 00:00:56.920]  一句話就說到保羅是第一次
[00:00:56.920 --> 00:00:59.040]  人家帶他去到雅典
[00:00:59.040 --> 00:01:01.400]  雅典是當時最偉大
[00:01:01.400 --> 00:01:04.200]  是希臘羅馬社會裏面的一個名都
[00:01:04.200 --> 00:01:06.480]  文化之都
[00:01:06.480 --> 00:01:08.960]  作為一個猶太人保羅
[00:01:08.960 --> 00:01:11.240]  第一次去到這個陌生的地方
[00:01:11.240 --> 00:01:13.920]  聖經還說帶了他的人就走了
[00:01:13.920 --> 00:01:15.400]  就剩下他一個在這裏
[00:01:15.400 --> 00:01:18.560]  因為還要帶上西拉和提摩泰來
[00:01:18.560 --> 00:01:21.000]  我們可以想像一個
[00:01:21.000 --> 00:01:22.320]  去到一個陌生的城市
