
[00:00:00.000 --> 00:00:03.640]  今日嘅題目就係最好一份啲嘅健美士
[00:00:03.640 --> 00:00:07.000]  你會諗起咩嘅事或者場景呀
[00:00:07.000 --> 00:00:10.520]  有人話同我講諗起街市
[00:00:10.520 --> 00:00:14.000]  因為街市係一份份嗰啲呢就
[00:00:14.000 --> 00:00:17.560]  十蚊一份咁呀咩十五蚊兩份咁樣呀
[00:00:17.560 --> 00:00:20.600]  咁呀即係中間應該有啲高手㗎嘛
[00:00:20.600 --> 00:00:24.000]  即係唔好以為大嗰份好可能就選靚嗰份
[00:00:24.000 --> 00:00:27.200]  咁點靚呢可能好多學問嘅靚唔靚
[00:00:27.200 --> 00:00:29.800]  即係揀好嘢我諗係由細到大
[00:00:29.800 --> 00:00:31.600]  我哋唔使人教㗎嘛
[00:00:31.600 --> 00:00:34.600]  小朋友就已經識㗎嘛
[00:00:34.600 --> 00:00:38.200]  一人揀一個佢會忙一輪點解
[00:00:38.200 --> 00:00:40.600]  揀最大嗰份
[00:00:40.600 --> 00:00:44.800]  食薯條要攞最長嗰條
[00:00:44.800 --> 00:00:47.000]  一人一條啫咁佢識揀嘅
[00:00:47.000 --> 00:00:48.800]  揀最長嗰條食多啲
[00:00:48.800 --> 00:00:50.400]  鍾意嘅嘢嘛
[00:00:50.400 --> 00:00:54.800]  喺信仰嗰度我哋有冇揀咗個最好嗰份呢
[00:00:54.800 --> 00:00:57.200]  即係每一樣嘢都有個價嘅
[00:00:57.200 --> 00:00:59.400]  或者有個量度嘅標準嘅
[00:00:59.400 --> 00:01:02.800]  今日兩段經文相信都係我哋熟悉
[00:01:02.800 --> 00:01:05.200]  都係可能圍繞住
[00:01:05.200 --> 00:01:08.600]  點樣去睇嗰個價值同價格
[00:01:08.600 --> 00:01:11.600]  過往都有分享一個嘅說法
[00:01:11.600 --> 00:01:14.400]  第一段都好熟嘅就係講到
[00:01:14.400 --> 00:01:20.200]  耶穌同門徒應該就其他經文都有對照
[00:01:20.200 --> 00:01:21.800]  去到一個村莊
[00:01:21.800 --> 00:01:25.200]  有一個馬大嘅女人接待佢
[00:01:25.200 --> 00:01:30.200]  按住呢個事件就應該發生喺耶路撒冷外嘅伯大利
[00:01:30.200 --> 00:01:35.200]  就耶穌進入耶路撒冷之先嘅時間
[00:01:35.200 --> 00:01:37.400]  馬大接待佢冇得出奇
[00:01:37.400 --> 00:01:39.400]  以前接待係一個好重要
[00:01:39.400 --> 00:01:41.200]  好對一啲尊重
[00:01:41.200 --> 00:01:42.200]  即係關注
[00:01:42.200 --> 00:01:43.200]  一個責任
[00:01:43.200 --> 00:01:45.200]  好嘅一個文化
[00:01:45.200 --> 00:01:48.600]  好重要甚至
[00:01:48.600 --> 00:01:51.000]  有一個馬大有個妹妹
[00:01:51.000 --> 00:01:53.600]  叫瑪利亞坐喺主嘅腳前
[00:01:53.600 --> 00:01:55.200]  聽佢說話
[00:01:55.200 --> 00:01:58.400]  馬大卻為許多服侍客人嘅事
[00:01:58.400 --> 00:01:59.600]  心裡煩躁
[00:01:59.600 --> 00:02:01.000]  上前對耶穌說
[00:02:01.000 --> 00:02:02.000]  主啊我妹妹
[00:02:02.000 --> 00:02:03.200]  撇下我一個人服侍
[00:02:03.200 --> 00:02:04.400]  你不管嗎
[00:02:04.400 --> 00:02:06.800]  請吩咐佢來幫我
[00:02:06.800 --> 00:02:09.200]  妹妹瑪利亞喺耶穌腳前
[00:02:09.200 --> 00:02:10.600]  嗰個嘅坐著
[00:02:10.600 --> 00:02:11.800]  聽說話
[00:02:11.800 --> 00:02:14.000]  有啲翻譯本就話
[00:02:14.000 --> 00:02:15.400]  聽佢嘅道
[00:02:15.400 --> 00:02:17.800]  直譯就係嗰個嘅說話
[00:02:17.800 --> 00:02:19.600]  聽佢說話
[00:02:19.600 --> 00:02:21.800]  可能係耶穌嘅教導
[00:02:21.800 --> 00:02:23.600]  即係好多人都樂於
[00:02:23.600 --> 00:02:26.000]  咁嗰個自動自覺嘅一個形態
[00:02:26.000 --> 00:02:27.800]  我哋呢段時間成日講B型
[00:02:27.800 --> 00:02:29.000]  咁呢個B型係點
[00:02:29.000 --> 00:02:31.600]  係一個自動自覺
[00:02:31.600 --> 00:02:33.200]  就唔係耶穌迫佢
[00:02:33.200 --> 00:02:35.200]  或者姐姐坐低
[00:02:35.200 --> 00:02:36.600]  要聽
[00:02:36.600 --> 00:02:39.000]  而係佢被一種吸引
[00:02:39.000 --> 00:02:42.800]  或者佢生命嘅流露本質
[00:02:42.800 --> 00:02:44.600]  坐喺耶穌面前
[00:02:44.600 --> 00:02:46.000]  你話無乜特別啫
[00:02:46.000 --> 00:02:47.600]  咁就門徒成日都咁啦
[00:02:47.600 --> 00:02:49.800]  即係聽佢嘅教導
[00:02:49.800 --> 00:02:51.800]  跟住大家睇到
[00:02:51.800 --> 00:02:54.400]  姐姐瑪大
[00:02:54.400 --> 00:02:56.600]  為好多服侍客人
[00:02:56.600 --> 00:02:59.000]  心裡煩躁
[00:02:59.000 --> 00:03:00.800]  即係心裡忙亂
[00:03:00.800 --> 00:03:02.600]  或者解做好分心
[00:03:02.600 --> 00:03:04.400]  佢嘅B型嘅狀態
[00:03:04.400 --> 00:03:05.800]  又完全唔同
[00:03:05.800 --> 00:03:07.000]  瑪利亞
[00:03:07.000 --> 00:03:09.000]  瑪利亞好靜咁樣喺度聽
[00:03:09.000 --> 00:03:10.600]  大家熟悉嘅故事
[00:03:10.600 --> 00:03:13.400]  瑪大呢
[00:03:13.400 --> 00:03:15.400]  有啲係咪冇禮貌
[00:03:15.400 --> 00:03:17.400]  即係向客人
[00:03:17.400 --> 00:03:19.000]  客人就係耶穌
[00:03:19.000 --> 00:03:21.600]  曲線定係直線
[00:03:21.600 --> 00:03:23.200]  就控訴妹妹
[00:03:23.200 --> 00:03:24.400]  話佢懶啦
[00:03:24.400 --> 00:03:26.200]  定係唔幫手
[00:03:26.200 --> 00:03:28.200]  佢甚至話主呀
[00:03:28.200 --> 00:03:30.200]  我唔知你讀經文有冇
[00:03:30.200 --> 00:03:32.200]  奇怪嘅情況
[00:03:32.200 --> 00:03:34.200]  覺得點解佢唔直接
[00:03:34.200 --> 00:03:36.600]  叫妹妹姐姐嚟
[00:03:36.600 --> 00:03:38.200]  或者鬧佢也好
[00:03:38.200 --> 00:03:39.600]  吩咐佢也好
