
[00:00:00.000 --> 00:00:03.980]  侍奉神是一個很大很大的部分
[00:00:03.980 --> 00:00:07.580]  神多麼榮耀
[00:00:07.580 --> 00:00:09.320]  多麼偉大
[00:00:09.320 --> 00:00:13.220]  我們這些微小 微不足道的人
[00:00:13.220 --> 00:00:15.980]  如果能夠侍奉祂
[00:00:15.980 --> 00:00:18.260]  是真實神給我們
[00:00:18.260 --> 00:00:21.540]  我們所不配做的恩惠
[00:00:21.540 --> 00:00:24.100]  因此呢
[00:00:24.100 --> 00:00:27.340]  當我們有機會侍奉的時候
[00:00:27.340 --> 00:00:29.980]  我們一定要抓住機會
[00:00:30.220 --> 00:00:31.360]  不放過
[00:00:31.360 --> 00:00:35.800]  神給我們這個恩典
[00:00:35.800 --> 00:00:38.060]  不要在我們身上落空
[00:00:38.060 --> 00:00:41.920]  如果有一位尊貴的人物
[00:00:41.920 --> 00:00:45.000]  也邀請我們為他做一件事
[00:00:45.000 --> 00:00:48.420]  我們會很快樂 很高興
[00:00:48.420 --> 00:00:51.380]  很感覺榮幸那樣的去做
[00:00:51.380 --> 00:00:53.140]  不會推辭
[00:00:53.140 --> 00:00:57.380]  我們的天父既然這樣的
[00:00:57.380 --> 00:01:00.720]  呼召我們每一個屬祂的人
[00:01:00.720 --> 00:01:03.760]  要獻上我們的真心靈
[00:01:03.760 --> 00:01:05.420]  為祂而活
[00:01:05.420 --> 00:01:06.760]  侍奉祂
[00:01:06.760 --> 00:01:10.120]  在祂的聖供上有份
[00:01:10.120 --> 00:01:13.080]  那我們就要全力以赴
[00:01:13.080 --> 00:01:15.440]  歡歡喜喜的
[00:01:15.440 --> 00:01:17.440]  有一個榮耀感
[00:01:17.440 --> 00:01:19.440]  榮幸感
[00:01:19.440 --> 00:01:21.860]  去為主而做
[00:01:21.860 --> 00:01:25.180]  今天晚上我們要思想
[00:01:25.180 --> 00:01:28.960]  詩篇裡面關於侍奉的信息
[00:01:28.960 --> 00:01:31.700]  我們先低頭打開
[00:01:31.700 --> 00:01:38.780]  天父你是何等的尊貴榮耀
[00:01:38.780 --> 00:01:40.740]  高高在上
[00:01:40.740 --> 00:01:42.520]  超越一切
[00:01:42.520 --> 00:01:44.680]  你是宇宙的主宰
[00:01:44.680 --> 00:01:47.540]  而我們是何等的卑微的人
[00:01:47.540 --> 00:01:49.200]  何等的渺小
[00:01:49.200 --> 00:01:52.600]  我們的生命是何等的短促
[00:01:52.940 --> 00:01:55.700]  但是我們蒙恩之後做了你的兒女
[00:01:55.700 --> 00:01:58.220]  卻蒙了你那麼大的恩典
[00:01:58.220 --> 00:02:01.000]  是過於我們所求所想的
[00:02:01.000 --> 00:02:04.400]  你在我們身上是永恆的愛
[00:02:04.400 --> 00:02:06.980]  除了我們蒙恩之余
[00:02:06.980 --> 00:02:09.220]  我們願意用感恩的心
[00:02:09.220 --> 00:02:11.020]  歡喜快樂的
[00:02:11.020 --> 00:02:14.180]  榮耀歡欣的來侍奉你
[00:02:14.180 --> 00:02:16.440]  你吩咐我們做的
[00:02:16.440 --> 00:02:19.780]  原來你不需要我們幫助你
[00:02:19.780 --> 00:02:21.580]  你是全能的
[00:02:21.580 --> 00:02:22.760]  全知的
[00:02:22.820 --> 00:02:24.540]  你命力就力
[00:02:24.540 --> 00:02:25.940]  所有就有
[00:02:25.940 --> 00:02:29.860]  你不像假神缺少什麼
[00:02:29.860 --> 00:02:32.520]  你所以要我們侍奉你
[00:02:32.520 --> 00:02:34.320]  是因為你恩待我們
[00:02:34.320 --> 00:02:36.240]  要我們與你統共
[00:02:36.240 --> 00:02:40.820]  要我們參與你的永恆的計劃
[00:02:40.820 --> 00:02:43.580]  主當我們瞭解這樣
[00:02:43.580 --> 00:02:46.640]  強闊高深的恩典的時候
[00:02:46.640 --> 00:02:49.160]  我們真是感謝不盡
[00:02:49.160 --> 00:02:51.560]  我們願意將從你靈咒的
[00:02:51.560 --> 00:02:54.320]  每一份的力量都獻上
[00:02:54.320 --> 00:02:56.200]  來為你所用
[00:02:56.200 --> 00:02:59.000]  做你手中賜福的器皿
[00:02:59.000 --> 00:03:01.880]  所以今天晚上
[00:03:01.880 --> 00:03:06.000]  我們要從你為我們留在手中的詩篇裡面
