
[00:00:00.000 --> 00:00:02.000]  多謝神的恩典
[00:00:02.000 --> 00:00:04.000]  也很感恩
[00:00:04.000 --> 00:00:06.000]  我寫了這篇講章
[00:00:06.000 --> 00:00:08.000]  有我們的同工幫我
[00:00:08.000 --> 00:00:11.000]  將它變成大家可以看得到的PowerPoint
[00:00:11.000 --> 00:00:13.000]  在祈禱的裏面
[00:00:13.000 --> 00:00:16.000]  我自己定了一個題目
[00:00:16.000 --> 00:00:18.000]  就是母親的屬靈使命
[00:00:18.000 --> 00:00:20.000]  因為母親節歌頌母親
[00:00:20.000 --> 00:00:21.000]  很多人都說的了
[00:00:21.000 --> 00:00:23.000]  但是在教會我們似乎應該
[00:00:23.000 --> 00:00:26.000]  是說多一點屬靈的東西
[00:00:26.000 --> 00:00:29.000]  母親她有什麼屬靈的使命呢
[00:00:29.000 --> 00:00:31.000]  當然我說的話不會跳出很多
[00:00:31.000 --> 00:00:34.000]  舊時人們說過的事情
[00:00:34.000 --> 00:00:36.000]  我只是將那些很重要的事情
[00:00:36.000 --> 00:00:39.000]  是重點的說一說
[00:00:39.000 --> 00:00:41.000]  經文我選了路加福音第二章
[00:00:41.000 --> 00:00:43.000]  41到52節
[00:00:43.000 --> 00:00:45.000]  講到的內容我這次分三部分
[00:00:45.000 --> 00:00:48.000]  第一就是講到母親的辛勞
[00:00:48.000 --> 00:00:52.000]  第二就是講到母親的屬靈保護
[00:00:52.000 --> 00:00:55.000]  第三就是講到母親的放手
[00:00:55.000 --> 00:00:57.000]  在預備講章的時候
[00:00:57.000 --> 00:01:01.000]  我探討一些關於母親的角色研究
[00:01:01.000 --> 00:01:03.000]  原來發覺香港或者華語世界
[00:01:03.000 --> 00:01:06.000]  或者英語世界有很多這些討論
[00:01:06.000 --> 00:01:09.000]  有些叫做Sex and Gender
[00:01:09.000 --> 00:01:11.000]  我都看了不少
[00:01:11.000 --> 00:01:13.000]  其中有些觀念很值得我們去想
[00:01:13.000 --> 00:01:16.000]  就是屋和家
[00:01:16.000 --> 00:01:18.000]  你知道我們回家
[00:01:18.000 --> 00:01:21.000]  其實你回你住的地方
[00:01:21.000 --> 00:01:23.000]  但是你有沒有家的感覺呢
[00:01:23.000 --> 00:01:26.000]  因為屋和家是兩個不同的觀念
[00:01:26.000 --> 00:01:31.000]  另一方面就是婚姻和家庭
[00:01:31.000 --> 00:01:33.000]  我們很多時候
[00:01:33.000 --> 00:01:35.000]  不是很清楚他們是什麼含義
[00:01:35.000 --> 00:01:38.000]  婚姻是一男一女一夫一妻的組合
[00:01:38.000 --> 00:01:41.000]  家庭是包括你有下一代
[00:01:41.000 --> 00:01:42.000]  即是有孩子
[00:01:42.000 --> 00:01:46.000]  所以有些人他沒有進入這個狀態
[00:01:46.000 --> 00:01:49.000]  但是我們都一定要去想
[00:01:49.000 --> 00:01:52.000]  我們現在這麼忙碌的生活裡面
[00:01:52.000 --> 00:01:56.000]  我是回家吃飯睡覺
[00:01:56.000 --> 00:01:59.000]  還是我真的有一個家呢
[00:01:59.000 --> 00:02:01.000]  我有沒有一個家的歸屬感
[00:02:01.000 --> 00:02:02.000]  家的感覺呢
[00:02:02.000 --> 00:02:06.000]  會不會在裡面感到得到支持和鼓勵呢
[00:02:06.000 --> 00:02:08.000]  今天趁這個機會我們去想
[00:02:08.000 --> 00:02:09.000]  或者可以想想
[00:02:09.000 --> 00:02:13.000]  以前我們的父母給我們的保護或者祝福
[00:02:13.000 --> 00:02:15.000]  在我看這些資料的時候
[00:02:15.000 --> 00:02:18.000]  我發覺現在的母親很大壓力
[00:02:18.000 --> 00:02:21.000]  因為我已經是不同的年代
