
[00:00:00.000 --> 00:00:03.000]  請大家翻開聖經的約拿書
[00:00:03.000 --> 00:00:05.000]  我們剛才讀過的經文
[00:00:05.000 --> 00:00:08.000]  我們先從第一章來思想
[00:00:08.000 --> 00:00:15.000]  當我們思想到信望愛的時候
[00:00:15.000 --> 00:00:16.000]  大家一定會記得
[00:00:16.000 --> 00:00:19.000]  我們常常在聖經的愛章裏面
[00:00:19.000 --> 00:00:22.000]  讀到一句話
[00:00:22.000 --> 00:00:26.000]  就是愛是凡事盼望
[00:00:27.000 --> 00:00:30.000]  愛是凡事盼望
[00:00:30.000 --> 00:00:35.000]  因為愛也知道上帝是我們的盼望
[00:00:35.000 --> 00:00:37.000]  因此可以不灰心
[00:00:37.000 --> 00:00:40.000]  可以堅持去愛
[00:00:40.000 --> 00:00:43.000]  我想起一些弟兄姊妹的經歷
[00:00:43.000 --> 00:00:45.000]  也想起一些家庭
[00:00:45.000 --> 00:00:48.000]  他們小朋友出生的時候
[00:00:48.000 --> 00:00:51.000]  就知道有一個很特別的情況
[00:00:51.000 --> 00:00:54.000]  就是有一些肌肉萎縮症
[00:00:54.000 --> 00:00:57.000]  這個家庭他們在過程當中很艱難
[00:00:57.000 --> 00:00:59.000]  也有醫生很早告訴他們
[00:00:59.000 --> 00:01:01.000]  孩子的成長很有困難
[00:01:01.000 --> 00:01:04.000]  甚至可能壽數很短
[00:01:04.000 --> 00:01:09.000]  但是這個父母他們很愛惜他們的孩子
[00:01:09.000 --> 00:01:12.000]  所以他們內心有一種很特別的動力
[00:01:12.000 --> 00:01:15.000]  對這個孩子有盼望
[00:01:15.000 --> 00:01:17.000]  因此他們不肯放棄
[00:01:17.000 --> 00:01:20.000]  很堅持地照顧這個孩子
[00:01:20.000 --> 00:01:23.000]  各方面的發展和成長
[00:01:23.000 --> 00:01:27.000]  後來發覺這個孩子的智力沒有影響
[00:01:27.000 --> 00:01:30.000]  也看到他可以讀書
[00:01:30.000 --> 00:01:32.000]  而且後來一步步進了大學
[00:01:32.000 --> 00:01:34.000]  大學畢業
[00:01:34.000 --> 00:01:37.000]  令很多人甚至為醫生感到驚訝
[00:01:37.000 --> 00:01:40.000]  但是過程當中他們體會到
[00:01:40.000 --> 00:01:43.000]  很重要的一種心境
[00:01:43.000 --> 00:01:46.000]  就是一種對孩子的盼望
[00:01:46.000 --> 00:01:49.000]  這種盼望引發出一種動力
[00:01:49.000 --> 00:01:53.000]  去輔助孩子成長
[00:01:53.000 --> 00:01:56.000]  當我們對神有盼望
[00:01:56.000 --> 00:01:59.000]  知道祂能夠成就奇妙的事情
[00:01:59.000 --> 00:02:01.000]  去改變生命
[00:02:01.000 --> 00:02:02.000]  改變別人
[00:02:02.000 --> 00:02:03.000]  改變自己
[00:02:03.000 --> 00:02:05.000]  因此產生一種對自己
[00:02:05.000 --> 00:02:07.000]  和對別人的一種忍耐
[00:02:07.000 --> 00:02:10.000]  可以繼續堅持
[00:02:10.000 --> 00:02:12.000]  以至可以繼續輔助
[00:02:12.000 --> 00:02:14.000]  去幫助別人
[00:02:14.000 --> 00:02:16.000]  我們在我們所身處的城市
[00:02:16.000 --> 00:02:18.000]  其實都面對著很多不同的人等
[00:02:18.000 --> 00:02:21.000]  有些人覺得祂不是很可愛
[00:02:21.000 --> 00:02:23.000]  甚至覺得祂很敗壞
[00:02:23.000 --> 00:02:25.000]  很邪惡
[00:02:25.000 --> 00:02:27.000]  但是在過程當中
[00:02:27.000 --> 00:02:30.000]  當我們將我們的心思放在神身上
[00:02:30.000 --> 00:02:32.000]  知道祂是滿有憐憫的神
[00:02:32.000 --> 00:02:35.000]  祂赤下盼望的時候
[00:02:35.000 --> 00:02:38.000]  就能夠繼續去關懷
[00:02:38.000 --> 00:02:41.000]  繼續去愛護這些朋友
[00:02:41.000 --> 00:02:43.000]  或者不同的群體
[00:02:43.000 --> 00:02:45.000]  而我們今天所思想到的
[00:02:45.000 --> 00:02:47.000]  就是聖經裡面特別提到一個大的城市
[00:02:47.000 --> 00:02:50.000]  這個叫做尼尼眉的城市
[00:02:50.000 --> 00:02:53.000]  神如何去憐憫這個城市
[00:02:53.000 --> 00:02:55.000]  以至祂的恩惠
[00:02:55.000 --> 00:02:57.000]  也都同樣可以臨到
[00:02:57.000 --> 00:02:59.000]  所以大家我們一起去看聖經
[00:02:59.000 --> 00:03:01.000]  在聖經的若拿書
[00:03:01.000 --> 00:03:02.000]  大家想起若拿書
[00:03:02.000 --> 00:03:04.000]  你會想起什麼呢?
[00:03:04.000 --> 00:03:06.000]  想起一條大魚
[00:03:06.000 --> 00:03:11.000]  這條大魚是將若拿吞盡土腹
[00:03:11.000 --> 00:03:14.000]  沒錯,若拿是整卷書一個重要的對象
[00:03:14.000 --> 00:03:16.000]  一個主角
[00:03:16.000 --> 00:03:19.000]  但同時整卷書裡面一個很重要的主角
[00:03:19.000 --> 00:03:22.000]  就是這個尼尼眉城
[00:03:22.000 --> 00:03:24.000]  是神所愛的對象
[00:03:24.000 --> 00:03:26.000]  是神所關懷的對象
[00:03:26.000 --> 00:03:29.000]  所以一開始聖經就提到第一章第一節
[00:03:29.000 --> 00:03:33.000]  神的話臨到一位先知若拿
[00:03:33.000 --> 00:03:34.000]  第二節就說
[00:03:34.000 --> 00:03:37.000]  「起來到尼尼眉大城去
[00:03:37.000 --> 00:03:39.000]  警告其中的居民
[00:03:39.000 --> 00:03:44.000]  因為他們的惡行已經達到我面前」
[00:03:44.000 --> 00:03:47.000]  這個城市是神所關注的
[00:03:47.000 --> 00:03:50.000]  是他留心的一個對象
[00:03:50.000 --> 00:03:53.000]  當中的惡行神是知道了
[00:03:53.000 --> 00:03:55.000]  很清楚裡面所發生的事情
