
[00:00:00.000 --> 00:00:04.200]  我們今天再思想迦拉提書第五章的經文
[00:00:04.200 --> 00:00:06.760]  大家記得我們上次讀到第三章
[00:00:06.760 --> 00:00:09.160]  我們這次一起看第五章
[00:00:09.160 --> 00:00:13.480]  我想先說剛剛之前
[00:00:13.480 --> 00:00:15.960]  見到一位弟兄和他聊天
[00:00:15.960 --> 00:00:18.560]  就想起他過去的一件事情
[00:00:18.560 --> 00:00:22.640]  這位弟兄在幾年之前曾經有些特別的事故
[00:00:22.640 --> 00:00:24.800]  身體有些傷害
[00:00:24.800 --> 00:00:25.960]  進了醫院
[00:00:25.960 --> 00:00:28.240]  突然間要進醫院住
[00:00:28.240 --> 00:00:30.600]  都好像沒有心理準備
[00:00:30.600 --> 00:00:34.040]  還有那段時間他表示很辛苦
[00:00:34.040 --> 00:00:38.320]  所以在過程當中都要忍耐著很多的痛楚
[00:00:38.320 --> 00:00:39.760]  但是很奇妙
[00:00:39.760 --> 00:00:44.120]  他就說到那段時間在他床位的旁邊
[00:00:44.120 --> 00:00:45.440]  有一位病友
[00:00:45.440 --> 00:00:47.640]  因為知道他是基督徒
[00:00:47.640 --> 00:00:50.240]  竟然很主動地問他
[00:00:50.240 --> 00:00:51.800]  你是基督徒嗎?
[00:00:51.800 --> 00:00:54.000]  究竟什麼叫信耶穌?
[00:00:54.960 --> 00:00:56.520]  弟兄覺得很奇怪
[00:00:56.520 --> 00:00:58.560]  就是對方很主動地問他
[00:00:58.560 --> 00:01:01.640]  當時他自己都知道自己身體很不舒服
[00:01:01.640 --> 00:01:04.360]  但是他有一種特別的感動
[00:01:04.360 --> 00:01:06.520]  很想能夠關心他
[00:01:06.520 --> 00:01:08.920]  一直問候他的情況
[00:01:08.920 --> 00:01:10.560]  了解到一些他的家庭
[00:01:10.560 --> 00:01:12.280]  然後慢慢有機會
[00:01:12.280 --> 00:01:15.040]  可以將福音清楚告訴他
