
[00:00:00.000 --> 00:00:03.280]  預備的時候的重點有四大點
[00:00:03.280 --> 00:00:05.080]  亦都在第四頁說了
[00:00:05.080 --> 00:00:06.580]  第四頁的大綱
[00:00:06.580 --> 00:00:09.040]  我寫著耶穌愛門徒
[00:00:09.040 --> 00:00:14.000]  使他們在困境中信靠主
[00:00:14.000 --> 00:00:18.480]  叫門徒得著生命和見到神的榮耀
[00:00:18.480 --> 00:00:21.600]  這是我們今天思想的重點
[00:00:21.600 --> 00:00:23.480]  我們先看第一點
[00:00:23.480 --> 00:00:25.600]  耶穌愛拉撒路
[00:00:25.600 --> 00:00:29.280]  但是還讓他死亡
[00:00:30.280 --> 00:00:34.280]  約翰福音第十一章一開始
[00:00:34.280 --> 00:00:36.280]  約翰福音介紹一個人
[00:00:36.280 --> 00:00:38.280]  這個人叫拉撒路
[00:00:38.280 --> 00:00:41.280]  第一節說到他住在巴大尼
[00:00:41.280 --> 00:00:44.280]  近住耶路撒冷的一個村莊
[00:00:44.280 --> 00:00:48.280]  他也有姊妹
[00:00:48.280 --> 00:00:50.280]  瑪大和瑪利亞
[00:00:50.280 --> 00:00:55.280]  重要的是耶穌很愛這個家庭
[00:00:55.280 --> 00:00:57.280]  耶穌很愛這個家庭
[00:00:57.280 --> 00:00:59.280]  我們怎知道呢?
[00:00:59.280 --> 00:01:01.280]  因為經文第三節
[00:01:01.280 --> 00:01:02.280]  第五節
[00:01:02.280 --> 00:01:03.280]  第三十六節
[00:01:03.280 --> 00:01:06.280]  都明顯說了耶穌很愛這個家庭
[00:01:06.280 --> 00:01:07.280]  三個人
[00:01:07.280 --> 00:01:10.280]  特別在第二節大家看到
[00:01:10.280 --> 00:01:16.280]  講述耶穌被瑪利亞所高沒這件事件
[00:01:16.280 --> 00:01:20.280]  是在第十二章第三節才出現
[00:01:20.280 --> 00:01:23.280]  也就是說在第十一章的時候
[00:01:23.280 --> 00:01:27.280]  約翰作者已經預告了一件事
[00:01:27.280 --> 00:01:29.280]  在第十二章發生
[00:01:29.280 --> 00:01:32.280]  就是瑪利亞高沒耶穌
[00:01:32.280 --> 00:01:35.280]  也就是說特別藉著這件事
[00:01:35.280 --> 00:01:38.280]  預先的記錄
[00:01:38.280 --> 00:01:44.280]  是在講述瑪利亞和耶穌一個很深厚的關係
[00:01:44.280 --> 00:01:46.280]  一個很深厚的關係
[00:01:46.280 --> 00:01:49.280]  第三十五節更加說到
[00:01:49.280 --> 00:01:54.280]  耶穌因著拉撒路這個事件哭了
[00:01:54.280 --> 00:01:59.280]  所以從各方的經文和記述
[00:01:59.280 --> 00:02:01.280]  是說一件事
[00:02:01.280 --> 00:02:03.280]  約翰很想我們知道的
[00:02:03.280 --> 00:02:06.280]  就是耶穌確實很愛這個家庭
[00:02:06.280 --> 00:02:09.280]  瑪利亞、馬大和拉撒路
[00:02:09.280 --> 00:02:13.280]  故事說到拉撒路病了
[00:02:13.280 --> 00:02:15.280]  然後死亡
[00:02:16.280 --> 00:02:19.280]  很多猶太人來到安慰這個家庭
[00:02:19.280 --> 00:02:21.280]  特別是馬大和瑪利亞
[00:02:21.280 --> 00:02:24.280]  第十九節和三十三節
[00:02:24.280 --> 00:02:28.280]  拉撒路的死亡代表什麼呢
[00:02:28.280 --> 00:02:30.280]  可以代表失去
[00:02:30.280 --> 00:02:33.280]  可以代表傷痛
[00:02:33.280 --> 00:02:36.280]  也可以代表絕望
[00:02:36.280 --> 00:02:39.280]  不過對馬大和瑪利亞來說
[00:02:39.280 --> 00:02:42.280]  對他們有更深層的意義
[00:02:42.280 --> 00:02:44.280]  因為對馬大和瑪利亞來說
[00:02:44.280 --> 00:02:49.280]  他們除了見到親愛的兄弟拉撒路死了
[00:02:49.280 --> 00:02:52.280]  又要埋葬之外
[00:02:52.280 --> 00:02:54.280]  他們會問一條問題
[00:02:54.280 --> 00:02:59.280]  問題在二十一節和三十二節說了
[00:02:59.280 --> 00:03:04.280]  如果耶穌是愛我們的時候
[00:03:04.280 --> 00:03:06.280]  為什麼容許這件事發生呢
[00:03:06.280 --> 00:03:10.280]  在第三節我們經文說到
[00:03:10.280 --> 00:03:16.280]  馬大和瑪利亞知道耶穌在約旦河附近出沒
[00:03:16.280 --> 00:03:22.280]  所以他們派人趕快告訴耶穌
[00:03:22.280 --> 00:03:26.280]  拉撒路真的病了,快點來
[00:03:26.280 --> 00:03:30.280]  但是耶穌沒有馬上到達
[00:03:30.280 --> 00:03:34.280]  所以在馬大和瑪利亞的心中有很多困惑
[00:03:34.280 --> 00:03:36.280]  有很多疑團
[00:03:37.280 --> 00:03:43.280]  為什麼耶穌不出現阻止拉撒路死亡的事件呢
[00:03:43.280 --> 00:03:47.280]  同時在三十六和三十七節
[00:03:47.280 --> 00:03:49.280]  今天經文其實很長
[00:03:49.280 --> 00:03:52.280]  如果要Jacky讀完四十多節就辛苦了
[00:03:52.280 --> 00:03:54.280]  所以大家可以打開聖經看
[00:03:54.280 --> 00:03:57.280]  三十六和三十七節猶太人都是這樣問的
[00:03:57.280 --> 00:03:59.280]  他們問什麼呢
[00:03:59.280 --> 00:04:03.280]  如果耶穌能夠醫好眼瞎的
[00:04:03.280 --> 00:04:05.280]  在第九章上回
[00:04:05.280 --> 00:04:09.280]  能夠將生來眼瞎的都能夠醫好的時候
[00:04:09.280 --> 00:04:13.280]  為什麼他不能夠來醫好拉撒路的病
[00:04:13.280 --> 00:04:15.280]  而容許他死亡呢
[00:04:15.280 --> 00:04:21.280]  我們近來也有很多疑問
[00:04:21.280 --> 00:04:23.280]  心中大家的姐妹
[00:04:23.280 --> 00:04:25.280]  謝全道
[00:04:25.280 --> 00:04:27.280]  惠琴
[00:04:27.280 --> 00:04:30.280]  今早洪傑告訴我們
[00:04:30.280 --> 00:04:35.280]  Michael的太太Lisa也差不多
[00:04:35.280 --> 00:04:39.280]  我們心中有很多疑問
[00:04:39.280 --> 00:04:42.280]  為什麼耶穌是這樣呢
[00:04:42.280 --> 00:04:46.280]  為什麼耶穌是這樣呢
[00:04:46.280 --> 00:04:49.280]  我們真的不解
[00:04:49.280 --> 00:04:53.280]  而事實上經文告訴我們
[00:04:53.280 --> 00:04:56.280]  當耶穌聽到拉撒路病了之後
[00:04:56.280 --> 00:05:00.280]  在第六節特意多留兩天
[00:05:00.280 --> 00:05:03.280]  然後在第三十九節說
[00:05:03.280 --> 00:05:06.280]  他什麼時候去到拉撒路的墳墓呢
[00:05:06.280 --> 00:05:08.280]  是拉撒路死了四天之後
[00:05:08.280 --> 00:05:12.280]  為什麼耶穌愛拉撒路
[00:05:12.280 --> 00:05:16.280]  容許拉撒路、瑪利亞和馬大
[00:05:16.280 --> 00:05:18.280]  落在如此的光景呢
[00:05:18.280 --> 00:05:21.280]  第二點
[00:05:21.280 --> 00:05:25.280]  耶穌的愛是讓很多人見到神的榮耀
[00:05:25.280 --> 00:05:30.280]  耶穌的愛是讓很多人見到神的榮耀
[00:05:30.280 --> 00:05:40.280]  耶穌愛拉撒路和瑪大瑪利亞
[00:05:40.280 --> 00:05:42.280]  愛到他們一個地步
[00:05:42.280 --> 00:05:43.280]  容許這件事的發生
[00:05:43.280 --> 00:05:45.280]  是為了一個原因
[00:05:45.280 --> 00:05:46.280]  就是第四節
[00:05:46.280 --> 00:05:48.280]  因為耶穌說出這個原因
[00:05:48.280 --> 00:05:49.280]  他說
[00:05:49.280 --> 00:05:51.280]  這病不至於死
[00:05:51.280 --> 00:05:53.280]  乃是為神的榮耀
[00:05:53.280 --> 00:05:56.280]  要神的兒子因此得榮耀
[00:05:56.280 --> 00:05:57.280]  第一件事
[00:05:57.280 --> 00:05:58.280]  在耶穌的心目當中
[00:05:58.280 --> 00:06:00.280]  當聽到拉撒路病了的時候
[00:06:00.280 --> 00:06:01.280]  第一件事
[00:06:01.280 --> 00:06:03.280]  耶穌想起的
[00:06:03.280 --> 00:06:06.280]  就是和上帝天父的榮耀
[00:06:06.280 --> 00:06:09.280]  和他自己的榮耀的扯上關係
[00:06:09.280 --> 00:06:13.280]  這個病是和神的榮耀扯上關係
[00:06:13.280 --> 00:06:15.280]  也就是說
[00:06:15.280 --> 00:06:18.280]  在作者約翰的心目當中
[00:06:18.280 --> 00:06:20.280]  整個十一章的焦點
[00:06:20.280 --> 00:06:22.280]  不是在拉撒路那裡
[00:06:22.280 --> 00:06:24.280]  不是在拉撒路的病那裡
[00:06:24.280 --> 00:06:26.280]  不是在拉撒路死那裡
[00:06:26.280 --> 00:06:28.280]  整個十一章的故事的焦點
[00:06:28.280 --> 00:06:30.280]  是神的榮耀
[00:06:30.280 --> 00:06:31.280]  是神自己
[00:06:31.280 --> 00:06:33.280]  是耶穌自己
[00:06:33.280 --> 00:06:34.280]  主角不是拉撒路
[00:06:34.280 --> 00:06:35.280]  不是瑪大瑪利亞
[00:06:35.280 --> 00:06:37.280]  主角是耶穌
[00:06:37.280 --> 00:06:39.280]  整個事件
[00:06:39.280 --> 00:06:41.280]  是容許
