
[00:00:00.000 --> 00:00:18.000]  感謝主再次給我一次機會,能夠在港九培靈園經會裏面和各位弟兄姊妹分享所的話語,
[00:00:18.000 --> 00:00:45.000]  這次我們要一同領受詩篇裏面的信息,在三十四年前,就是一九五一年,我第一次被邀請在港九培靈園經會講道,
[00:00:45.000 --> 00:01:05.000]  我講的題目就是詩篇,三十四年以後的今天,我再講詩篇,這次講的和那次講的內容就完全不同了,
[00:01:05.000 --> 00:01:24.000]  我們用預備好的心,愛主和愛主話的心,一同來領受主的信息,詩篇是很特別的一卷書,
[00:01:24.000 --> 00:01:43.000]  因此在單單有星月的聖經的後面附有詩篇,這就表示一般的弟兄姊妹是很關心讀詩篇,
[00:01:43.000 --> 00:02:06.000]  小小的一本星月放在口袋裏面,可以隨時來讀,後面就有詩篇,如果聖經裏面少了詩篇這卷書,我相信那是一個很大的缺少,
[00:02:06.000 --> 00:02:23.000]  因為在詩篇裏面,我們看見許許多多屬神的人的心聲,他們的心聲是生活的經驗的見證,
[00:02:23.000 --> 00:02:46.000]  所以我們讀起來的時候,常常覺得有同感,常常心裏面有共鳴,好像我們要說的話,是人替我們說出來,
[00:02:46.000 --> 00:03:01.000]  是人的經歷和我們的經歷有許許多多的吻合的地方,所以我們讀起來覺得很入心,
[00:03:01.000 --> 00:03:18.000]  因此全世界的基督徒都是關心讀詩篇的,我們要領受詩人們的屬靈的經歷,
[00:03:18.000 --> 00:03:31.000]  從他們的經歷裏面得到勉勵,得到提醒,得到幫助,得到指引,
[00:03:31.000 --> 00:03:47.000]  今天晚上我要講的題目,是詩篇裏面七幅復興的圖畫,現在我們開始看,
[00:03:47.000 --> 00:04:04.000]  第一幅的圖畫,在一百零三篇第五節,
[00:04:04.000 --> 00:04:17.000]  「他用美聞使你所願的得以知足,以致你如鷹返老還童。」
[00:04:17.000 --> 00:04:31.000]  鷹有一個特點,就是在他年老的時候,他全身的羽毛重新出一次,
[00:04:31.000 --> 00:04:50.000]  所以我們看見一隻老鷹羽毛豐盛,詩人就用一隻年老的鷹羽毛豐滿這一幅圖畫來描寫屬靈的復興,
[00:04:50.000 --> 00:05:00.000]  詩人就用這一幅老鷹的羽毛再生出來,看見我們的一燈,看見我們的復興。
[00:05:00.000 --> 00:05:05.000]  這種的復興是什麼復興呢?
[00:05:05.000 --> 00:05:13.000]  是我們在時間的考驗之下的復興,
[00:05:13.000 --> 00:05:18.000]  在心理學上有一條定律,
[00:05:18.000 --> 00:05:31.000]  就是我們所熟悉的事物,漸漸我們對它就失去了興趣,減少了興趣,
[00:05:31.000 --> 00:05:37.000]  越熟悉就興趣越低,
[00:05:37.000 --> 00:05:43.000]  在生理學上也有一種現象,
[00:05:43.000 --> 00:05:50.000]  就是一個人工作越久他就越疲倦,
[00:05:50.000 --> 00:05:56.000]  當我們信主的時間長久以後,
[00:05:56.000 --> 00:06:02.000]  當我們侍奉主的時間長久以後,
[00:06:02.000 --> 00:06:10.000]  我們的熱心,我們的福靈的興趣開始慢慢減低,
[00:06:10.000 --> 00:06:15.000]  我們的熱心,我們的屬靈的興趣開始慢慢減低了,
[00:06:15.000 --> 00:06:19.000]  我們的負擔也減少了,
[00:06:19.000 --> 00:06:25.000]  在這樣的情況之下,我們需要復興,
[00:06:25.000 --> 00:06:32.000]  詩人用這一幅的圖畫來提醒我們,
[00:06:32.000 --> 00:06:47.000]  但願我們在信主一段長久的時間以後,我們的屬靈的羽毛又豐滿起來,
[00:06:47.000 --> 00:06:52.000]  大家都知道約翰·韋斯尼,
[00:06:52.000 --> 00:06:58.000]  他在八十八歲的時候過世,
[00:06:58.000 --> 00:07:03.000]  他在最後的時候這樣說,
[00:07:03.000 --> 00:07:11.000]  最好的就是神與我們同在,
[00:07:11.000 --> 00:07:21.000]  他在八十八歲的高齡仍然心裏充滿了神的同在,
[00:07:21.000 --> 00:07:28.000]  在北美有一間大學,叫Hamilton College,
[00:07:28.000 --> 00:07:35.000]  是一個大學的創辦人,
[00:07:35.000 --> 00:07:39.000]  也就是第一任的校長,
[00:07:39.000 --> 00:07:43.000]  他非常的愛主,
[00:07:43.000 --> 00:07:50.000]  他的大學也造就出來許多愛主的先生的青年,
[00:07:50.000 --> 00:07:55.000]  當這位校長年老的時候,
[00:07:55.000 --> 00:07:57.000]  他生病,
[00:07:57.000 --> 00:08:01.000]  醫生很坦白告訴他,
[00:08:01.000 --> 00:08:07.000]  他只有半個小時的生命,
[00:08:07.000 --> 00:08:10.000]  這個時候他怎麼做呢?
[00:08:10.000 --> 00:08:15.000]  他就要他的親人在他的床邊,
[00:08:15.000 --> 00:08:20.000]  他就要他的親人在他的床邊,
[00:08:20.000 --> 00:08:22.000]  他就叫他親人在他床邊,
[00:08:22.000 --> 00:08:24.000]  對他們說,
[00:08:24.000 --> 00:08:26.000]  我有一個請求,
[00:08:26.000 --> 00:08:29.000]  請你們不要推辭,
[00:08:29.000 --> 00:08:32.000]  他們說我們不推辭,
[00:08:32.000 --> 00:08:37.000]  他說,請你們把我在床上扶起來,
[00:08:37.000 --> 00:08:44.000]  跪下在床上,
[00:08:44.000 --> 00:08:46.000]  我要禱告,
[00:08:46.000 --> 00:08:51.000]  他們答應了,就不能不照做,
[00:08:51.000 --> 00:08:54.000]  他們就扶著他,
[00:08:54.000 --> 00:08:56.000]  跪在床上,
[00:08:56.000 --> 00:09:04.000]  他用他在世的最後的半個小時禱告,
[00:09:04.000 --> 00:09:08.000]  他為了什麼事禱告呢?
[00:09:08.000 --> 00:09:13.000]  他為了世界歸主禱告,
[00:09:13.000 --> 00:09:17.000]  這是他最關心的事,
[00:09:17.000 --> 00:09:20.000]  這一種的關心,
[00:09:20.000 --> 00:09:29.000]  一直維持在他的心靈中到最後的一刻,
[00:09:29.000 --> 00:09:33.000]  這是何等的寶貴,
[00:09:33.000 --> 00:09:39.000]  我們信主是奉旨有多久了?
[00:09:39.000 --> 00:09:43.000]  我們有沒有在時間的考驗之下,
