
[00:00:00.000 --> 00:00:06.000]  難道你們不能和我警醒片刻嗎?
[00:00:06.000 --> 00:00:11.000]  在主耶穌被賣的那一晚
[00:00:11.000 --> 00:00:14.000]  在克西瑪尼園
[00:00:14.000 --> 00:00:21.000]  耶穌對門徒說了一句很語重心長的話
[00:00:21.000 --> 00:00:29.000]  他說:難道你們不能和我警醒片刻嗎?
[00:00:30.000 --> 00:00:36.000]  面對一個未知的將來
[00:00:36.000 --> 00:00:42.000]  最好的預備就是警醒
[00:00:42.000 --> 00:00:51.000]  門徒在克西瑪尼園不知道會發生什麼事
[00:00:51.000 --> 00:01:00.000]  耶穌說:難道你們不能和我警醒片刻嗎?
[00:01:00.000 --> 00:01:05.000]  當我們不知道前面會發生什麼事的時候
[00:01:05.000 --> 00:01:07.000]  我們怎麼預備呢?
[00:01:07.000 --> 00:01:09.000]  無所預備的
[00:01:09.000 --> 00:01:11.000]  無從預備
[00:01:11.000 --> 00:01:14.000]  估計不了會發生什麼事
[00:01:14.000 --> 00:01:16.000]  我們要知道會發生什麼事
[00:01:16.000 --> 00:01:19.000]  發生會怎麼樣,我們才可以如何預備
[00:01:19.000 --> 00:01:23.000]  但是有誰會知道將來會發生什麼事呢?
[00:01:23.000 --> 00:01:28.000]  在未來一年多的日子裡會發生很多的事
[00:01:28.000 --> 00:01:30.000]  你和我都不知道
[00:01:30.000 --> 00:01:33.000]  究竟我們可以如何預備呢?
[00:01:33.000 --> 00:01:37.000]  有很多人想想估計將來會怎麼發生
[00:01:37.000 --> 00:01:39.000]  就怎麼去預備
[00:01:39.000 --> 00:01:43.000]  這個不是最聰明的方法
[00:01:43.000 --> 00:01:46.000]  門徒就是用這樣的方法
[00:01:46.000 --> 00:01:49.000]  他們估計有些大事會發生
[00:01:49.000 --> 00:01:54.000]  耶穌在最後晚餐的時候好像要和他們分離
[00:01:54.000 --> 00:01:57.000]  到了黑暗的克西瑪尼園的時候
[00:01:57.000 --> 00:02:00.000]  可能有些重要的事情會發生
[00:02:00.000 --> 00:02:03.000]  起碼他們估計到有危險的事情會發生
[00:02:03.000 --> 00:02:06.000]  他們估計到有危險的事情會發生
[00:02:06.000 --> 00:02:10.000]  到了黑暗的克西瑪尼園可能有些重要的事情會發生
[00:02:10.000 --> 00:02:14.000]  起碼他們估計到有危險的事情會發生
[00:02:14.000 --> 00:02:18.000]  如果不是他們不會買刀
[00:02:18.000 --> 00:02:22.000]  如果不是彼得說每個人都離開你,我不會離開你
[00:02:22.000 --> 00:02:28.000]  我們不能否認門徒也有預備
[00:02:28.000 --> 00:02:33.000]  門徒都是想,尤其是彼得
[00:02:33.000 --> 00:02:36.000]  門徒尤其是彼得
[00:02:36.000 --> 00:02:38.000]  他們想有危險的時候
[00:02:38.000 --> 00:02:40.000]  我預備好刀
[00:02:40.000 --> 00:02:44.000]  於是真的有人來抓耶穌的時候
[00:02:44.000 --> 00:02:50.000]  於是就把那個冰冰的耳朵砍了下來
[00:02:50.000 --> 00:02:54.000]  他以為耶穌做得好
[00:02:54.000 --> 00:02:58.000]  誰知耶穌說你不要這樣做
[00:02:58.000 --> 00:03:02.000]  誰動刀的就要死在刀下
[00:03:02.000 --> 00:03:05.000]  彼得所估計的全部錯了
[00:03:05.000 --> 00:03:07.000]  彼得的估計全錯了
[00:03:07.000 --> 00:03:09.000]  他以為帶著刀就可以保護耶穌
[00:03:09.000 --> 00:03:11.000]  他以為帶著刀就能保護耶穌
[00:03:11.000 --> 00:03:13.000]  誰知耶穌不要人保護他
[00:03:13.000 --> 00:03:15.000]  誰知耶穌不要人保護他
[00:03:15.000 --> 00:03:16.000]  耶穌願意被人抓
[00:03:16.000 --> 00:03:17.000]  耶穌願意讓人抓
[00:03:17.000 --> 00:03:19.000]  彼得的估計全部錯了
[00:03:19.000 --> 00:03:21.000]  彼得的估計都錯了
[00:03:21.000 --> 00:03:24.000]  彼得不是估計得那麼差
[00:03:24.000 --> 00:03:26.000]  彼得不是估計得那麼差
[00:03:26.000 --> 00:03:29.000]  彼得估計說就算無論如何發生什麼事
[00:03:29.000 --> 00:03:32.000]  我預備好心情,我不會出賣你
[00:03:32.000 --> 00:03:33.000]  彼得的預備是
[00:03:33.000 --> 00:03:36.000]  不管發生什麼事,我預備好心情,不出賣你
[00:03:36.000 --> 00:03:38.000]  我絕對可以相信彼得是想好
[00:03:38.000 --> 00:03:41.000]  無論是多困難受死,他要他的命
[00:03:41.000 --> 00:03:43.000]  他都不會出賣耶穌
[00:03:43.000 --> 00:03:45.000]  我絕對相信彼得是做好心理準備
[00:03:45.000 --> 00:03:47.000]  就算要他的命,他也要保護耶穌
[00:03:47.000 --> 00:03:48.000]  最多就和你拼命
[00:03:48.000 --> 00:03:50.000]  最多就和你拼了
[00:03:50.000 --> 00:03:51.000]  跟了耶穌三年了
[00:03:51.000 --> 00:03:52.000]  跟了耶穌三年
[00:03:52.000 --> 00:03:53.000]  什麼危險都見過了
[00:03:53.000 --> 00:03:54.000]  什麼危險都看過了
[00:03:54.000 --> 00:03:55.000]  命我都不要緊了
[00:03:55.000 --> 00:03:56.000]  命也不要緊了
[00:03:56.000 --> 00:03:58.000]  帶著刀就是想和人拼命了
[00:03:58.000 --> 00:04:00.000]  帶著刀就是想著要豁出去了
[00:04:00.000 --> 00:04:02.000]  所以彼得能夠怕心口說
[00:04:02.000 --> 00:04:03.000]  個個離開你,我不會離開你
[00:04:03.000 --> 00:04:05.000]  所以彼得可以大膽地說
[00:04:05.000 --> 00:04:07.000]  哥哥離開你,我都不離開你
[00:04:07.000 --> 00:04:08.000]  一個預備去死的人
[00:04:08.000 --> 00:04:12.000]  我相信不會再有任何的困難
[00:04:12.000 --> 00:04:13.000]  他會害怕面對
[00:04:13.000 --> 00:04:15.000]  一個預備好死的人
[00:04:15.000 --> 00:04:17.000]  相信沒有什麼困難可以嚇倒他
[00:04:17.000 --> 00:04:19.000]  誰知道彼得想不到這個情況
[00:04:19.000 --> 00:04:20.000]  誰知道彼得沒想到一個事情
[00:04:20.000 --> 00:04:22.000]  不是那幫兵兵衝過來
[00:04:22.000 --> 00:04:24.000]  彼得殺過去,不是的
[00:04:24.000 --> 00:04:26.000]  不是那幫兵兵衝過來
[00:04:26.000 --> 00:04:27.000]  他就殺過去
[00:04:27.000 --> 00:04:29.000]  如果這樣,彼得是可以的
[00:04:29.000 --> 00:04:31.000]  如果這樣的話,彼得大概是可以的
[00:04:31.000 --> 00:04:32.000]  誰知道彼得所面對的
[00:04:32.000 --> 00:04:34.000]  完全不同的情況
[00:04:34.000 --> 00:04:35.000]  誰知道彼得面對的是
