
[00:00:00.000 --> 00:00:05.000]  保羅在25節用了一個很特別的字,奧秘這個字
[00:00:05.000 --> 00:00:08.500]  奧秘這個字,mysterion這個字
[00:00:08.500 --> 00:00:13.000]  這個字當然是一個秘密,奧秘是一個秘密
[00:00:13.000 --> 00:00:18.000]  或者是超過人一般的知識,這樣的意思
[00:00:18.000 --> 00:00:22.000]  所以在馬特福音13章,耶穌曾經這樣說
[00:00:22.000 --> 00:00:26.000]  天國的奧秘只叫你們門徒知道,其他人是不知道的
[00:00:26.000 --> 00:00:32.000]  這個是奧秘,這個奧秘有四個特質,在第25,26節
[00:00:32.000 --> 00:00:38.000]  第一,它是永古隱藏的,從創世的時候開始
[00:00:38.000 --> 00:00:45.000]  就是一個收藏了的秘密
[00:00:45.000 --> 00:00:51.000]  第二,這個奧秘如今顯明出來,被揭示的
[00:00:51.000 --> 00:00:56.000]  每個人都應該知道的,第三,是按照永生神的名
[00:00:56.000 --> 00:01:01.000]  是按照神的旨意和最美好的計劃,去揭示出來的
[00:01:01.000 --> 00:01:08.000]  第四,是直衆先知的書,舊約所有的書都是指向這個奧秘
[00:01:08.000 --> 00:01:17.000]  舊約的人不太明白,但是很多先知都揭示了這個奧秘是一個怎樣的奧秘
[00:01:17.000 --> 00:01:22.000]  在新約就呈現了出來,每個人都應該知道的
[00:01:22.000 --> 00:01:27.000]  這個奧秘是什麼奧秘呢?我從四個大方向和大家思想這個奧秘
[00:01:27.000 --> 00:01:31.000]  第一,這個奧秘是以基督為中心
[00:01:31.000 --> 00:01:35.000]  第二,這個奧秘是幫助和堅固信徒的信心
[00:01:35.000 --> 00:01:41.000]  第三,這個奧秘是帶給所有人去認知上帝
[00:01:41.000 --> 00:01:45.000]  第四,這個奧秘也是榮耀上主自己
[00:01:45.000 --> 00:01:50.000]  我們先看第一點,這個奧秘是以基督為中心
[00:01:50.000 --> 00:01:55.000]  保羅用兩個大段落,兩個很寶貴的經文來講這個奧秘是什麼奧秘
[00:01:55.000 --> 00:02:02.000]  第一段就是以忽所書,第三章頭六節經文,講了這個奧秘是什麼奧秘
