
[00:00:00.000 --> 00:00:01.800]  詩篇十八篇第一節
[00:00:01.800 --> 00:00:04.560]  如果大家看到之前有幾個細節
[00:00:04.560 --> 00:00:07.120]  講到大衛當時寫編詩的時候
[00:00:07.120 --> 00:00:09.920]  是因為神救他脫離了一切的仇敵
[00:00:09.920 --> 00:00:13.280]  和追殺他的訴羅的手
[00:00:13.280 --> 00:00:15.600]  人心經歷很多困難
[00:00:15.600 --> 00:00:18.000]  一回想神的恩惠
[00:00:18.000 --> 00:00:21.040]  神怎樣幫他經過重重的難關
[00:00:21.040 --> 00:00:22.360]  一想起的時候
[00:00:22.360 --> 00:00:25.560]  心中的感情就湧入出來
[00:00:25.560 --> 00:00:27.160]  所以大衛說
[00:00:27.160 --> 00:00:30.800]  耶和華說我的力量呀 我愛你
[00:00:30.800 --> 00:00:33.240]  一開始就很清晰地表示出
[00:00:33.240 --> 00:00:34.640]  對神的感恩
[00:00:34.640 --> 00:00:37.840]  很自然地流露出那種感情
[00:00:37.840 --> 00:00:39.920]  然後大衛就說到
[00:00:39.920 --> 00:00:44.000]  神是他的八方面的一種經歷
[00:00:44.000 --> 00:00:46.320]  耶和華說是我的岩石
[00:00:46.320 --> 00:00:47.560]  山寨
[00:00:47.560 --> 00:00:48.800]  救主
[00:00:48.800 --> 00:00:49.760]  神
[00:00:49.760 --> 00:00:50.920]  盤石
[00:00:50.920 --> 00:00:52.120]  盾牌
[00:00:52.120 --> 00:00:53.480]  拯救的閣
[00:00:53.480 --> 00:00:55.760]  和高台
[00:00:55.760 --> 00:00:57.160]  就算用多少個說話
[00:00:57.160 --> 00:00:59.960]  都不能完全描述得完備
[00:00:59.960 --> 00:01:03.800]  神那種對我們各方面的幫助
[00:01:03.800 --> 00:01:05.680]  當大衛講到盤石的時候
[00:01:05.680 --> 00:01:07.160]  有一個小的豬腳
[00:01:07.160 --> 00:01:11.440]  它是我的盤石 是我所投靠的
[00:01:11.440 --> 00:01:14.400]  這塊盤石極其穩固
[00:01:14.400 --> 00:01:16.800]  站在上面很安穩
[00:01:16.800 --> 00:01:18.240]  如果你試過走一些石灘
[00:01:18.240 --> 00:01:19.240]  你會明白
[00:01:19.240 --> 00:01:21.200]  有些石灘的石頭
[00:01:21.200 --> 00:01:22.200]  好像很穩固
[00:01:22.200 --> 00:01:24.960]  一走上去就搖晃
[00:01:24.960 --> 00:01:27.200]  你會甚至跌下來
[00:01:27.200 --> 00:01:28.000]  但是聖經描寫
[00:01:28.000 --> 00:01:30.960]  我們的神是大的穩固的盤石
[00:01:30.960 --> 00:01:34.520]  我們在上面必不至於動搖
[00:01:34.520 --> 00:01:36.400]  因此大衛就說
[00:01:36.400 --> 00:01:39.640]  祂是我的盤石 是我所投靠的
[00:01:39.640 --> 00:01:43.080]  是我專心投靠的對象
[00:01:43.080 --> 00:01:45.880]  這個是大衛很深刻的一種體會
[00:01:45.880 --> 00:01:46.600]  各位弟兄姊妹
[00:01:46.600 --> 00:01:47.800]  在你將來
[00:01:47.800 --> 00:01:50.880]  你人生或者會面對著不少的困難
[00:01:50.880 --> 00:01:54.280]  正如教會在過去都面對著不少的困難
[00:01:54.280 --> 00:01:56.480]  但是我們有一個信念
[00:01:56.480 --> 00:01:57.760]  這個信念是
[00:01:57.760 --> 00:02:00.640]  耶和華是我們的力量
[00:02:00.640 --> 00:02:05.320]  是我們的盤石 是我們所倚靠的
[00:02:05.320 --> 00:02:07.440]  第二方面大家再看後面的經文
[00:02:07.440 --> 00:02:10.200]  在二十五節開始提到
[00:02:10.200 --> 00:02:11.760]  神是慈愛的
[00:02:11.760 --> 00:02:15.080]  亦都是按祂的公義審判我們的神
[00:02:15.080 --> 00:02:19.160]  但是祂使軟弱的變成為剛強
[00:02:19.160 --> 00:02:24.560]  大家看看第二十八節
[00:02:24.560 --> 00:02:27.640]  祂使軟弱的變成剛強
[00:02:27.640 --> 00:02:29.240]  聖經在第二十八節說
[00:02:29.240 --> 00:02:31.920]  「你必點著我的燈」
[00:02:31.920 --> 00:02:35.000]  耶和華說「我的神必照明我的黑暗」
[00:02:35.000 --> 00:02:37.280]  「點著我的燈」意思是說
[00:02:37.280 --> 00:02:39.880]  是讓我的燈不至熄滅
[00:02:39.880 --> 00:02:43.200]  是繼續發光亮
[00:02:43.200 --> 00:02:46.920]  這盞燈是能夠持續發光
[00:02:46.920 --> 00:02:50.080]  而且聖經說「照明我的黑暗」
[00:02:50.080 --> 00:02:54.160]  意思是說把我的黑暗轉為光明
[00:02:54.160 --> 00:02:55.720]  本來面對著很多黑暈
[00:02:55.720 --> 00:02:57.080]  很多暴風雨
[00:02:57.080 --> 00:03:01.880]  但神將這一切轉變成為光明
[00:03:01.880 --> 00:03:03.840]  剛才提到報道會
[00:03:03.840 --> 00:03:06.920]  陳敏儀一位藝人 嬌徒姐妹
[00:03:06.920 --> 00:03:09.560]  來到我們中間分享她的見證
