
[00:00:00.000 --> 00:00:04.000]  在上個崇拜,大家還記得
[00:00:04.000 --> 00:00:07.800]  他講到我們應當以基督耶穌的心為心
[00:00:07.800 --> 00:00:09.800]  保羅用這個去教導
[00:00:09.800 --> 00:00:11.400]  當時在教會當中
[00:00:11.400 --> 00:00:14.600]  因著有不少的人
[00:00:14.600 --> 00:00:17.600]  有因著自己利益自私的緣故
[00:00:17.600 --> 00:00:19.200]  有紛爭、結黨
[00:00:19.200 --> 00:00:22.200]  有不同的派系,可以這樣說
[00:00:22.200 --> 00:00:24.200]  不同的黨在當中
[00:00:24.200 --> 00:00:28.400]  但是保羅用耶穌基督的榜樣
[00:00:28.400 --> 00:00:31.200]  耶穌基督本來與上帝有同等的地位
[00:00:31.200 --> 00:00:33.400]  但是他願意自己謙下
[00:00:33.400 --> 00:00:34.600]  放下自己
[00:00:34.600 --> 00:00:37.600]  去完成上帝交託給他的工作
[00:00:37.600 --> 00:00:39.600]  所以我們應該要學習耶穌這個
[00:00:39.600 --> 00:00:42.800]  捨己犧牲的精神
[00:00:42.800 --> 00:00:46.000]  去有一個同一的心
[00:00:46.000 --> 00:00:48.000]  一起為上帝的緣故
[00:00:48.000 --> 00:00:49.800]  去將福音傳開
[00:00:49.800 --> 00:00:51.800]  接著保羅就在基礎裏面
[00:00:51.800 --> 00:00:55.000]  再去提醒當時菲律賓教會的信徒
[00:00:55.000 --> 00:00:57.600]  在第二章的十二節、十三節說
[00:00:57.600 --> 00:00:59.600]  「這樣看來,我親愛的弟兄
[00:00:59.600 --> 00:01:01.400]  你們基事上馴服的
[00:01:01.400 --> 00:01:03.200]  不但我在你們那裡
[00:01:03.200 --> 00:01:05.400]  就算我如今不在你們那裡
[00:01:05.400 --> 00:01:06.600]  更是馴服的
[00:01:06.600 --> 00:01:08.200]  就當恐懼戰兢
[00:01:08.200 --> 00:01:10.400]  作成你們得救的功夫
[00:01:10.400 --> 00:01:12.200]  因為你們立志行事
[00:01:12.200 --> 00:01:14.200]  都是神在你們心裡運行
[00:01:14.200 --> 00:01:16.800]  為要成就他的微義」
[00:01:16.800 --> 00:01:18.800]  在這裏保羅說
[00:01:18.800 --> 00:01:22.000]  其實你們都是馴服耶穌基督的
[00:01:22.000 --> 00:01:23.400]  你們已經是了
[00:01:23.400 --> 00:01:24.600]  他再提醒
[00:01:24.600 --> 00:01:26.600]  那馴服應該是要怎樣呢?
