
[00:00:00.000 --> 00:00:02.000]  我們今天一起思想一段訊息
[00:00:02.000 --> 00:00:03.600]  就是我們彼此的勉勵
[00:00:03.600 --> 00:00:07.200]  不要忘記去關懷社會
[00:00:07.200 --> 00:00:09.800]  我們會思想一件事情
[00:00:09.800 --> 00:00:12.500]  就是當主耶穌在世界上的時候
[00:00:12.500 --> 00:00:14.500]  很清楚祂常常提出
[00:00:14.500 --> 00:00:18.600]  祂的侍奉、祂的工作有三方面
[00:00:18.600 --> 00:00:22.000]  亦都是《馬太福音》第九章三十五節裏面
[00:00:22.000 --> 00:00:24.200]  我們常常說的經文
[00:00:24.200 --> 00:00:27.800]  清就說主耶穌祂在各處的地方
[00:00:27.800 --> 00:00:30.400]  祂走遍各城各鄉
[00:00:30.400 --> 00:00:35.000]  然後在會堂裏面教訓人很多真理
[00:00:35.000 --> 00:00:38.800]  第二 祂去宣講天國的福音
[00:00:38.800 --> 00:00:43.000]  第三 祂醫治各樣的病症
[00:00:43.000 --> 00:00:46.400]  這三方面被很多的《釋經》學者認為
[00:00:46.400 --> 00:00:50.000]  是耶穌基督的三重的職事
[00:00:50.000 --> 00:00:53.000]  當然今天傳天國的福音
[00:00:53.000 --> 00:00:56.000]  絕對是教會存在的目的
[00:00:56.000 --> 00:00:58.000]  如果教會不去傳講天國的福音
[00:00:58.000 --> 00:01:01.000]  我們就不配得存在在世上
[00:01:01.000 --> 00:01:06.400]  第二 當然我們需要去教導人明白真理
[00:01:06.400 --> 00:01:10.200]  這成為了主耶穌在地上的一個重要的職份
[00:01:10.200 --> 00:01:13.200]  祂不斷去講述有關真理的教訓
[00:01:13.200 --> 00:01:15.000]  有很多人明白
[00:01:15.000 --> 00:01:19.400]  今天當教會說我們是真理的儲石和根基
[00:01:19.400 --> 00:01:21.400]  將真理高高地舉起來
[00:01:21.400 --> 00:01:24.200]  讓人明白、讓人知道真理
[00:01:24.200 --> 00:01:27.200]  不過大家會有一種明白
[00:01:27.200 --> 00:01:30.200]  就是當我們去宣講真理
[00:01:30.200 --> 00:01:33.800]  正如弟兄所說為真理發聲的時候
[00:01:33.800 --> 00:01:35.200]  你可以有心理的準備
[00:01:35.200 --> 00:01:39.200]  就是你會被人恨惡你
[00:01:39.200 --> 00:01:41.800]  福音第十七章主耶穌說
[00:01:41.800 --> 00:01:45.000]  「我將你的道賜給他們
[00:01:45.000 --> 00:01:48.200]  這個世界就恨他們
[00:01:48.200 --> 00:01:52.800]  因為他們不屬於這個世界」
[00:01:52.800 --> 00:01:58.400]  正如最近明光社所面對的各種最尖銳的批評一樣
[00:01:58.400 --> 00:02:00.400]  當你要為真理發聲的時候
[00:02:00.400 --> 00:02:02.000]  你有心理準備
[00:02:02.000 --> 00:02:06.200]  你會面對著世界的恨惡
[00:02:06.200 --> 00:02:10.000]  當然這件事情不難阻止主耶穌繼續宣講真理
[00:02:10.000 --> 00:02:14.000]  也不難阻止教會繼續傳講真理
[00:02:14.000 --> 00:02:16.400]  第三方面 主耶穌在世上的時候
[00:02:16.400 --> 00:02:19.400]  祂去醫治各樣的病症
[00:02:19.400 --> 00:02:23.000]  祂對周圍的生命有一種關切
[00:02:23.000 --> 00:02:26.200]  不單關心他們生命永恆的需要
[00:02:26.200 --> 00:02:30.200]  也關心他們當時肉身的需要
[00:02:30.200 --> 00:02:32.400]  今天在很多的教會
[00:02:32.400 --> 00:02:35.400]  做很多的社會服務、很多的社會關懷
[00:02:35.400 --> 00:02:38.000]  也是從主耶穌的一個職事裡面
[00:02:38.000 --> 00:02:41.200]  延伸出來的一種行動
[00:02:41.200 --> 00:02:45.000]  我們今天比較多思考第三方面
[00:02:45.000 --> 00:02:47.400]  就是在我們的社會當中
[00:02:47.400 --> 00:02:50.000]  怎樣來關懷別人的需要
[00:02:50.000 --> 00:02:53.200]  真正去留意、去回應他們
[00:02:53.200 --> 00:02:54.000]  因此大家的時候
[00:02:54.000 --> 00:03:00.000]  可以去看聖經的《耳塞書》第58章
[00:03:00.000 --> 00:03:01.200]  大家也可以去看
[00:03:01.200 --> 00:03:03.800]  在大家的周刊的第七頁
[00:03:03.800 --> 00:03:05.000]  我特別請教會
[00:03:05.000 --> 00:03:10.200]  是將新譯本的這一段經文列出來
[00:03:10.200 --> 00:03:12.200]  新譯本的經文的翻譯
[00:03:12.200 --> 00:03:14.400]  有很多地方在這段經文裡面
[00:03:14.400 --> 00:03:17.200]  是比較清晰地來說
[00:03:17.200 --> 00:03:21.200]  我們兩邊一起看
[00:03:21.200 --> 00:03:28.000]  在《耳塞書》第58章
[00:03:28.000 --> 00:03:29.000]  聖經首先提到
[00:03:29.000 --> 00:03:30.600]  就是當時先知澤比
[00:03:30.600 --> 00:03:32.200]  當時的以色列人
[00:03:32.200 --> 00:03:35.400]  他們有一個很敬虔的外貌
[00:03:35.400 --> 00:03:39.400]  但實際上他們卻是違反敬虔
[00:03:39.400 --> 00:03:41.200]  沒有真正的實質
