
[00:00:00.000 --> 00:00:02.000]  各位姐妹 今天在我們的崇拜裡面
[00:00:02.000 --> 00:00:04.840]  我想和大家一起看撒加利亞書
[00:00:04.840 --> 00:00:08.200]  撒加利亞書是一本不容易了解的書
[00:00:08.200 --> 00:00:11.000]  但是我今天也很大野心
[00:00:11.000 --> 00:00:17.840]  想一口氣和大家看前面那六張所記載的八個異象
[00:00:17.840 --> 00:00:20.640]  但是不單單是看這個異象
[00:00:20.640 --> 00:00:24.800]  我另外一個心意就是將我們看到的異象
[00:00:24.800 --> 00:00:28.520]  帶給我們神的真理和信息
[00:00:28.960 --> 00:00:33.240]  然後用在你和我今天所面對的情況
[00:00:33.240 --> 00:00:36.600]  有些話可能會覺得你這麼大膽的說
[00:00:36.600 --> 00:00:39.960]  大膽是因為我只是說我自己的一些看法
[00:00:39.960 --> 00:00:41.120]  你不一定要贊成
[00:00:41.120 --> 00:00:43.480]  但是我大膽也是因為
[00:00:43.480 --> 00:00:46.680]  有些是神自己的真理我一定要說出來
[00:00:46.680 --> 00:00:47.600]  好不好
[00:00:47.600 --> 00:00:51.560]  所以今天我們帶著一個開放的心
[00:00:51.560 --> 00:00:53.320]  也是仰望神的心
[00:00:53.480 --> 00:00:58.920]  來了解這八個異象和它帶給我們的心意
[00:00:58.920 --> 00:01:00.960]  和神自己的信息
[00:01:00.960 --> 00:01:01.720]  好了
[00:01:01.720 --> 00:01:05.600]  我自己就要掌控我的時間
[00:01:05.600 --> 00:01:08.320]  因為上一堂講道我講得很長
[00:01:08.320 --> 00:01:11.640]  我要想說的東西都說不出
[00:01:11.640 --> 00:01:17.000]  這堂我肯定前面的八個異象我會簡短一點說
[00:01:17.000 --> 00:01:17.680]  好不好
[00:01:17.680 --> 00:01:21.320]  大家如果有興趣可以看回聖經
[00:01:21.320 --> 00:01:22.760]  那六張聖經
[00:01:22.920 --> 00:01:26.280]  但是我每一個異象我只是很簡略的描述
[00:01:26.280 --> 00:01:26.720]  好不好
[00:01:26.720 --> 00:01:29.080]  請大家理解和原諒
[00:01:29.080 --> 00:01:31.080]  然後我最重要的告訴大家
[00:01:31.080 --> 00:01:33.560]  究竟我怎樣去了解這些異象
[00:01:33.560 --> 00:01:39.080]  這些異象是被撒加利亞先知所看見的
[00:01:39.080 --> 00:01:41.720]  如果我們剛才讀的時候可能沒有留意
[00:01:41.720 --> 00:01:42.840]  第一章
[00:01:42.840 --> 00:01:48.360]  那裡講到這些異象來的時候是大利烏王二年
[00:01:49.280 --> 00:01:55.280]  等於今天我們的曆法裡面大概是公元前的520年
[00:01:55.280 --> 00:01:58.920]  而且先知在夜間
[00:01:58.920 --> 00:02:00.520]  晚上
[00:02:00.520 --> 00:02:03.240]  是看到的
[00:02:03.240 --> 00:02:05.680]  那究竟有什麼特別的地方呢
[00:02:05.680 --> 00:02:06.960]  一會兒我會和大家說
[00:02:06.960 --> 00:02:10.640]  最重要我們說為什麼神要用異象
[00:02:10.640 --> 00:02:12.680]  不是沒有東西找來搞
[00:02:12.680 --> 00:02:13.920]  故弄玄虛
[00:02:13.920 --> 00:02:18.960]  一會兒又馬又紅色馬又啡色馬又白色馬又點點色的馬
[00:02:19.080 --> 00:02:21.080]  搞這麼多事情為什麼呢
[00:02:21.080 --> 00:02:23.840]  其實主要就是讓我們
[00:02:23.840 --> 00:02:25.840]  加上先知自己也不明白
[00:02:25.840 --> 00:02:27.240]  為什麼呢
[00:02:27.240 --> 00:02:28.200]  想說什麼呢
[00:02:28.200 --> 00:02:29.840]  就是我們呢
[00:02:29.840 --> 00:02:33.400]  神為什麼不直接告訴我們究竟有什麼信息呢
[00:02:33.400 --> 00:02:37.640]  有時候神告訴我們信息的時候我們沒有留心聽
[00:02:37.640 --> 00:02:39.120]  沒有心機聽
[00:02:39.120 --> 00:02:42.280]  或者以為聽了其實沒有深刻的印象
[00:02:42.280 --> 00:02:46.680]  異象就是一些很不尋常的圖畫
[00:02:46.680 --> 00:02:48.400]  很不尋常的事情
[00:02:48.840 --> 00:02:51.600]  逼到我們好像說夜間什麼都看不到
[00:02:51.600 --> 00:02:53.400]  突然間看到異象的時候
[00:02:53.400 --> 00:02:55.000]  你不留心也不行
[00:02:55.000 --> 00:02:56.840]  你不聆聽也不行
[00:02:56.840 --> 00:02:59.120]  你要留心要聆聽的時候
[00:02:59.120 --> 00:03:00.520]  都不能夠明白的時候
[00:03:00.520 --> 00:03:02.200]  於是你就開始
[00:03:02.200 --> 00:03:04.400]  去放下你自己的估計
[00:03:04.400 --> 00:03:05.920]  去聽聽神怎麼說
[00:03:05.920 --> 00:03:08.600]  就是說異象的作用呢
[00:03:08.600 --> 00:03:11.120]  是逼我們去留心聽
[00:03:11.120 --> 00:03:13.440]  神要我們聽到的話
[00:03:13.440 --> 00:03:15.440]  如果今天你和我呢
[00:03:15.440 --> 00:03:16.960]  能夠聽到異象
[00:03:17.120 --> 00:03:19.200]  那個信息就是最重要的
[00:03:19.200 --> 00:03:21.880]  不是要解讀異象那些
[00:03:21.880 --> 00:03:23.600]  神奇的地方
[00:03:23.600 --> 00:03:25.200]  而是最後
[00:03:25.200 --> 00:03:26.960]  要了解到異象
[00:03:26.960 --> 00:03:30.280]  神想我們知道關於祂
[00:03:30.280 --> 00:03:31.280]  想我們
[00:03:31.280 --> 00:03:32.800]  明白的真理
[00:03:32.800 --> 00:03:33.400]  好嗎
[00:03:33.400 --> 00:03:36.080]  那這個就是今天我們那個目標
[00:03:36.080 --> 00:03:37.800]  所以這個異象呢
[00:03:37.800 --> 00:03:38.960]  我們一直錄的時候呢
[00:03:38.960 --> 00:03:40.920]  我們看到這些異象呢
[00:03:40.920 --> 00:03:45.320]  是神要彰顯祂自己的心意
[00:03:45.320 --> 00:03:50.760]  和祂做事的辦事的原則和手法
[00:03:50.760 --> 00:03:52.320]  這個呢
[00:03:52.320 --> 00:03:54.440]  希望我們透過這八個異象呢
[00:03:54.440 --> 00:03:57.520]  明白神正在做的是什麼
[00:03:57.520 --> 00:03:59.400]  祂用的方式是什麼
[00:03:59.400 --> 00:03:59.880]  好嗎
[00:03:59.880 --> 00:04:00.400]  好
[00:04:00.400 --> 00:04:03.720]  那我們就先看看這個異象的排列
[00:04:03.720 --> 00:04:05.200]  在那裡呢
[00:04:05.200 --> 00:04:06.640]  第一頁不用
[00:04:06.640 --> 00:04:07.160]  嗯
[00:04:07.160 --> 00:04:07.680]  是了
[00:04:07.680 --> 00:04:09.640]  這裡是了
[00:04:09.640 --> 00:04:10.440]  這裡呢
[00:04:10.440 --> 00:04:12.640]  我們就將這個異象排列了
[00:04:12.640 --> 00:04:14.000]  好像一個U形那樣
[00:04:14.000 --> 00:04:15.400]  八個的異象
[00:04:15.400 --> 00:04:16.400]  其實呢
[00:04:16.400 --> 00:04:18.560]  如果你稍微留意呢
