
[00:00:00.000 --> 00:00:02.520]  在詩篇23篇
[00:00:02.520 --> 00:00:05.400]  我們大家常常讀的詩篇
[00:00:05.400 --> 00:00:06.440]  大家都會記得
[00:00:06.440 --> 00:00:07.680]  開始的時候就提到
[00:00:07.680 --> 00:00:10.080]  耶和華是我的目者
[00:00:10.080 --> 00:00:12.760]  我必不至於缺乏
[00:00:12.760 --> 00:00:15.280]  去到第六節的時候就提到
[00:00:15.280 --> 00:00:20.760]  我一生一世必有恩惠慈愛隨著我
[00:00:20.760 --> 00:00:24.800]  我且要住在耶和華的殿中
[00:00:24.800 --> 00:00:26.800]  直到永遠
[00:00:26.800 --> 00:00:29.880]  今天我們在思想在神的殿中
[00:00:29.880 --> 00:00:32.960]  如何與神同在
[00:00:32.960 --> 00:00:38.720]  前幾天有弟兄送給我一張對聯
[00:00:38.720 --> 00:00:40.720]  給大家看看
[00:00:40.720 --> 00:00:52.360]  一生一世主殿中
[00:00:52.360 --> 00:00:56.600]  恩惠慈愛永相隨
[00:00:56.600 --> 00:01:00.160]  正正在說23篇裡面所提及的
[00:01:00.160 --> 00:01:04.400]  人能夠在神的裡面領受神
[00:01:04.400 --> 00:01:07.880]  永遠不改變的恩惠慈愛
[00:01:07.880 --> 00:01:09.200]  大家讀一次
[00:01:09.200 --> 00:01:12.280]  一生一世主殿中
[00:01:12.280 --> 00:01:15.640]  恩惠慈愛永相隨
[00:01:15.640 --> 00:01:17.640]  願主賜福大家
[00:01:17.640 --> 00:01:24.080]  我們今天也特別感恩
[00:01:24.080 --> 00:01:27.880]  有弟兄姊妹的家庭一起來參加崇拜
[00:01:27.880 --> 00:01:30.520]  所以我們有大朋友 小朋友
[00:01:30.520 --> 00:01:33.480]  有成年 有青年 有兒童 有長者
[00:01:33.480 --> 00:01:36.480]  我們大家仔仔一堂一起來敬拜上帝
[00:01:36.480 --> 00:01:38.160]  因此今天我們很願意
[00:01:38.160 --> 00:01:40.160]  上帝閱納我們的敬拜
[00:01:40.160 --> 00:01:43.360]  我們都歡歡喜喜地一起來敬拜上帝
[00:01:43.360 --> 00:01:44.640]  大家一起來 我們再祈禱
[00:01:44.640 --> 00:01:46.640]  我們仰望主帶領這段時間
[00:01:53.880 --> 00:01:57.880]  施恩的主 我們感謝你
[00:01:57.880 --> 00:02:01.120]  因為你賜下各樣的恩惠
[00:02:01.120 --> 00:02:05.360]  主在我們回想人生所經歷的事情
[00:02:05.360 --> 00:02:09.080]  主在我們想不到的時候
[00:02:09.080 --> 00:02:11.080]  你賜下恩惠
[00:02:11.080 --> 00:02:13.880]  就算在困難 患難當中
[00:02:13.880 --> 00:02:17.000]  你給我們經歷你所賜的力量
[00:02:17.000 --> 00:02:19.400]  來面對一切
[00:02:19.400 --> 00:02:21.000]  這些一切的困難
[00:02:21.000 --> 00:02:24.000]  反而成為了我們生命的祝福
[00:02:24.000 --> 00:02:28.680]  主我們在中國人的農曆年開始的時候
[00:02:28.680 --> 00:02:30.320]  主我們更加願意在你面前
[00:02:30.320 --> 00:02:33.000]  同心獻上我們的感謝
[00:02:33.000 --> 00:02:35.720]  亦都向你求新的恩
[00:02:35.720 --> 00:02:40.200]  因為主啊 我們知道我們需要你的恩惠
[00:02:40.200 --> 00:02:47.000]  主在人生的路上遇到很多不同的試探 挑戰
[00:02:47.000 --> 00:02:51.200]  主啊 求你以你的恩典來托住我們
[00:02:51.200 --> 00:02:55.400]  以你的憐憫來引導我們
[00:02:55.400 --> 00:02:59.000]  又將你自己的恩賢向上賜下
[00:02:59.000 --> 00:03:00.400]  讓我們因為你的道
[00:03:00.400 --> 00:03:03.400]  我們的生命得到真正的飽足
[00:03:03.400 --> 00:03:06.200]  因為主啊 你的說話是天上的瑪拿
[00:03:06.200 --> 00:03:09.000]  讓人得到真正的福氣
[00:03:09.000 --> 00:03:11.000]  如今我們等候在你的面前
[00:03:11.000 --> 00:03:15.800]  求主賜下你的恩賢 施恩引導我們
[00:03:15.800 --> 00:03:19.800]  我們仰望祈禱 奉耶穌名字求 阿們
[00:03:20.800 --> 00:03:23.200]  我們剛才提過詩篇23篇
[00:03:23.200 --> 00:03:27.200]  相信是最多人讀的一篇詩篇
[00:03:27.200 --> 00:03:29.200]  同樣詩篇的84篇
[00:03:29.200 --> 00:03:33.200]  很多人稱為詩篇裏面最甜美的詩
[00:03:33.200 --> 00:03:37.800]  甜美是因為描述人和神之間的關係
[00:03:37.800 --> 00:03:42.800]  人與人親近 人在神的裏面得著滿足
[00:03:42.800 --> 00:03:44.800]  是一篇甜美的詩篇
[00:03:44.800 --> 00:03:46.200]  因此我們今天讀的時候
[00:03:46.200 --> 00:03:48.200]  你留意到聖經裏面說
[00:03:48.200 --> 00:03:52.600]  這位作者講述他如何渴慕神
[00:03:52.600 --> 00:03:55.000]  而住在神的裏面
[00:03:55.000 --> 00:03:56.600]  所以84篇你開始的時候
[00:03:56.600 --> 00:03:58.400]  看到這位作者
[00:03:58.400 --> 00:03:59.200]  在聖經裏面說到
[00:03:59.200 --> 00:04:03.000]  他是可拉的子孫或後代
[00:04:03.000 --> 00:04:05.800]  可拉是當時在聖殿當中
[00:04:05.800 --> 00:04:09.200]  他們是負責歌唱的一群人
[00:04:09.200 --> 00:04:11.200]  他們常常在神的殿當中
[00:04:11.200 --> 00:04:14.400]  頌唱上帝 敬拜上帝
[00:04:14.400 --> 00:04:19.400]  而他們將心中那份渴慕表達出來
[00:04:19.400 --> 00:04:20.200]  同時你留意到
[00:04:20.200 --> 00:04:21.400]  聖經裏面講述到的
[00:04:21.400 --> 00:04:23.800]  也是當時有一群人
[00:04:23.800 --> 00:04:26.800]  他們是從自己所身在的地方
[00:04:26.800 --> 00:04:28.800]  去到耶路撒冷城
[00:04:28.800 --> 00:04:32.200]  去聖殿當中敬拜神
[00:04:32.200 --> 00:04:34.400]  他們是一些朝聖者
[00:04:34.400 --> 00:04:37.800]  他們要去親近神 要去尋求上帝
[00:04:37.800 --> 00:04:40.000]  而一位可拉的後裔
[00:04:40.000 --> 00:04:44.400]  就將這種情況講述給我們知道
[00:04:44.400 --> 00:04:46.400]  所以你看到一開始的時候
[00:04:46.400 --> 00:04:50.400]  他就說84篇第一節
[00:04:50.400 --> 00:04:52.000]  「萬君子耶和華
[00:04:52.000 --> 00:04:55.400]  你的居所何等可愛?
[00:04:55.400 --> 00:04:58.600]  我羨慕學上耶和華的言語
[00:04:58.600 --> 00:05:00.600]  我的心腸 我的肉體
[00:05:00.600 --> 00:05:03.600]  向永生神呼籲」
[00:05:03.600 --> 00:05:05.200]  一開始的時候就說到
[00:05:05.200 --> 00:05:10.400]  神的聖所 祂的居所何等可愛
[00:05:10.400 --> 00:05:13.200]  這裡的居所是講述神的殿
