
[00:00:00.000 --> 00:00:03.400]  我們想到感恩求恩
[00:00:03.400 --> 00:00:07.000]  亦是我們過去上上提及的四個字
[00:00:07.000 --> 00:00:08.600]  當我們說回感恩的時候
[00:00:08.600 --> 00:00:11.400]  大家一定會想起詩篇103篇
[00:00:11.400 --> 00:00:15.000]  我們常常都會背誦的一節詩篇提到
[00:00:15.000 --> 00:00:18.600]  我的心那你要稱重耶和華
[00:00:18.600 --> 00:00:24.800]  凡在我裡面的都要稱重他的成名
[00:00:24.800 --> 00:00:26.600]  我要稱重耶和華
[00:00:26.600 --> 00:00:32.000]  然後聖經再說:不可忘記他的一切恩惠
[00:00:32.000 --> 00:00:36.200]  使人很明白人容易會善忘
[00:00:36.200 --> 00:00:39.200]  忘記神在我們身上的恩惠
[00:00:39.200 --> 00:00:42.400]  這才勉勵我們呼籲自己的心
[00:00:42.400 --> 00:00:44.800]  不要忘記神的恩惠
[00:00:44.800 --> 00:00:48.600]  要上上去感謝祂 稱重祂
[00:00:48.600 --> 00:00:50.000]  到了聖經新約的時候
[00:00:50.000 --> 00:00:53.400]  又多處地方不斷提及到感恩的事情
[00:00:53.400 --> 00:00:58.000]  特別如果大家想起哥羅西書第三章提到
[00:00:58.000 --> 00:01:00.800]  你們要行切禱告
[00:01:00.800 --> 00:01:02.200]  第四章第二節
[00:01:02.200 --> 00:01:08.400]  你們要行切禱告在此警醒感恩
[00:01:08.400 --> 00:01:13.600]  特別聖經將警醒和感恩連在一起
[00:01:13.600 --> 00:01:16.200]  當然警醒的時候亦都意味著
[00:01:16.200 --> 00:01:18.400]  我們有一種清醒的心
[00:01:18.400 --> 00:01:21.200]  留意到自己所面對的危險
[00:01:21.200 --> 00:01:24.800]  有的試探 因照警覺去祈禱
[00:01:24.800 --> 00:01:28.600]  亦都留意環境上有很多不同的危機
[00:01:28.600 --> 00:01:32.600]  陷阱 以至我們警覺去祈禱 依靠神
[00:01:32.600 --> 00:01:38.600]  但聖經裏面是說你們要在感恩當中警醒
[00:01:38.600 --> 00:01:42.000]  或者警醒地去感恩禱告
[00:01:42.000 --> 00:01:45.800]  因為單是警醒有些時候會害怕
[00:01:45.800 --> 00:01:47.400]  見到自己這麼軟弱
[00:01:47.400 --> 00:01:49.800]  見到環境這麼凶險
[00:01:49.800 --> 00:01:52.800]  有些時候不敢再祈禱
[00:01:52.800 --> 00:01:55.800]  但在感恩裏面來禱告
