
[00:00:00.000 --> 00:00:07.000]  我不曉得在我們當中,有沒有一些人有這樣的一種想法。
[00:00:07.000 --> 00:00:11.000]  (主)我不知道在我們中間,是不是還有一些人有這樣的想法。
[00:00:11.000 --> 00:00:17.000]  (王)就是,只要我不致滅亡,我就心滿意足了。
[00:00:17.000 --> 00:00:21.000]  (主)只要我不致滅亡,我就心滿意足了。
[00:00:21.000 --> 00:00:26.000]  (王)只要我得救了,又永生了,別的我都不問不問了。
[00:00:26.000 --> 00:00:30.000]  (主)只要我得救了,又永生了,別的我都不問不問了。
[00:00:30.000 --> 00:00:39.000]  (王)如果還有這樣的弟兄姊妹,我很擔心,
[00:00:39.000 --> 00:00:43.000]  (王)我很擔心,你還沒有真正的得救。
[00:00:43.000 --> 00:00:46.000]  (主)我很擔心,你還沒有真正的得救。
[00:00:46.000 --> 00:00:49.000]  (王)因為國度的福音是怎麼說的呢?
[00:00:49.000 --> 00:00:51.000]  (主)因為國度的福音是怎麼說的呢?
[00:00:51.000 --> 00:00:54.000]  (王)主耶穌出來傳福音的時候。
[00:00:54.000 --> 00:00:56.000]  (主)主耶穌出來傳福音的時候。
[00:00:56.000 --> 00:01:04.000]  (王)祂說:「天國盡了,你們當悔改信福音。」
[00:01:04.000 --> 00:01:07.000]  (主)祂說:「天國盡了,你們當悔改信福音。」
[00:01:07.000 --> 00:01:09.000]  (王)這是國度的福音。
[00:01:09.000 --> 00:01:10.000]  (主)這是國度的福音。
[00:01:10.000 --> 00:01:12.000]  (王)這個福音裏面有悔改。
[00:01:12.000 --> 00:01:15.000]  (主)這個福音裏面有悔改。
[00:01:15.000 --> 00:01:18.000]  (王)這個悔改是信心的表現。
[00:01:18.000 --> 00:01:21.000]  (主)這個悔改是信心的表現。
[00:01:21.000 --> 00:01:26.000]  (王)如果沒有悔改,這個信心就不是真的信心。
[00:01:26.000 --> 00:01:29.000]  (主)如果沒有悔改,這個信心就不是真的信心。
[00:01:29.000 --> 00:01:33.000]  (王)所以國度的福音是要求悔改的。
[00:01:33.000 --> 00:01:35.000]  (主)所以國度的福音是要求你悔改。
[00:01:35.000 --> 00:01:41.000]  (王)如果一個人信住以後,生命、生活完全照舊。
[00:01:41.000 --> 00:01:45.000]  (主)如果一個人信住以後,他的生命、生活完全照舊。
[00:01:45.000 --> 00:01:47.000]  (王)沒有任何的果子結出來。
[00:01:47.000 --> 00:01:49.000]  (主)沒有任何的果子結出來。
[00:01:49.000 --> 00:01:53.000]  (王)我們怎麼能夠信得下去,他是真的相信呢?
[00:01:53.000 --> 00:01:56.000]  (主)我怎麼可以相信他是一個真正的相信呢?
[00:01:56.000 --> 00:01:59.000]  (王)真的信心彰顯於悔改。
[00:01:59.000 --> 00:02:02.000]  (主)真的信心是彰顯於悔改。
[00:02:02.000 --> 00:02:04.000]  (王)真的悔改彰顯於生活。
[00:02:04.000 --> 00:02:06.000]  (主)真的悔改彰顯於生活。
[00:02:06.000 --> 00:02:08.000]  (王)這是一連串的。
[00:02:08.000 --> 00:02:09.000]  (主)這是一連串的。
[00:02:09.000 --> 00:02:11.000]  (王)所以當我們講國度真理的時候。
[00:02:11.000 --> 00:02:13.000]  (主)當我們講國度真理的時候。
[00:02:13.000 --> 00:02:19.000]  (王)我們必須按照主的話,來了解國度的福音到底是什麼。
[00:02:19.000 --> 00:02:23.000]  (主)我們必須按照主的話來了解國度的福音到底是什麼。
[00:02:23.000 --> 00:02:28.000]  (王)如果我們不是按照主的話,我怕我們自己欺騙了自己了。
[00:02:28.000 --> 00:02:32.000]  (主)如果我們不是按照主的話,恐怕我們會自己欺騙我們自己。
[00:02:32.000 --> 00:02:34.000]  (王)所以我說我擔心。
[00:02:34.000 --> 00:02:35.000]  (主)所以我說我擔心。
[00:02:35.000 --> 00:02:38.000]  (王)如果一個人他說相信了。
[00:02:38.000 --> 00:02:40.000]  (主)如果一個人說他相信了。
[00:02:40.000 --> 00:02:45.000]  (王)卻沒有向主所要求的,結出悔改的果子來。
[00:02:45.000 --> 00:02:48.000]  (主)卻沒有向主要求的,結出悔改的果子來。
[00:02:48.000 --> 00:02:52.000]  (王)我怕,我怕他還沒有得救。
[00:02:52.000 --> 00:02:54.000]  (主)我怕,我怕他還沒有得救。
[00:02:54.000 --> 00:02:57.000]  (王)今天晚上我們有一通領受的信息。
[00:02:57.000 --> 00:02:59.000]  (主)今天晚上我們有一通領受的信息。
[00:02:59.000 --> 00:03:05.000]  (王)就是得救和盡國度,這兩件事是一樣的嗎。
[00:03:05.000 --> 00:03:09.000]  (主)是得救與盡國度,這兩件事是不是一樣的呢。
[00:03:09.000 --> 00:03:12.000]  (王)兩者之間有沒有分別呢。
[00:03:12.000 --> 00:03:14.000]  (主)這兩者之間有沒有分別呢。
[00:03:14.000 --> 00:03:17.000]  (王)這是一個很重要的問題。
[00:03:17.000 --> 00:03:19.000]  (主)這是一個很重要的問題。
[00:03:19.000 --> 00:03:25.000]  (王)因為這個問題與我們是否有追求的心態有密切的關係。
[00:03:25.000 --> 00:03:29.000]  (主)因為這個問題與我們是否有追求的心態有密切的關係。
[00:03:29.000 --> 00:03:35.000]  (王)凡是沒有追求心態的人,多半對國度的真理認識馬虎。
[00:03:35.000 --> 00:03:40.000]  (主)凡是沒有追求心態的人,多半對國度的真理認識馬虎。
[00:03:40.000 --> 00:03:46.000]  (王)所以我們這一連十天來講領受國度的真理有一個目的。
[00:03:46.000 --> 00:03:49.000]  (主)所以我們這一連十天來講領受國度的真理有一個目的。
[00:03:49.000 --> 00:03:53.000]  (王)不是單單在頭腦上有更多的了解,
[00:03:53.000 --> 00:03:55.000]  (主)不是單單在頭腦上有更多的了解,
[00:03:55.000 --> 00:04:00.000]  (王)那是從真正的了解產生屬靈的果效。
[00:04:00.000 --> 00:04:03.000]  (主)那是從真正的了解產生屬靈的果效。
[00:04:03.000 --> 00:04:07.000]  (王)不然我們這一十天的時間都突然了。
