
[00:00:00.000 --> 00:00:02.240]  很多人說現在香港這個社會
[00:00:02.240 --> 00:00:04.240]  是受到很大的污染
[00:00:04.240 --> 00:00:07.120]  很多道德的問題
[00:00:07.120 --> 00:00:08.800]  荼毒著我們的心靈
[00:00:08.800 --> 00:00:10.560]  當我想到污染的時候
[00:00:10.560 --> 00:00:11.680]  我就想起一幅圖畫
[00:00:11.680 --> 00:00:15.000]  大家有時候會看到電視的一些新聞報道
[00:00:15.000 --> 00:00:16.320]  說到某些地方
[00:00:16.320 --> 00:00:17.560]  有些郵輪
[00:00:17.560 --> 00:00:19.120]  因為割錢的緣故
[00:00:19.120 --> 00:00:20.600]  或者是築巢的緣故
[00:00:20.600 --> 00:00:22.600]  是漏出一些原油
[00:00:22.600 --> 00:00:24.680]  有時候我很深刻記得
[00:00:24.680 --> 00:00:25.760]  一些圖片
[00:00:25.760 --> 00:00:27.520]  一些鏡頭
[00:00:27.520 --> 00:00:29.640]  拍到一些海岸邊
[00:00:29.640 --> 00:00:31.040]  很厚的油漬
[00:00:31.040 --> 00:00:32.560]  漬滿了海灘
[00:00:32.560 --> 00:00:34.640]  然後跟著鏡頭一照
[00:00:34.640 --> 00:00:36.640]  就發現有很多死了的魚
[00:00:36.640 --> 00:00:39.200]  在海灘上面
[00:00:39.200 --> 00:00:42.800]  一個很難看的環境
[00:00:42.800 --> 00:00:46.440]  但再看的時候發現有些水鳥
[00:00:46.440 --> 00:00:48.000]  在水的邊
[00:00:48.000 --> 00:00:50.480]  沙灘邊飛翔
[00:00:50.480 --> 00:00:53.320]  但是鏡頭一近鏡的時候一看
[00:00:53.320 --> 00:00:54.920]  就發現一隻小鳥
[00:00:54.920 --> 00:00:57.480]  是全身黏滿著油漬
[00:00:57.480 --> 00:00:59.080]  黑色的
[00:00:59.800 --> 00:01:02.320]  當他嘗試拍一拍它的翼旁的時候
[00:01:02.320 --> 00:01:04.760]  發現它很難拍起它的翅膀
[00:01:04.760 --> 00:01:07.520]  因為油漬黏著它的翅膀
[00:01:07.520 --> 00:01:09.240]  很明顯
[00:01:09.240 --> 00:01:12.320]  這隻鳥很快就結局就是死亡
[00:01:12.320 --> 00:01:15.280]  我想我這樣說沒有誇大
[00:01:15.280 --> 00:01:17.840]  在我們所身處的社會環境當中
[00:01:17.840 --> 00:01:20.720]  這幾年的變化實在太大
[00:01:20.720 --> 00:01:22.960]  我們看到有很多很多的人
[00:01:22.960 --> 00:01:24.760]  在邪淫當中生活
[00:01:24.760 --> 00:01:26.600]  很多青少年的朋友
[00:01:26.600 --> 00:01:28.960]  我們自己所熟悉的朋友同事
[00:01:28.960 --> 00:01:30.200]  終日所說的
[00:01:30.200 --> 00:01:31.920]  是一些邪淫的笑話
[00:01:31.920 --> 00:01:33.840]  你會看到在地鐵上面
[00:01:33.840 --> 00:01:35.560]  很多人看的漫畫
[00:01:35.560 --> 00:01:36.800]  除了暴力之外
[00:01:36.800 --> 00:01:37.960]  就是色情
[00:01:37.960 --> 00:01:40.040]  當我們看到這樣的處境的時候
[00:01:40.040 --> 00:01:41.960]  有時候我們心裏都覺得很焦急
[00:01:41.960 --> 00:01:43.120]  怎樣呢?
[00:01:43.120 --> 00:01:43.920]  怎樣呢?
[00:01:43.920 --> 00:01:45.720]  但是最焦急就是我們發覺
[00:01:45.720 --> 00:01:47.120]  慢慢我們自己
[00:01:47.120 --> 00:01:49.320]  都有些時候受到吸引
[00:01:49.320 --> 00:01:50.520]  我們很怕
[00:01:50.520 --> 00:01:53.280]  怕我們自己心靈都會被污染
[00:01:53.280 --> 00:01:55.520]  都會進入這種黑暗當中
[00:01:55.520 --> 00:01:58.000]  但今次晚上大家回來的時候
[00:01:58.000 --> 00:01:59.560]  大家會得到一種鼓勵
[00:01:59.560 --> 00:02:00.760]  因為你
[00:02:00.760 --> 00:02:01.760]  不單止是你
[00:02:01.760 --> 00:02:03.960]  有很多弟兄姊妹都跟你一樣
[00:02:03.960 --> 00:02:06.280]  很想能夠追求聖潔的生活
[00:02:06.280 --> 00:02:08.120]  你不是孤單的
[00:02:08.120 --> 00:02:10.120]  有很多弟兄姊妹很願意跟你一起
[00:02:10.120 --> 00:02:11.120]  同心努力
[00:02:11.120 --> 00:02:12.600]  彼此提醒
[00:02:12.600 --> 00:02:15.480]  我們可以在一個很污濁的環境當中
[00:02:15.480 --> 00:02:19.400]  可以引生一條清潔的水泉
[00:02:19.400 --> 00:02:21.960]  重新有一條清潔的
[00:02:21.960 --> 00:02:23.160]  清新的水流
