
[00:00:00.000 --> 00:00:04.440]  大家知道我們今天會講關於靈洗和聖靈充滿
[00:00:04.440 --> 00:00:05.760]  我們就著這個課題
[00:00:05.760 --> 00:00:08.760]  我們很基本的重點和大家分享
[00:00:08.760 --> 00:00:12.080]  在看聖經之前我想先提一兩個重點
[00:00:12.080 --> 00:00:15.240]  大家都會常常提到聖經裡面說
[00:00:15.240 --> 00:00:18.240]  我們不要消滅聖靈的感動
[00:00:18.240 --> 00:00:22.520]  聖經提到我們是有一種的能力
[00:00:22.520 --> 00:00:24.360]  或者說一種的傾向
[00:00:24.360 --> 00:00:28.920]  我們會很多時候不自覺地將聖靈的感動消滅
[00:00:29.640 --> 00:00:33.360]  當我們有些時候輕視聖靈的感動
[00:00:33.360 --> 00:00:36.640]  聖靈的感動的聲音就慢慢來得很薄弱
[00:00:36.640 --> 00:00:40.440]  我們越留心它的聲音就越來越清晰
[00:00:40.440 --> 00:00:44.320]  但當我們輕忽它的聲音就越來越模糊
[00:00:44.320 --> 00:00:49.160]  所以聖經常提醒我們要留心聖靈的聲音
[00:00:49.160 --> 00:00:51.640]  知道它對我們的提醒引導
[00:00:51.640 --> 00:00:55.880]  慢慢我們對它的敏銳性是越來越高
[00:00:56.600 --> 00:00:59.840]  但另一方面聖經也提醒我們要慎思明辨
[00:00:59.840 --> 00:01:01.800]  在很多事情上要留心
[00:01:01.800 --> 00:01:03.800]  究竟哪些是出自聖靈
[00:01:03.800 --> 00:01:07.640]  哪些是出自自己內心的意欲
[00:01:07.640 --> 00:01:09.640]  多於聖靈的心意
[00:01:09.640 --> 00:01:11.400]  這裡我們值得很小心
[00:01:11.400 --> 00:01:13.400]  常常留心了解
[00:01:13.400 --> 00:01:17.080]  小心地明白聖靈的心意
[00:01:17.080 --> 00:01:18.680]  又小心地去分辨
[00:01:18.680 --> 00:01:23.160]  在大前提之下我們先看看聖經所說的靈洗
[00:01:23.520 --> 00:01:28.160]  英文字眼是Spiritual or Spirit Baptism
[00:01:28.160 --> 00:01:30.840]  很多人問什麼叫做靈洗
[00:01:30.840 --> 00:01:33.600]  大家記得當施洗漢來的時候
[00:01:33.600 --> 00:01:34.680]  他就告訴大家
[00:01:34.680 --> 00:01:36.680]  他說我是用水幫你們施洗
[00:01:36.680 --> 00:01:39.680]  但有一位將要來的
[00:01:39.680 --> 00:01:42.160]  他用什麼幫我們施洗呢?
[00:01:42.160 --> 00:01:45.520]  就是聖靈來幫我們施洗
[00:01:45.520 --> 00:01:47.600]  因此主耶穌來到的時候
[00:01:47.600 --> 00:01:50.920]  祂讓聖靈充滿著我們的生命
[00:01:51.240 --> 00:01:53.920]  聖靈清洗我們的生命
[00:01:53.920 --> 00:01:55.280]  進入我們的生命
[00:01:55.280 --> 00:01:58.200]  簡單來說就是靈洗
[00:01:58.200 --> 00:02:00.080]  有些人會問
[00:02:00.080 --> 00:02:03.200]  靈洗是什麼時候出現呢?
[00:02:03.200 --> 00:02:05.000]  有些人會提到
[00:02:05.000 --> 00:02:06.760]  靈洗是一次過
[00:02:06.760 --> 00:02:08.280]  當我們信耶穌那一刻
[00:02:08.280 --> 00:02:10.280]  就已經進入我們生命當中
[00:02:10.280 --> 00:02:11.720]  帶給我們靈洗
[00:02:11.720 --> 00:02:13.800]  但另一些的說法是
[00:02:13.800 --> 00:02:14.880]  不是一次
[00:02:14.880 --> 00:02:16.200]  是有兩次
[00:02:16.200 --> 00:02:18.200]  所謂Second Baptism
[00:02:18.200 --> 00:02:20.400]  甚至有三次、四次
[00:02:20.400 --> 00:02:23.400]  基督徒需要追求有第二次的靈洗
[00:02:23.400 --> 00:02:25.720]  才會真正得著聖靈
[00:02:25.720 --> 00:02:28.840]  究竟聖經是說一次還是兩次
[00:02:28.840 --> 00:02:30.240]  還是多次呢?
[00:02:30.240 --> 00:02:32.400]  我們一起看看聖經吧
