
[00:00:00.000 --> 00:00:03.160]  各位弟兄姊妹、各位朋友 早安
[00:00:03.160 --> 00:00:05.360]  轉來請安
[00:00:05.360 --> 00:00:10.560]  在講道之前 邀請大家一同禱告
[00:00:10.560 --> 00:00:14.160]  親愛的主耶穌 我們感謝祢賜給我們生命的氣息
[00:00:14.160 --> 00:00:17.040]  賜給我們十字架神明寶貴的救恩
[00:00:17.040 --> 00:00:21.800]  也感謝祢賜給我們神要對我們說的話
[00:00:21.800 --> 00:00:23.240]  寶貴的聖經
[00:00:23.240 --> 00:00:27.600]  主阿強祢保守我們的心 也開通我們的耳朵
[00:00:27.600 --> 00:00:32.080]  讓我們今天來到殿裏面的時候 會親自聽到祢的話
[00:00:32.080 --> 00:00:36.640]  讓我們能夠聽得清楚 也能夠領受祢要我們領受的
[00:00:36.640 --> 00:00:38.200]  主耶穌求祢幫助孩子
[00:00:38.200 --> 00:00:41.720]  讓孩子將祢的話語可以說得清楚明白
[00:00:41.720 --> 00:00:44.240]  因為主祢的話術太豐富
[00:00:44.240 --> 00:00:46.520]  大感謝主祢賜給我們
[00:00:46.520 --> 00:00:49.520]  我們祈禱交託 奉主耶穌寶貴的名義求
[00:00:49.520 --> 00:00:50.640]  阿門
[00:00:50.640 --> 00:00:55.880]  好 相信大家都知道在聖經裏面
[00:00:55.880 --> 00:00:58.560]  詩篇一共有150篇
[00:00:58.560 --> 00:01:03.880]  詩篇的其中一個產量最多的作者是哪一個?
[00:01:03.880 --> 00:01:06.320]  大衛 超過一半是大衛所寫
[00:01:06.320 --> 00:01:09.960]  或者是一些人寫給大衛的
[00:01:09.960 --> 00:01:13.800]  而在這麼多首詩篇裏面有六篇
[00:01:13.800 --> 00:01:15.960]  有一個很特別的標籤
[00:01:15.960 --> 00:01:18.520]  就是叫做大衛的金詩
[00:01:18.520 --> 00:01:21.640]  如果用現在的話 可能會加個hashtag
[00:01:21.640 --> 00:01:24.880]  就是大衛的金詩
[00:01:24.880 --> 00:01:28.920]  大衛的金詩一共有多少首?
[00:01:28.920 --> 00:01:34.200]  150篇裏面有多少篇是大衛的金詩有這個標籤的?
[00:01:34.200 --> 00:01:40.320]  我聽到一些聲音
[00:01:40.320 --> 00:01:43.280]  就是有六篇的
[00:01:43.280 --> 00:01:45.960]  這六篇就是今天很感謝Jeff
[00:01:45.960 --> 00:01:48.600]  為我們讀出來的詩篇第十六篇
[00:01:48.600 --> 00:01:52.000]  另外就是詩篇的五十六到六十篇
[00:01:52.000 --> 00:01:57.840]  加起來就有六首 特別有這個hashtag叫大衛的金詩
[00:01:57.840 --> 00:02:03.600]  學者對於甚麼是金詩 其實大家的說法都很不同
[00:02:03.600 --> 00:02:07.680]  不過有一個一致的 就是大家在這六首的金詩裏面
[00:02:07.680 --> 00:02:11.040]  都是見到大衛在和神的交通裏面
[00:02:11.040 --> 00:02:15.480]  一個最真佛 最親密 最寶貴的屬靈的經歷
[00:02:15.480 --> 00:02:20.760]  也是記錄著他個人的屬靈生命成長的一個很重要的歷程
[00:02:20.760 --> 00:02:26.040]  所以今天也很想和大家看這一首 其中一首的金詩
[00:02:26.040 --> 00:02:31.840]  學者說 詩篇十六篇是位於六首詩篇的第一首
[00:02:31.840 --> 00:02:35.320]  所以可以說是金詩裏面的一個序
[00:02:35.320 --> 00:02:37.720]  甚至學者說不要小看這個序
[00:02:37.720 --> 00:02:41.960]  他可以說是六首的金詩裏面最重要的那一首
[00:02:41.960 --> 00:02:45.680]  可以說金詩裏面的金詩就是金中金
[00:02:45.680 --> 00:02:47.200]  真的很重要 是不是?
[00:02:47.200 --> 00:02:52.520]  所以今天也想和大家一起去看 一起去學習
[00:02:52.520 --> 00:02:55.680]  在詩篇第十六篇的第一節裏 他說
[00:02:55.680 --> 00:03:00.480]  「神啊 求祢保佑我 因為我投靠祢」
[00:03:00.480 --> 00:03:03.360]  「保佑」和「保護」是同一個意思
[00:03:03.360 --> 00:03:08.760]  而「投靠」的另一個意義就是信賴 Trust
[00:03:08.760 --> 00:03:12.360]  大衛向神去呼求保護 是因為他很願意
[00:03:12.360 --> 00:03:17.960]  甚至準確一點 是他需要去投靠耶和華上帝
[00:03:17.960 --> 00:03:20.960]  而為甚麼要去投靠神的前提就是
