
[00:00:00.000 --> 00:00:03.000]  我想回到過去曾經有一次的經驗
[00:00:03.000 --> 00:00:05.000]  去到一些展覽場館
[00:00:05.000 --> 00:00:09.000]  看到一些特別的展品,一些藝術品
[00:00:09.000 --> 00:00:14.000]  小心看的時候就發覺這些藝術品原來的原料很特別
[00:00:14.000 --> 00:00:19.000]  其實這些藝術家用一些已經被人棄置的物品
[00:00:19.000 --> 00:00:23.000]  譬如一些已經不要的汽水罐、一些膠瓶
[00:00:23.000 --> 00:00:28.000]  來再重新堆砌成一些很特別的藝術品
[00:00:28.000 --> 00:00:31.000]  又看到一些已經破爛了的電器
[00:00:31.000 --> 00:00:34.000]  他們將這些電器重新再修理、再處理
[00:00:34.000 --> 00:00:37.000]  變成一些很有用的工具
[00:00:37.000 --> 00:00:39.000]  很特別的一個展覽
[00:00:39.000 --> 00:00:41.000]  在當中看的時候的感覺就是
[00:00:41.000 --> 00:00:43.000]  很自然浮出一句話
[00:00:43.000 --> 00:00:48.000]  就是化腐朽為神奇
[00:00:48.000 --> 00:00:53.000]  都可以做到一些想不到有的這麼好的藝術品
[00:00:53.000 --> 00:00:54.000]  我就想回聖經
[00:00:54.000 --> 00:00:56.000]  其實有很多時候都重覆地說
[00:00:56.000 --> 00:01:03.000]  因為上帝他能夠將咒咒轉化成為祝福
[00:01:03.000 --> 00:01:08.000]  他能夠在邪惡當中引出良善
[00:01:08.000 --> 00:01:10.000]  是我們想不到的事情
[00:01:10.000 --> 00:01:12.000]  正如我們剛才唱的詩歌
[00:01:12.000 --> 00:01:17.000]  詩歌提及好像一個思源的樂器、弦樂器
[00:01:17.000 --> 00:01:21.000]  斷了弦,又已經走音
[00:01:21.000 --> 00:01:26.000]  但是神可以將它重新調音、重新續弦
[00:01:26.000 --> 00:01:29.000]  是我們想不到的神的作為
[00:01:29.000 --> 00:01:33.000]  聖經上提及一件很重要、很奇妙的事情
[00:01:33.000 --> 00:01:35.000]  而今天我們所思想的就是
[00:01:35.000 --> 00:01:38.000]  在一位人物,大家認識的夏格
[00:01:38.000 --> 00:01:41.000]  和他的兒子以實瑪利的生命當中
[00:01:41.000 --> 00:01:45.000]  神怎樣讓他們的生命重新能夠興旺起來
[00:01:45.000 --> 00:01:48.000]  重新能夠成為有用的生命
