
[00:00:00.000 --> 00:00:07.080]  今天是《石圖行傳》裏面的真理的信息的第五講
[00:00:07.080 --> 00:00:10.280]  今天我們所要查看的重點
[00:00:10.280 --> 00:00:17.440]  是石圖們他們在傳福音的事工上所採取的戰略
[00:00:17.440 --> 00:00:20.880]  他們用什麼方法去傳福音呢?
[00:00:20.880 --> 00:00:23.360]  這是很重要的一個問題
[00:00:23.360 --> 00:00:27.880]  在《石圖行傳》裏面我們得到答案
[00:00:27.880 --> 00:00:31.320]  我們要注意幾個要點
[00:00:31.320 --> 00:00:32.360]  第一
[00:00:32.360 --> 00:00:36.760]  當時的教會在師徒的帶領之下
[00:00:36.760 --> 00:00:42.040]  有教會生活的七重因素
[00:00:42.040 --> 00:00:44.920]  第一就是敬拜
[00:00:44.920 --> 00:00:48.960]  他們同心合一地敬拜神
[00:00:48.960 --> 00:00:50.280]  第二
[00:00:50.280 --> 00:00:56.360]  師徒們把神的話教導信徒
[00:00:56.360 --> 00:00:57.600]  第三
[00:00:57.600 --> 00:01:01.320]  他們傳福音做見證
[00:01:01.320 --> 00:01:02.400]  第四
[00:01:02.400 --> 00:01:07.080]  他們有生活上好行爲的見證
[00:01:07.080 --> 00:01:07.960]  第五
[00:01:07.960 --> 00:01:10.360]  他們有團聚的生活
[00:01:10.360 --> 00:01:12.520]  也就是肢體的生活
[00:01:12.520 --> 00:01:14.480]  他們彼此交接
[00:01:14.480 --> 00:01:18.880]  他們一同擺餅紀念祖
[00:01:18.880 --> 00:01:20.840]  還有第六
[00:01:20.840 --> 00:01:24.160]  他們有侍奉的工作
[00:01:24.160 --> 00:01:24.800]  第七
[00:01:24.800 --> 00:01:28.560]  他們有禱告的生活
[00:01:28.560 --> 00:01:29.840]  這七樣
[00:01:29.840 --> 00:01:34.720]  敬拜、教導、傳福音、生活的見證
[00:01:34.720 --> 00:01:38.200]  肢體的生活、侍奉的生活
[00:01:38.200 --> 00:01:40.920]  有禱告的工作
[00:01:40.920 --> 00:01:46.680]  這七種的因素就構成了當時的教會生活
[00:01:46.680 --> 00:01:48.880]  這是非常重要的
[00:01:48.880 --> 00:01:53.760]  我們在《石圖行傳》第二章末了一段
[00:01:53.760 --> 00:01:58.000]  可以把這七種的因素都看見
[00:01:58.000 --> 00:02:03.440]  第二章第42節到47節
[00:02:03.440 --> 00:02:05.000]  這一段這樣說
[00:02:05.000 --> 00:02:09.440]  他們都狠心遵守師徒的教訓
[00:02:09.440 --> 00:02:12.920]  彼此交接、擺餅、祈禱
[00:02:12.920 --> 00:02:14.760]  衆人都懼怕
[00:02:14.760 --> 00:02:17.920]  師徒又行了許多奇事神蹟
[00:02:17.920 --> 00:02:21.680]  信的人都在一處翻物公用
[00:02:21.680 --> 00:02:24.400]  並且賣了田產家業
[00:02:24.400 --> 00:02:27.600]  照個人所需用的分給個人
[00:02:27.600 --> 00:02:30.000]  他們天天同心合意
[00:02:30.000 --> 00:02:34.120]  橫切地在店裏且在家中擺餅
[00:02:34.120 --> 00:02:38.000]  存着歡喜誠實的心用飯
[00:02:38.000 --> 00:02:40.880]  再沒省得衆民的喜愛
[00:02:40.880 --> 00:02:45.240]  主將得救的人天天加給他們
[00:02:45.240 --> 00:02:47.360]  我們從這段經文裏面
[00:02:47.360 --> 00:02:53.720]  可以找出來剛纔說的七種的因素
[00:02:53.720 --> 00:02:54.800]  第一敬拜
[00:02:54.800 --> 00:02:59.200]  這裏說他們常常在聖殿裏面聚集
[00:02:59.200 --> 00:03:04.080]  在聖殿裏面所做的最重要的就是敬拜
[00:03:04.080 --> 00:03:05.720]  第二教導
[00:03:05.720 --> 00:03:07.400]  第42節說
[00:03:07.400 --> 00:03:11.400]  門徒都狠心遵守師徒的教訓
[00:03:11.400 --> 00:03:13.680]  教訓也就是教導
[00:03:13.680 --> 00:03:16.040]  第三傳福音
[00:03:16.040 --> 00:03:21.160]  在47節說主將得救的人天天加給他們
[00:03:21.160 --> 00:03:23.760]  這是傳福音的結果
[00:03:23.760 --> 00:03:26.480]  第四他們有生活的見證
[00:03:26.480 --> 00:03:29.480]  你看47節第一句這樣說
[00:03:29.480 --> 00:03:31.640]  得衆民的喜愛
[00:03:31.640 --> 00:03:37.120]  這是他們的生活的好見證所產生的效果
[00:03:37.120 --> 00:03:40.240]  衆民看見基督徒是這樣的好
[00:03:40.240 --> 00:03:41.760]  所以尊敬他們
[00:03:41.760 --> 00:03:43.560]  而且喜愛他們
[00:03:43.560 --> 00:03:44.360]  第五
[00:03:44.360 --> 00:03:47.200]  他們有肢體交通的生活
[00:03:47.200 --> 00:03:49.200]  也是團契的生活
[00:03:49.200 --> 00:03:53.480]  第42節說他們彼此交接
[00:03:53.480 --> 00:03:54.280]  第六
[00:03:54.280 --> 00:03:58.320]  他們有侍奉的工作
[00:03:58.320 --> 00:04:01.760]  他們把一切所有的都獻上
[00:04:01.760 --> 00:04:05.160]  爲了讓神使用
[00:04:05.160 --> 00:04:11.560]  他們常常地在一起同心合一地侍奉祖
[00:04:11.560 --> 00:04:12.840]  最後第七
[00:04:12.840 --> 00:04:15.400]  他們有禱告的工作
[00:04:15.400 --> 00:04:18.160]  在第42節末了兩個字
[00:04:18.160 --> 00:04:19.440]  禱告
[00:04:19.440 --> 00:04:22.760]  這七個因素構成了教會生活
[00:04:22.760 --> 00:04:26.880]  今天如果我們要自己的教會的生活
[00:04:26.880 --> 00:04:27.920]  是全輩的
[00:04:27.920 --> 00:04:29.000]  是淑靈的
[00:04:29.000 --> 00:04:31.160]  是符合神心意的話
[00:04:31.160 --> 00:04:35.080]  我們必須來效法使徒之待
[00:04:35.080 --> 00:04:37.720]  得到這七種的因素
[00:04:37.720 --> 00:04:44.200]  在我們中間有適當的清楚的確定的表現
[00:04:44.200 --> 00:04:44.960]  好
[00:04:44.960 --> 00:04:50.360]  這是使徒們在當時教會施工
