
[00:00:00.000 --> 00:00:05.000]  我們記得在兩個星期之前曾經提及過
[00:00:05.000 --> 00:00:08.000]  聖靈永遠與我們同在
[00:00:08.000 --> 00:00:10.000]  因此我們清楚有一個信念
[00:00:10.000 --> 00:00:11.000]  聖經告訴我們
[00:00:11.000 --> 00:00:13.000]  就算我們多麼軟弱
[00:00:13.000 --> 00:00:16.000]  聖靈仍然與我們同在
[00:00:16.000 --> 00:00:19.000]  因此我們要常常意識著
[00:00:19.000 --> 00:00:22.000]  留心著聖靈在我們裡面
[00:00:22.000 --> 00:00:26.000]  在我們旁邊常常幫助我們
[00:00:26.000 --> 00:00:28.000]  當有些時候我們感覺不到
[00:00:28.000 --> 00:00:29.000]  聖靈的幫助的時候
[00:00:29.000 --> 00:00:31.000]  可能不是它不在
[00:00:31.000 --> 00:00:33.000]  而是我們疏忽了
[00:00:33.000 --> 00:00:35.000]  我們忘記了
[00:00:35.000 --> 00:00:36.000]  一位青年人
[00:00:36.000 --> 00:00:38.000]  當他有一個晚上
[00:00:38.000 --> 00:00:40.000]  因為他單獨自己居住
[00:00:40.000 --> 00:00:42.000]  很晚的時候回到家裡的時候
[00:00:42.000 --> 00:00:43.000]  突然間想起
[00:00:43.000 --> 00:00:46.000]  今天沒有帶鑰匙
[00:00:46.000 --> 00:00:47.000]  半夜的時候
[00:00:47.000 --> 00:00:48.000]  很晚的時候
[00:00:48.000 --> 00:00:50.000]  他很慌張都不知道怎麼辦
[00:00:50.000 --> 00:00:53.000]  怎樣才能進到家裡呢
[00:00:53.000 --> 00:00:55.000]  想著想著爸爸媽媽有他的鑰匙
[00:00:55.000 --> 00:00:57.000]  不過這麼晚去找他們
[00:00:57.000 --> 00:00:59.000]  可能已經睡著了
[00:00:59.000 --> 00:01:01.000]  很焦急都不知道怎麼辦
[00:01:01.000 --> 00:01:03.000]  當他很焦急的時候
[00:01:03.000 --> 00:01:05.000]  突然間他摸一摸
[00:01:05.000 --> 00:01:07.000]  原來鑰匙在袋子裡
[00:01:07.000 --> 00:01:09.000]  其實在袋子裡
[00:01:09.000 --> 00:01:10.000]  他以為自己沒有帶
[00:01:10.000 --> 00:01:12.000]  但其實在袋子裡
[00:01:12.000 --> 00:01:14.000]  大家明白我的意思嗎
[00:01:14.000 --> 00:01:16.000]  有些時候我們以為自己沒有力量
[00:01:16.000 --> 00:01:19.000]  在當中很慌張擔心
[00:01:19.000 --> 00:01:20.000]  其實我們忘記了
[00:01:20.000 --> 00:01:22.000]  我們裡面有聖靈
[00:01:22.000 --> 00:01:25.000]  可以成為我們隨時的幫助
[00:01:25.000 --> 00:01:27.000]  去意識到祂的同在
[00:01:27.000 --> 00:01:29.000]  去依靠祂
[00:01:29.000 --> 00:01:31.000]  很多弟兄姊妹都有一種經歷
[00:01:31.000 --> 00:01:34.000]  當他們要面對一個手術的時候
[00:01:34.000 --> 00:01:35.000]  之前都很擔心
[00:01:35.000 --> 00:01:38.000]  因為平時打針都很害怕
[00:01:38.000 --> 00:01:40.000]  何況手術呢
[00:01:40.000 --> 00:01:42.000]  去到手術室之前
[00:01:42.000 --> 00:01:44.000]  心裡面一直祈禱
[00:01:44.000 --> 00:01:46.000]  想不到推進手術室的時候
[00:01:46.000 --> 00:01:48.000]  就感受到一個很特別的平安
[00:01:48.000 --> 00:01:50.000]  充滿著自己的心
[00:01:50.000 --> 00:01:51.000]  很奇怪
[00:01:51.000 --> 00:01:53.000]  為什麼會不害怕呢
[00:01:53.000 --> 00:01:56.000]  然後在當中很平安地接受手術
[00:01:56.000 --> 00:01:58.000]  很多時候你會想
[00:01:58.000 --> 00:01:59.000]  遇到問題的時候
[00:01:59.000 --> 00:02:01.000]  我一定會害怕
[00:02:01.000 --> 00:02:03.000]  但想不到其實神的恩典
[00:02:03.000 --> 00:02:05.000]  幫助你可以平安地面對
[00:02:05.000 --> 00:02:07.000]  當然我們的恐懼
[00:02:07.000 --> 00:02:08.000]  不單單可以很平安地
[00:02:08.000 --> 00:02:10.000]  面對一些難處
[00:02:10.000 --> 00:02:11.000]  也很多時候因為
[00:02:11.000 --> 00:02:13.000]  人心有很多的恐懼
[00:02:13.000 --> 00:02:14.000]  包括了
[00:02:14.000 --> 00:02:17.000]  有些時候會擔心失去
[00:02:17.000 --> 00:02:20.000]  已經有的一些利益
[00:02:20.000 --> 00:02:21.000]  擔心失去一些
[00:02:21.000 --> 00:02:23.000]  現在有的一些地位
