
[00:00:00.000 --> 00:00:01.400]  有些人會問
[00:00:01.400 --> 00:00:07.280]  一個人如果沒有人生的方向會是怎樣的呢?
[00:00:07.280 --> 00:00:10.200]  每天上班、下班、上學、下學
[00:00:10.200 --> 00:00:13.680]  在家庭裏面做家務等等的事情
[00:00:13.680 --> 00:00:16.560]  如果每一天每一天發覺人生沒有了方向
[00:00:16.560 --> 00:00:20.360]  沒有了目標會是怎樣的呢?
[00:00:20.360 --> 00:00:21.880]  很多人都會感受到
[00:00:21.880 --> 00:00:25.720]  如果人生沒有方向是一件很痛苦的事情
[00:00:25.720 --> 00:00:27.200]  都不知道為甚麼生活
[00:00:27.200 --> 00:00:29.560]  都不知道為甚麼做這些事情
[00:00:29.560 --> 00:00:34.200]  人生會覺得很痛苦、覺得很無奈
[00:00:34.200 --> 00:00:37.440]  但何時如果你為自己定一些目標
[00:00:37.440 --> 00:00:40.200]  一些理想、一些大志
[00:00:40.200 --> 00:00:43.040]  但你發覺當自己達到這些目標的時候
[00:00:43.040 --> 00:00:44.880]  又覺得很失落
[00:00:44.880 --> 00:00:48.240]  但到了那又怎樣呢?
[00:00:48.240 --> 00:00:49.760]  如果突然之間聽過
[00:00:49.760 --> 00:00:52.960]  維珍神學院的許志偉醫生的見證
[00:00:52.960 --> 00:00:54.600]  你會記得他說過
[00:00:54.600 --> 00:00:55.920]  在他未信主之前
[00:00:55.920 --> 00:00:58.440]  或者說在信主之前
[00:00:58.440 --> 00:01:01.800]  他很努力要拿醫學博士學位
[00:01:01.800 --> 00:01:02.800]  拿到了
[00:01:02.800 --> 00:01:04.120]  然後定第二個目標
[00:01:04.120 --> 00:01:06.040]  拿藥劑學博士學位
[00:01:06.040 --> 00:01:07.200]  拿到了
[00:01:07.200 --> 00:01:08.520]  然後再定一個目標
[00:01:08.520 --> 00:01:10.760]  要做一間醫院的主管
[00:01:10.760 --> 00:01:12.480]  做到了
[00:01:12.480 --> 00:01:15.480]  當他坐下來在想將來的目標的時候
[00:01:15.480 --> 00:01:17.640]  突然間問一個問題
[00:01:17.640 --> 00:01:19.480]  我不斷定目標
[00:01:19.480 --> 00:01:22.720]  但達到的時候我內心不滿足
[00:01:22.720 --> 00:01:24.800]  再想達新的目標
[00:01:24.800 --> 00:01:27.120]  新的目標定了又得到了
[00:01:27.120 --> 00:01:28.120]  都不滿足
[00:01:28.120 --> 00:01:29.760]  不斷不斷定新的目標
[00:01:29.760 --> 00:01:31.120]  新的成功
[00:01:31.120 --> 00:01:34.080]  但永遠不讓自己真正有
[00:01:34.080 --> 00:01:37.800]  不感覺自己有真正的滿足
[00:01:37.800 --> 00:01:39.720]  人嘗試為自己定目標
[00:01:39.720 --> 00:01:41.680]  不會帶來真正的滿足
[00:01:41.680 --> 00:01:45.080]  真正的心靈的快樂
[00:01:45.080 --> 00:01:47.640]  曾經有一位無神論者
[00:01:47.640 --> 00:01:51.040]  羅素 Bertrand Russell
[00:01:51.040 --> 00:01:54.400]  這位先生他曾經說
[00:01:54.400 --> 00:01:57.760]  除非你假設有一位神
[00:01:57.760 --> 00:02:02.280]  否則你去問人生有什麼目標
[00:02:02.280 --> 00:02:04.720]  是沒有意思的
[00:02:04.720 --> 00:02:06.560]  除非你說這個世界有位神
[00:02:06.560 --> 00:02:09.080]  否則你去問人生應該有什麼目標
[00:02:09.080 --> 00:02:10.520]  應該有什麼方向
[00:02:10.520 --> 00:02:12.760]  問這些問題基本上是沒有意義的
[00:02:12.760 --> 00:02:15.200]  因為沒有神
[00:02:15.200 --> 00:02:16.600]  相對來說
[00:02:16.600 --> 00:02:19.640]  如果有一位神
[00:02:19.640 --> 00:02:22.000]  你再問人生有什麼目標
[00:02:22.000 --> 00:02:24.480]  有什麼價值方向
[00:02:24.480 --> 00:02:27.120]  那就產生意義
[00:02:27.120 --> 00:02:29.280]  因為這位神是創造天地的神
[00:02:29.280 --> 00:02:30.760]  是創造你的神
[00:02:30.760 --> 00:02:33.920]  祂為你定下了人生的目標
[00:02:33.920 --> 00:02:35.400]  整個宇宙萬物一切
[00:02:35.400 --> 00:02:37.680]  一切都在祂的掌權當中
[00:02:37.680 --> 00:02:40.720]  祂為這一切一切定下了目標
[00:02:40.720 --> 00:02:44.320]  詩篇大家記得139篇講到
