
[00:00:00.000 --> 00:00:02.000]  說到重生,我都不期然會想起
[00:00:02.000 --> 00:00:04.000]  我曾經在《木者心聲》提及
[00:00:04.000 --> 00:00:07.000]  在北美會去到一些樹林區
[00:00:07.000 --> 00:00:09.000]  其中一樣很特別的發現
[00:00:09.000 --> 00:00:11.000]  就是發覺在樹林區裏面
[00:00:11.000 --> 00:00:15.000]  有很多已經枯萎了的大樹
[00:00:15.000 --> 00:00:19.000]  倒塌了的,剩下一個很大的樹頭
[00:00:19.000 --> 00:00:22.000]  在樹頭的中間發現了
[00:00:22.000 --> 00:00:27.000]  有新的樹,在死了的樹頭裏面生出來
[00:00:27.000 --> 00:00:31.000]  也就是很茁壯高大的,很翠綠的樹葉
[00:00:31.000 --> 00:00:35.000]  就在一些死了的樹頭裏面生出來
[00:00:35.000 --> 00:00:38.000]  我看的時候,心裏面就會立刻想起
[00:00:38.000 --> 00:00:40.000]  重生
[00:00:40.000 --> 00:00:44.000]  生命在當中可以重新出現
[00:00:44.000 --> 00:00:48.000]  當然神賜給我們的不單止在自然界見到重生
[00:00:48.000 --> 00:00:50.000]  也見到很多的教徒
[00:00:50.000 --> 00:00:54.000]  他們的生命經歷了一種很奇妙的改變
[00:00:54.000 --> 00:00:56.000]  有一些很明顯的改變
[00:00:56.000 --> 00:01:00.000]  有些是一步一步的改變就出現
[00:01:00.000 --> 00:01:03.000]  神應許過要賜給我們信靠的人
[00:01:03.000 --> 00:01:06.000]  有生命的重生
[00:01:06.000 --> 00:01:11.000]  但聖經上擺重生和聖靈是一起
[00:01:11.000 --> 00:01:14.000]  聖靈在我們生命中帶給我們重生
[00:01:14.000 --> 00:01:18.000]  大家或許會記得聖經創世的第一章第一節
[00:01:18.000 --> 00:01:19.000]  很清楚地說
[00:01:19.000 --> 00:01:26.000]  神創造天地,起初地是空虛雲遁
[00:01:26.000 --> 00:01:30.000]  在深淵上一大片的黑暗
[00:01:30.000 --> 00:01:35.000]  聖經說神的靈運行在水面上
[00:01:35.000 --> 00:01:41.000]  然後創造成為奇妙的各種自然界
[00:01:41.000 --> 00:01:44.000]  各種美妙的創造
[00:01:44.000 --> 00:01:47.000]  聖經提及運行在水面上
[00:01:47.000 --> 00:01:51.000]  聖靈的運行,這句字有很豐富的含義
[00:01:51.000 --> 00:01:55.000]  運行一般是說一些雀鳥在空中飛翔
[00:01:55.000 --> 00:01:58.000]  那種很美妙的姿態
[00:01:58.000 --> 00:01:59.000]  還有進一步說
[00:01:59.000 --> 00:02:02.000]  運行是說一隻母雞
[00:02:02.000 --> 00:02:08.000]  伏在雞蛋上,在孵化孵出的過程
[00:02:08.000 --> 00:02:10.000]  叫做運行
[00:02:10.000 --> 00:02:13.000]  所以你一聽的時候你會看到
[00:02:13.000 --> 00:02:18.000]  聖靈運行在水面上
[00:02:18.000 --> 00:02:23.000]  帶來了新的景象,帶來了創造
[00:02:23.000 --> 00:02:26.000]  聖靈都在我們生命當中
[00:02:26.000 --> 00:02:28.000]  能夠叫已死的生命
[00:02:28.000 --> 00:02:33.000]  能夠可以重生,可以得到新的生命
[00:02:33.000 --> 00:02:37.000]  因此你會發覺聖經裡面不斷地呼籲我們
[00:02:37.000 --> 00:02:42.000]  可以接受聖靈,以致能夠領受生命的更新
[00:02:42.000 --> 00:02:46.000]  聖靈的再創造,recreation
[00:02:46.000 --> 00:02:49.000]  在我們生命當中帶來了重生
[00:02:49.000 --> 00:02:52.000]  所以當我們領受這份恩的時候
[00:02:52.000 --> 00:02:54.000]  我們就體會到聖經說到
[00:02:54.000 --> 00:02:59.000]  神愛我們,要賜給我們重生
[00:02:59.000 --> 00:03:00.000]  去到《舍行傳》第二章
[00:03:00.000 --> 00:03:02.000]  我們剛才讀過的經文
[00:03:02.000 --> 00:03:06.000]  第二章是說到當主耶穌復活升天之後
[00:03:06.000 --> 00:03:09.000]  當時有大班的門徒聚集在一起
[00:03:09.000 --> 00:03:14.000]  就在那個時候經歷到聖靈的降臨
[00:03:14.000 --> 00:03:16.000]  聖靈充滿他們當中
[00:03:16.000 --> 00:03:18.000]  他們有很奇妙的改變
[00:03:18.000 --> 00:03:22.000]  很多人到處圍觀,不知道為什麼
[00:03:22.000 --> 00:03:25.000]  當時使徒彼得就向他們解釋整件的事情
[00:03:25.000 --> 00:03:33.000]  因此大家再看聖經第二章第22節
[00:03:33.000 --> 00:03:35.000]  第二章22節,聖經就說
[00:03:35.000 --> 00:03:38.000]  「以色列人,請聽聽這幾句話
[00:03:38.000 --> 00:03:40.000]  正如你們所知道的
[00:03:40.000 --> 00:03:42.000]  神已經藉著拿撒勒人耶穌
[00:03:42.000 --> 00:03:46.000]  在你們中間施行了大能騎士神蹟
[00:03:46.000 --> 00:03:50.000]  向你們證明他是神所立的」
[00:03:50.000 --> 00:03:53.000]  聖經提到主耶穌的降生
[00:03:53.000 --> 00:03:55.000]  是神差派他來到世上
[00:03:55.000 --> 00:03:59.000]  他在當中行了神蹟騎士
[00:03:59.000 --> 00:04:03.000]  證明他是屬神,他是神
[00:04:03.000 --> 00:04:06.000]  也證明他是勝過了死亡
[00:04:06.000 --> 00:04:09.000]  因為他從死裡復活過來
[00:04:09.000 --> 00:04:12.000]  以大能證明他是神
[00:04:12.000 --> 00:04:14.000]  在整個過程裡我們看到
[00:04:14.000 --> 00:04:15.000]  聖經告訴我們
[00:04:15.000 --> 00:04:18.000]  耶穌基督的神蹟騎士
[00:04:18.000 --> 00:04:22.000]  讓我們知道他是從神來的
[00:04:22.000 --> 00:04:25.000]  大家知道世上有很多不同的宗教
[00:04:25.000 --> 00:04:27.000]  很多宗教簡單來說
[00:04:27.000 --> 00:04:31.000]  可以說是人尋找人的方式
[00:04:31.000 --> 00:04:33.000]  人尋找人的途徑
[00:04:33.000 --> 00:04:35.000]  人嘗試訂出一些教義
[00:04:35.000 --> 00:04:37.000]  一些操練
[00:04:37.000 --> 00:04:39.000]  希望透過這些方式
[00:04:39.000 --> 00:04:42.000]  能夠去認識神或者得著神
[00:04:42.000 --> 00:04:44.000]  但你會想一想的時候
[00:04:44.000 --> 00:04:47.000]  就會發覺其實是不可能的
[00:04:47.000 --> 00:04:49.000]  因為有限的人
[00:04:49.000 --> 00:04:52.000]  憑著有限的知識聰明
[00:04:52.000 --> 00:04:57.000]  怎麼能夠去認識無限的上帝呢?
[00:04:57.000 --> 00:05:00.000]  有限的人不能夠認識無限的上帝
[00:05:00.000 --> 00:05:03.000]  唯一可以想到的方法
[00:05:03.000 --> 00:05:05.000]  就是一位無限的上帝
