
[00:00:00.000 --> 00:00:03.000]  以斯拉記一開始
[00:00:03.000 --> 00:00:05.000]  有幾樣東西大家要知道
[00:00:05.000 --> 00:00:07.000]  作為一個背景
[00:00:07.000 --> 00:00:08.000]  以斯拉記
[00:00:08.000 --> 00:00:11.000]  以斯拉記和利希米記息息相關
[00:00:11.000 --> 00:00:14.000]  如果你想了解以斯拉記
[00:00:14.000 --> 00:00:17.000]  讀完利希米記便非常完整
[00:00:17.000 --> 00:00:20.000]  因為在利希米記第八至第十章
[00:00:20.000 --> 00:00:23.000]  有講以斯拉如何宣講神的話語
[00:00:23.000 --> 00:00:27.000]  以及作出一個很長的討論
[00:00:28.000 --> 00:00:30.000]  這兩本書
[00:00:30.000 --> 00:00:31.000]  以斯拉記和利希米記
[00:00:31.000 --> 00:00:34.000]  在舊約末段的時候
[00:00:34.000 --> 00:00:38.000]  和哈蓋書、撒加利亞書、瑪雅紀書
[00:00:38.000 --> 00:00:44.000]  都是在末期公元前的第五世紀寫成的
[00:00:44.000 --> 00:00:48.000]  中心思想圍繞著幾樣東西
[00:00:48.000 --> 00:00:51.000]  一個以色列民族的群體
[00:00:51.000 --> 00:00:53.000]  聖潔和神的話語
[00:00:53.000 --> 00:00:55.000]  圍繞著主題
[00:00:55.000 --> 00:00:58.000]  從這些主題當中
[00:00:58.000 --> 00:01:02.000]  作者、讀者、以斯拉希望我們認識到
[00:01:02.000 --> 00:01:05.000]  我們相信的神是一個怎樣的神
[00:01:05.000 --> 00:01:08.000]  神如何去重塑
[00:01:08.000 --> 00:01:14.000]  或者去恢復以色列子民的身份
[00:01:14.000 --> 00:01:16.000]  以色列子民的身份不在於
[00:01:16.000 --> 00:01:17.000]  他在哪裡居住
[00:01:17.000 --> 00:01:19.000]  不在於耶路撒冷或巴比倫
[00:01:19.000 --> 00:01:20.000]  不在於這些
[00:01:20.000 --> 00:01:22.000]  以色列子民的身份
[00:01:22.000 --> 00:01:27.000]  是在於他本身是敬拜和守約的群體
[00:01:27.000 --> 00:01:29.000]  這是最重要的
[00:01:29.000 --> 00:01:33.000]  以斯拉記會講很多這些的向導
[00:01:33.000 --> 00:01:34.000]  我們也會看到
[00:01:34.000 --> 00:01:37.000]  作者希望讀者明白到
[00:01:37.000 --> 00:01:42.000]  神在以色列子民的工作是不斷的
[00:01:42.000 --> 00:01:43.000]  沒有間斷的
[00:01:43.000 --> 00:01:47.000]  因為無論在以斯拉記或利希米記
[00:01:47.000 --> 00:01:53.000]  我們會看到以色列子民仍然在信仰上
[00:01:53.000 --> 00:01:56.000]  有所成長、有空間去成長的地方
[00:01:56.000 --> 00:02:00.000]  這個重建是沒完沒了的
[00:02:00.000 --> 00:02:03.000]  神的子民也都因著上帝的幫助
[00:02:03.000 --> 00:02:05.000]  去作成他的工作
[00:02:05.000 --> 00:02:08.000]  即使面對很多艱難和挑戰
[00:02:08.000 --> 00:02:13.000]  也是在以斯拉記和利希米記會看到的
[00:02:13.000 --> 00:02:15.000]  以斯拉記分開兩大部分
[00:02:15.000 --> 00:02:17.000]  七至六章和七至十章
[00:02:17.000 --> 00:02:22.000]  頭六章的經文是回歸的第一浪
[00:02:22.000 --> 00:02:25.000]  由以色列子民、被告子民
[00:02:25.000 --> 00:02:28.000]  如何回歸耶路撒冷重建聖殿
[00:02:28.000 --> 00:02:30.000]  第二波就是最後的四章
[00:02:30.000 --> 00:02:35.000]  是講述以斯拉如何透過神的話語和敬拜
[00:02:35.000 --> 00:02:40.000]  塑造以色列子民的身份
[00:02:40.000 --> 00:02:41.000]  在今天的經文當中
[00:02:41.000 --> 00:02:44.000]  以斯拉記一章的頭三節經文
[00:02:44.000 --> 00:02:48.000]  和上一版和合本聖經
[00:02:48.000 --> 00:02:51.000]  以斯拉記頭三節經文
[00:02:51.000 --> 00:02:58.000]  和上兩節經文歷代治下的第三十六章
[00:02:58.000 --> 00:03:00.000]  二十二和二十三節
[00:03:00.000 --> 00:03:04.000]  是一模一樣的
[00:03:04.000 --> 00:03:08.000]  所以如果我們要了解以斯拉記的背景
[00:03:08.000 --> 00:03:13.000]  最好是研讀歷代治下三十六章發生了什麼事
[00:03:13.000 --> 00:03:18.000]  我們可以很宏觀地看到
[00:03:18.000 --> 00:03:23.000]  以斯拉記想帶出一個歷史時代的背景
[00:03:23.000 --> 00:03:25.000]  和我們有什麼關係
[00:03:25.000 --> 00:03:29.000]  以斯拉記在歷代治下三十六章
[00:03:29.000 --> 00:03:31.000]  由第十一節開始
[00:03:31.000 --> 00:03:38.000]  它講到以色列北國早在公元前七百二十二年
[00:03:38.000 --> 00:03:41.000]  被亞述國所毀滅
[00:03:41.000 --> 00:03:45.000]  現在來到的是公元前五百九十七年
[00:03:45.000 --> 00:03:49.000]  也是猶大國最後一個皇西底家上任
[00:03:49.000 --> 00:03:50.000]  在位
[00:03:50.000 --> 00:03:53.000]  他行耶和華眼中為惡的事
[00:03:53.000 --> 00:03:54.000]  做得不好
[00:03:54.000 --> 00:03:56.000]  不單他做得不好
[00:03:56.000 --> 00:03:57.000]  所有的祭司
[00:03:57.000 --> 00:04:02.000]  所有的人民都是背叛耶和華神
[00:04:02.000 --> 00:04:04.000]  藐視先知
[00:04:04.000 --> 00:04:06.000]  特別是耶利米先知的說話
[00:04:06.000 --> 00:04:07.000]  不聽他的話
[00:04:07.000 --> 00:04:09.000]  並且去敬拜偶像
[00:04:09.000 --> 00:04:12.000]  正正因為道德淪亡
[00:04:12.000 --> 00:04:15.000]  宗教上淪陷的時候
[00:04:15.000 --> 00:04:17.000]  他們拒絕悔改
[00:04:17.000 --> 00:04:19.000]  這些不信的子民
[00:04:19.000 --> 00:04:21.000]  帶來一個後果
[00:04:21.000 --> 00:04:25.000]  就是神的憤怒要淫在以色列子民身上
[00:04:25.000 --> 00:04:28.000]  所以在以斯拉記五章十二節
[00:04:28.000 --> 00:04:30.000]  在螢光幕上看到
[00:04:30.000 --> 00:04:44.000]  (聖經)
[00:04:44.000 --> 00:04:46.000]  所以在公元五百八十六年
[00:04:46.000 --> 00:04:49.000]  巴比倫帝國入侵猶大國
[00:04:49.000 --> 00:04:53.000]  摧毀了這個國家
[00:04:53.000 --> 00:04:56.000]  在歷代治下的三十六章也會這樣
[00:04:56.000 --> 00:04:58.000]  繼續說
[00:04:58.000 --> 00:05:00.000]  當尼泊爾教尼撒旺入侵的時候
[00:05:00.000 --> 00:05:03.000]  他不單止擄走人民
[00:05:03.000 --> 00:05:07.000]  並且將聖殿和城牆都拆毀
