
[00:00:00.000 --> 00:00:02.720]  在剛才所唱的一首詩歌
[00:00:02.720 --> 00:00:05.760]  基督是教會獨一的根基
[00:00:05.760 --> 00:00:08.000]  我想這個說話
[00:00:08.000 --> 00:00:09.840]  你回到教會沒多久
[00:00:09.840 --> 00:00:10.800]  你都會聽到
[00:00:10.800 --> 00:00:15.200]  耶穌就是教會獨一的基礎
[00:00:15.200 --> 00:00:17.600]  或者教會的存在
[00:00:17.600 --> 00:00:21.720]  都是因為有耶穌的拯救
[00:00:21.720 --> 00:00:25.520]  我們才能夠存在在今天這個地方
[00:00:25.520 --> 00:00:28.480]  今天在這段經文裏
[00:00:28.480 --> 00:00:30.480]  我們再一次思想
[00:00:30.480 --> 00:00:35.560]  耶穌是教會獨一根基的事實和重要性
[00:00:35.560 --> 00:00:37.840]  哥羅西書在這段經文裏
[00:00:37.840 --> 00:00:40.640]  可以說是相當相當的重要
[00:00:40.640 --> 00:00:44.720]  保羅是對當時的哥倫多教會的信徒
[00:00:44.720 --> 00:00:46.640]  再說出這個訊息
[00:00:46.640 --> 00:00:48.440]  其實有一個很重要的背景
[00:00:48.440 --> 00:00:50.800]  就是當時在教會裏
[00:00:50.800 --> 00:00:55.280]  有很多錯誤的思想和疑端
[00:00:55.280 --> 00:00:57.200]  在教會裏盛行
[00:00:57.200 --> 00:01:01.640]  就是耶穌不是教會獨一的根基
[00:01:01.640 --> 00:01:04.120]  所以保羅在這裏再一次強調
[00:01:04.120 --> 00:01:05.960]  唯有藉著耶穌
[00:01:05.960 --> 00:01:09.560]  我們才能夠跟從上帝
[00:01:09.560 --> 00:01:10.880]  所以在第十四節
[00:01:10.880 --> 00:01:12.160]  保羅在這裏說
[00:01:12.160 --> 00:01:14.800]  上帝就是藉著他的愛子
[00:01:14.800 --> 00:01:15.920]  就是耶穌
[00:01:15.920 --> 00:01:18.440]  我們才能夠蒙這個救贖
[00:01:18.440 --> 00:01:20.640]  整個救贖的工作
[00:01:20.640 --> 00:01:23.320]  就是以耶穌為一個中心
[00:01:23.320 --> 00:01:25.240]  你都可以這樣說
[00:01:25.240 --> 00:01:28.160]  除了耶穌之外
[00:01:28.160 --> 00:01:30.080]  別無拯救
[00:01:30.080 --> 00:01:32.240]  其實這段經文告訴我們
