
[00:00:00.000 --> 00:00:04.000]  今天我們要繼續的領受新約裡面
[00:00:04.000 --> 00:00:07.300]  希伯來書的寶貴的信息
[00:00:07.300 --> 00:00:11.900]  這是希伯來書信息的最後一講
[00:00:11.900 --> 00:00:13.500]  在這一講裡面
[00:00:13.500 --> 00:00:16.900]  我們要在希伯來書裡面看
[00:00:16.900 --> 00:00:20.100]  耶穌基督各方面的預表
[00:00:20.100 --> 00:00:21.600]  所謂預表呢
[00:00:21.600 --> 00:00:23.600]  就是在舊約時代
[00:00:23.600 --> 00:00:26.100]  耶穌基督的一些嬰兒
[00:00:26.100 --> 00:00:29.000]  也好像一幅一幅的圖畫
[00:00:29.000 --> 00:00:31.900]  這些圖畫把耶穌基督
[00:00:31.900 --> 00:00:35.900]  說要做的工作預先鮮明出來
[00:00:35.900 --> 00:00:38.900]  我們在事後回頭看的時候
[00:00:38.900 --> 00:00:41.400]  就發覺這些預表
[00:00:41.400 --> 00:00:43.500]  已經何等奇妙地
[00:00:43.500 --> 00:00:46.000]  應驗在耶穌的身上
[00:00:46.000 --> 00:00:47.300]  我們越看
[00:00:47.300 --> 00:00:50.300]  越覺得神的話語的奇妙
[00:00:50.300 --> 00:00:53.500]  神的安排是正確的
[00:00:53.500 --> 00:00:55.300]  是完全的
[00:00:55.300 --> 00:00:57.300]  祂的完全的救恩
[00:00:57.300 --> 00:01:00.800]  藉著耶穌基督得到成全
[00:01:00.800 --> 00:01:02.800]  我們現在先看
[00:01:02.800 --> 00:01:06.100]  希伯來書裡面有四位的人物
[00:01:06.100 --> 00:01:10.600]  他們預表耶穌基督各方面的知分
[00:01:10.600 --> 00:01:15.500]  摩西預表耶穌基督的先知的知分
[00:01:15.500 --> 00:01:20.100]  亞倫預表耶穌基督的祭司的知分
[00:01:20.100 --> 00:01:25.800]  麥基錫德預表耶穌基督的君王的知分
[00:01:25.800 --> 00:01:28.600]  先知、祭司、君王
[00:01:28.600 --> 00:01:34.100]  然後約束亞預表耶穌基督是救主
[00:01:34.100 --> 00:01:36.300]  現在我們把這四方面
[00:01:36.300 --> 00:01:40.300]  一一地分開來領受
[00:01:40.300 --> 00:01:41.300]  第一方面
[00:01:41.300 --> 00:01:46.500]  是摩西預表耶穌基督的先知的知分
[00:01:46.500 --> 00:01:50.700]  這是記載在希伯來書第三章
[00:01:50.700 --> 00:01:52.700]  頭兩節裡面
[00:01:52.700 --> 00:01:57.200]  希伯來書第三章第一節第二節
[00:01:57.200 --> 00:01:59.200]  我讀給大家聽
[00:01:59.200 --> 00:02:03.200]  同蒙天昭的聖傑弟兄啊
[00:02:03.200 --> 00:02:05.200]  你們應當思想
[00:02:05.200 --> 00:02:09.200]  我們所認為使者為大祭司的耶穌
[00:02:09.200 --> 00:02:11.700]  他為了設立他的盡中
[00:02:11.700 --> 00:02:17.200]  如同摩西在神的全家盡中一樣
[00:02:17.200 --> 00:02:20.200]  在這兩節經文裡面
[00:02:20.200 --> 00:02:24.700]  摩西是中心的管家
[00:02:24.700 --> 00:02:29.700]  他是在傳達神的話語的知分上向神盡忠
[00:02:29.700 --> 00:02:32.200]  神交託給他什麼話
[00:02:32.200 --> 00:02:34.700]  他就傳講什麼話
[00:02:34.700 --> 00:02:37.700]  所以他是一位先知
[00:02:37.700 --> 00:02:40.200]  而他的先知的知分
[00:02:40.200 --> 00:02:45.200]  也是耶穌基督的先知知分的預表
[00:02:45.200 --> 00:02:49.700]  因為在生命紀十八章十七節
[00:02:49.700 --> 00:02:53.200]  十八節十九節這三節裡面
[00:02:53.200 --> 00:02:55.700]  有這樣的話說
[00:02:55.700 --> 00:02:59.700]  「依或華就對我(摩西)說
[00:02:59.700 --> 00:03:05.700]  我必在伊斯列人中給他們興起一位先知像你
[00:03:05.700 --> 00:03:11.200]  他要將我一切所吩咐的都傳給他們」
[00:03:11.200 --> 00:03:13.700]  這是很清楚的預言
[00:03:13.700 --> 00:03:15.700]  神對摩西說
[00:03:15.700 --> 00:03:20.700]  神將要在伊斯列人中興起一位先知
[00:03:20.700 --> 00:03:26.200]  是像摩西那樣的在先知的知分上盡忠
[00:03:26.200 --> 00:03:30.200]  所有的一屬神的人都要聽他
[00:03:30.200 --> 00:03:35.700]  意思就是說那一位先知有最後的最高的權威
[00:03:35.700 --> 00:03:39.200]  而摩西就是他的預先的嬰兒
[00:03:39.200 --> 00:03:41.700]  就是他的預表
[00:03:41.700 --> 00:03:43.700]  耶穌基督是先知
[00:03:43.700 --> 00:03:47.700]  至少有四個特點
[00:03:47.700 --> 00:03:49.200]  第一個特點
[00:03:49.200 --> 00:03:52.200]  耶穌基督傳講神的話語
[00:03:52.200 --> 00:03:57.200]  同時他自己也遵循了神的話語
[00:03:57.200 --> 00:03:59.700]  他留下了最美好的方案
[00:03:59.700 --> 00:04:03.700]  他不是單單把神的話語傳講給別人
[00:04:03.700 --> 00:04:07.200]  要別人遵循而自己不遵循
