
[00:00:00.000 --> 00:00:07.040]  今天我們繼續領受聖靈充滿的訊息
[00:00:07.040 --> 00:00:09.160]  上一個主日
[00:00:09.160 --> 00:00:16.840]  我們是從《十二行傳》以外的章節來領受
[00:00:16.840 --> 00:00:25.080]  今天我們的注意力集中在《十二行傳》裏面
[00:00:25.080 --> 00:00:29.760]  我們要看那個時候的教會
[00:00:29.760 --> 00:00:33.360]  如何的被聖靈充滿
[00:00:33.360 --> 00:00:35.720]  聖靈充滿以後
[00:00:35.720 --> 00:00:37.960]  又有什麼表現
[00:00:37.960 --> 00:00:44.960]  我們從其中來了解聖靈充滿的真理
[00:00:44.960 --> 00:00:50.360]  請大家回到《十二行傳》
[00:00:50.360 --> 00:00:58.080]  《十二行傳》裏面有十次記載聖靈充滿
[00:00:58.080 --> 00:01:03.160]  每一次都有它特別的現象
[00:01:03.160 --> 00:01:05.400]  和功效
[00:01:05.400 --> 00:01:08.200]  我們來看一看
[00:01:08.200 --> 00:01:14.320]  第一次是《十二行傳》第二章
[00:01:14.320 --> 00:01:17.840]  第一節到第四節
[00:01:17.840 --> 00:01:19.400]  五旬節到了
[00:01:19.400 --> 00:01:21.640]  門徒都聚集在一處
[00:01:21.640 --> 00:01:24.280]  忽然從天上有響聲下來
[00:01:24.280 --> 00:01:26.520]  抱著一陣大風吹過
[00:01:26.520 --> 00:01:28.960]  充滿了他們所坐的屋子
[00:01:28.960 --> 00:01:31.880]  又有舌頭如火焰顯現出來
[00:01:31.880 --> 00:01:35.000]  分開落在他們各人的頭上
[00:01:35.000 --> 00:01:37.600]  他們就都被聖靈充滿
[00:01:37.600 --> 00:01:40.040]  按著聖靈所賜的口才
[00:01:40.040 --> 00:01:42.720]  說起別國的話來
[00:01:42.720 --> 00:01:48.240]  這是教會歷史的第一頁
[00:01:48.240 --> 00:01:53.680]  是神的能力彰顯的紀錄
[00:01:53.680 --> 00:01:56.640]  是超然的能力
[00:01:56.640 --> 00:02:02.160]  在教會歷史裏面開始彰顯
[00:02:02.160 --> 00:02:08.040]  當時門徒同心禱告
[00:02:08.040 --> 00:02:11.480]  禱告十天
[00:02:11.480 --> 00:02:13.920]  那麼長的時間
[00:02:13.920 --> 00:02:17.920]  他們按照主的吩咐
[00:02:17.920 --> 00:02:22.760]  很切地繼續地禱告
[00:02:22.760 --> 00:02:26.320]  到了五旬節的時候
[00:02:26.320 --> 00:02:32.360]  這件超然的情形就發生了
[00:02:32.360 --> 00:02:38.560]  當時的情況有三個特點
[00:02:38.560 --> 00:02:43.480]  第一 一陣大風吹過
[00:02:43.480 --> 00:02:46.080]  風代表什麼呢
[00:02:46.080 --> 00:02:51.160]  我們從舊約第一細節書37章看見
[00:02:51.160 --> 00:02:56.680]  風是代表生命的氣息
[00:02:56.680 --> 00:03:00.520]  當時大風吹過
[00:03:00.520 --> 00:03:08.520]  代表強有力的生命進入門徒裏面
[00:03:08.520 --> 00:03:11.240]  把他們改變
[00:03:11.240 --> 00:03:14.200]  使他們強化
[00:03:14.200 --> 00:03:17.640]  原來軟弱的情形
[00:03:17.640 --> 00:03:20.080]  一掃而空
[00:03:20.080 --> 00:03:25.920]  現在得到了由天而來的新能力
[00:03:25.920 --> 00:03:29.520]  過去是把門關住
[00:03:29.520 --> 00:03:32.480]  懼怕猶太人
[00:03:32.480 --> 00:03:36.000]  現在充滿膽量
[00:03:36.000 --> 00:03:38.480]  把他們強化
[00:03:38.480 --> 00:03:41.120]  懼怕猶太人
[00:03:41.120 --> 00:03:44.960]  現在充滿了膽量
[00:03:44.960 --> 00:03:47.120]  充滿了勇氣
[00:03:47.120 --> 00:03:49.920]  為主做見證
[00:03:49.920 --> 00:03:54.160]  截然不同的表現
[00:03:54.160 --> 00:03:57.240]  這是超然的生靈的能力
[00:03:57.240 --> 00:04:03.680]  降臨在他們身上的表現
[00:04:03.680 --> 00:04:07.440]  正如主所說的寓言
[00:04:07.440 --> 00:04:09.800]  在一章第八節說
[00:04:09.800 --> 00:04:13.680]  聖靈降臨在你們身上
[00:04:13.680 --> 00:04:17.800]  你們就必得著能力
[00:04:17.800 --> 00:04:21.720]  從耶路撒冷直到地極
[00:04:21.720 --> 00:04:24.320]  做主的見證
[00:04:24.320 --> 00:04:27.400]  第二個現象
[00:04:27.400 --> 00:04:30.200]  舌頭好像火焰一樣
[00:04:30.200 --> 00:04:35.440]  落在門徒的頭上
[00:04:35.440 --> 00:04:38.600]  如火的舌頭
[00:04:38.600 --> 00:04:44.840]  代表火熱的見證能力
[00:04:44.840 --> 00:04:46.960]  從此以後
[00:04:46.960 --> 00:04:52.640]  門徒的傳福音大有果效
[00:04:52.640 --> 00:04:54.520]  很明顯
[00:04:54.520 --> 00:04:58.240]  不是人力做得到的
[00:04:58.240 --> 00:05:00.160]  所以教會歷史的第一頁
[00:05:00.160 --> 00:05:02.320]  是超然能力的記錄
[00:05:02.320 --> 00:05:05.480]  超越了當時門徒們
[00:05:05.480 --> 00:05:08.440]  自己所有的力量
[00:05:08.440 --> 00:05:11.400]  第三個現象
[00:05:11.400 --> 00:05:17.280]  他們按照聖靈所賜的口才
[00:05:17.280 --> 00:05:20.440]  說起別國的話來
[00:05:20.440 --> 00:05:24.600]  別國的話也就是謊言
[00:05:24.600 --> 00:05:27.480]  他們就講起別國的話
[00:05:27.480 --> 00:05:31.320]  別國的話也就是謊言
[00:05:31.320 --> 00:05:35.840]  他們就講起謊言來
[00:05:35.840 --> 00:05:39.080]  這件事好像很稀奇
[00:05:39.080 --> 00:05:44.800]  聖靈降臨和講謊言有什麼關係呢?
[00:05:44.800 --> 00:05:48.520]  其實有密切的關係
[00:05:48.520 --> 00:05:51.480]  別國的話
[00:05:51.480 --> 00:05:55.920]  有一個預表的意義
[00:05:55.920 --> 00:05:57.920]  意思就是說
[00:05:57.920 --> 00:06:01.560]  在聖靈的能力之下
[00:06:01.560 --> 00:06:05.960]  福音要傳遍地極
[00:06:05.960 --> 00:06:13.280]  傳到講各種語言的民族中間
[00:06:13.280 --> 00:06:16.920]  當時這件事還沒有發生
[00:06:16.920 --> 00:06:21.400]  但是神先給他們一個預表
[00:06:21.400 --> 00:06:24.200]  作為一個由神而來的證據
[00:06:24.200 --> 00:06:28.600]  我相信他們以後常常記得這件事
[00:06:28.600 --> 00:06:32.800]  每逢傳福音遭遇困難的時候
[00:06:32.800 --> 00:06:35.640]  他們就會回想這個經驗
[00:06:35.640 --> 00:06:37.960]  立刻他們就會知道
[00:06:37.960 --> 00:06:39.960]  聖靈的能力
[00:06:39.960 --> 00:06:43.040]  能夠讓福音廣傳
[00:06:43.040 --> 00:06:45.120]  不必掛心
[00:06:45.120 --> 00:06:47.120]  不必灰心
[00:06:47.120 --> 00:06:49.120]  不必憂慮
[00:06:49.120 --> 00:06:51.120]  到了神的時候
[00:06:51.120 --> 00:06:56.480]  聖靈的能力能成全這個計劃
[00:06:56.480 --> 00:07:00.720]  這是第一次聖靈充滿
[00:07:00.720 --> 00:07:02.720]  奇妙的現象
[00:07:02.720 --> 00:07:04.720]  第二次
[00:07:04.720 --> 00:07:06.720]  我們看第四章
[00:07:06.720 --> 00:07:08.720]  第八節
[00:07:08.720 --> 00:07:10.720]  我們看第九節
