
[00:00:00.000 --> 00:00:04.080]  當我們思想到信靠順服主能夠得勝
[00:00:04.080 --> 00:00:08.040]  大家知道我們這次的經文是一段你熟悉的經文
[00:00:08.040 --> 00:00:11.680]  講到耶利哥城島塔的經過
[00:00:11.680 --> 00:00:15.240]  我們今天試試從一個屬靈的角度看回
[00:00:15.240 --> 00:00:18.360]  沒錯今天我們未必要去打仗
[00:00:18.360 --> 00:00:22.160]  但我們會經歷到一些屬靈的征戰
[00:00:22.160 --> 00:00:25.960]  或者是有一些惡勢力要攻擊我們
[00:00:25.960 --> 00:00:31.080]  又或者是神差派我們去敵對一些惡勢力
[00:00:31.080 --> 00:00:34.000]  去站在公義和真理的立場中
[00:00:34.000 --> 00:00:36.880]  來面對這些挑戰
[00:00:36.880 --> 00:00:40.120]  在這些勢力裏面我們常常記得
[00:00:40.120 --> 00:00:44.200]  這個戰爭不是我們自己的戰爭
[00:00:44.200 --> 00:00:49.640]  我們是在神的真道當中面對這些屬靈的征戰
[00:00:49.640 --> 00:00:50.960]  當你讀這段聖經的時候
[00:00:50.960 --> 00:00:52.040]  你發覺有一個字
[00:00:52.040 --> 00:00:55.200]  有一個數目字是經常出現的
[00:00:55.200 --> 00:00:56.480]  是甚麼?
[00:00:56.480 --> 00:00:57.720]  是七
[00:00:57.720 --> 00:00:58.840]  很特別
[00:00:58.840 --> 00:01:02.840]  他們是圍繞一整場七天
[00:01:02.840 --> 00:01:04.560]  第七天的時候
[00:01:04.560 --> 00:01:06.280]  圍繞多少次?
[00:01:06.280 --> 00:01:07.960]  是七次
[00:01:07.960 --> 00:01:10.680]  前面有多少個祭司在前面行?
[00:01:10.680 --> 00:01:12.320]  有七個祭司
[00:01:12.320 --> 00:01:16.880]  拿著七個陽閣來吹號
[00:01:16.880 --> 00:01:20.480]  大家知道七次是代表一個完全的數字
[00:01:20.480 --> 00:01:22.520]  亦都是代表神
[00:01:22.520 --> 00:01:27.040]  因此他們打仗是神的征戰
[00:01:27.040 --> 00:01:30.240]  一些神必定在其中
[00:01:30.240 --> 00:01:31.760]  當你是奉主的命
[00:01:31.760 --> 00:01:34.520]  面對著一些屬靈的攻擊
[00:01:34.520 --> 00:01:36.680]  或者是站在真理的立場
[00:01:36.680 --> 00:01:40.640]  面對一些人事或者社會的挑戰的時候
[00:01:40.640 --> 00:01:45.680]  你知道神會站在你的生命中
[00:01:45.680 --> 00:01:49.160]  那個戰爭是神的戰爭
[00:01:49.160 --> 00:01:51.200]  因此當我們去思想這段經文的時候
[00:01:51.200 --> 00:01:56.200]  我們知道我們在其中有神自己的工作
[00:01:56.200 --> 00:01:58.120]  但是面對戰爭的時候
[00:01:58.120 --> 00:02:00.280]  有甚麼態度
[00:02:00.280 --> 00:02:03.160]  有甚麼原則我們需要留意?
[00:02:03.160 --> 00:02:06.560]  我們就試一下從這段經文一起來思想
[00:02:06.560 --> 00:02:08.680]  大家再看剛才的經文
[00:02:08.680 --> 00:02:14.680]  我們先看第六章第二節
[00:02:20.680 --> 00:02:23.160]  「聖經提到 神對約書亞說
[00:02:23.160 --> 00:02:26.520]  看我已經把耶利哥和耶利哥的王
[00:02:26.520 --> 00:02:31.120]  以及英勇的戰士都交在你的手中了
[00:02:31.120 --> 00:02:32.320]  你們所有作戰
[00:02:32.320 --> 00:02:35.000]  能夠作戰的南京要圍繞這城
[00:02:35.000 --> 00:02:36.600]  一天圍繞一次
[00:02:36.600 --> 00:02:38.280]  六天都要這樣行
[00:02:38.280 --> 00:02:41.200]  並且派七個祭司拿著七個陽閣
[00:02:41.200 --> 00:02:43.360]  走在約櫃的前面
[00:02:43.360 --> 00:02:45.800]  到第七天就要繞七次
[00:02:45.800 --> 00:02:48.520]  祭司都要吹角」
[00:02:48.520 --> 00:02:51.720]  你發覺神將一個很特別的戰略方式
[00:02:51.720 --> 00:02:55.120]  來指教他們 指示他們
[00:02:55.120 --> 00:02:56.480]  相信當時以色列人
[00:02:56.480 --> 00:02:59.080]  他們按這個方式行的時候
[00:02:59.080 --> 00:03:02.800]  他們裡面一定有很多懷疑
[00:03:02.800 --> 00:03:04.640]  有沒有搞錯?
[00:03:04.640 --> 00:03:06.800]  怎麼可以繞城
[00:03:06.800 --> 00:03:10.720]  就期望它可以倒塌呢?
[00:03:10.720 --> 00:03:12.080]  我想你也會感覺到
[00:03:12.080 --> 00:03:14.040]  如果你是當時的以色列人
[00:03:14.040 --> 00:03:15.800]  當你繞城的時候
[00:03:15.800 --> 00:03:18.680]  你的心可能咕嚕咕嚕咕嚕
[00:03:18.680 --> 00:03:19.480]  有沒有搞錯?
[00:03:19.480 --> 00:03:21.800]  這樣的方法也可以的
[00:03:21.800 --> 00:03:23.080]  甚至你很擔心
[00:03:23.080 --> 00:03:24.840]  繞城的時候
[00:03:24.840 --> 00:03:26.920]  會不會城牆裡面的人
[00:03:26.920 --> 00:03:29.680]  在取笑自己
[00:03:29.680 --> 00:03:33.360]  甚至突然間他們衝出來突襲我們
[00:03:33.360 --> 00:03:34.600]  我們沒有打算打仗
[00:03:34.600 --> 00:03:37.360]  只是想圍繞城牆而已
[00:03:37.360 --> 00:03:39.560]  好像一個很奇怪的方式
[00:03:39.560 --> 00:03:42.280]  怎麼可能是這樣呢?
[00:03:42.280 --> 00:03:45.120]  還有你會發覺當時約書亞吩咐他們
[00:03:45.120 --> 00:03:49.040]  一件事情就是不准出聲
[00:03:49.040 --> 00:03:51.040]  不准說話也挺辛苦的
[00:03:51.040 --> 00:03:53.920]  要忍耐著一直繞城的時候
[00:03:53.920 --> 00:03:56.240]  不准說話
[00:03:56.240 --> 00:04:02.720]  是要忍耐著聽從神給他們的指示
[00:04:02.720 --> 00:04:03.600]  各位弟兄姊妹
[00:04:03.600 --> 00:04:07.040]  在面對著很多不同的衝擊的時候
[00:04:07.040 --> 00:04:09.800]  很多時候上帝給我們的指示
[00:04:09.800 --> 00:04:14.160]  是信靠信服
[00:04:14.160 --> 00:04:15.760]  你們記得羅亞嗎?
[00:04:15.760 --> 00:04:17.920]  羅亞當他造方舟的時候
[00:04:17.920 --> 00:04:21.280]  在哪裡造船呢?
[00:04:21.280 --> 00:04:23.640]  你不要說碼頭
[00:04:23.640 --> 00:04:26.720]  不是在海邊造船
[00:04:26.720 --> 00:04:30.680]  他在陸地上造船
[00:04:30.680 --> 00:04:31.560]  你一定會想像
[00:04:31.560 --> 00:04:33.440]  當時的人一定見到他的時候
[00:04:33.440 --> 00:04:35.280]  就會取笑他
[00:04:35.280 --> 00:04:38.560]  哇!你有沒有精神問題?
[00:04:38.560 --> 00:04:41.960]  為什麼會做這樣的奇怪的事情?
[00:04:41.960 --> 00:04:43.040]  但是聖經就說
[00:04:43.040 --> 00:04:45.280]  羅亞因為聽到神的吩咐
[00:04:45.280 --> 00:04:47.560]  就動了敬畏的心
[00:04:47.560 --> 00:04:49.240]  希伯來書說
[00:04:49.240 --> 00:04:53.480]  然後就聽從神一切的吩咐
[00:04:53.480 --> 00:04:55.920]  然後就拯救了自己
[00:04:55.920 --> 00:04:59.760]  也定了那個世代的人的罪
[00:04:59.760 --> 00:05:01.080]  有些時候你會發覺
[00:05:01.080 --> 00:05:02.840]  神給我們的真理
[00:05:02.840 --> 00:05:06.960]  好像是一些很不流行的說法
[00:05:06.960 --> 00:05:08.120]  譬如說
[00:05:08.120 --> 00:05:13.400]  聖經教我們要以善勝惡
[00:05:13.400 --> 00:05:15.080]  不是以惡對惡
[00:05:15.080 --> 00:05:16.680]  以牙還牙
[00:05:16.680 --> 00:05:20.160]  是以善以良善對惡
[00:05:20.160 --> 00:05:23.120]  當你面對一些不公平的對待的時候
[00:05:23.120 --> 00:05:26.920]  有些時候要去信靠信服
[00:05:26.920 --> 00:05:31.000]  你才能得到神給你的應許
[00:05:31.000 --> 00:05:33.440]  我很記得在我自己很早年的時候
[00:05:33.440 --> 00:05:36.360]  青年時期奉獻自己作傳道
[00:05:36.360 --> 00:05:38.160]  在當日的牧者
[00:05:38.160 --> 00:05:40.640]  他呼籲我們奉獻自己
[00:05:40.640 --> 00:05:44.160]  當中的信息我絕大多數忘記了
[00:05:44.160 --> 00:05:45.680]  但是有四個字
[00:05:45.680 --> 00:05:48.480]  我永遠不會忘記
[00:05:48.480 --> 00:05:50.040]  這位講員說
[00:05:50.040 --> 00:05:51.640]  「哪一個要奉獻自己
[00:05:51.640 --> 00:05:53.000]  跟隨上帝
