
[00:00:00.000 --> 00:00:03.680]  今天大家要忍耐我稍為低沉的聲音
[00:00:03.680 --> 00:00:08.000]  相信神在當中都會賜福我們一同的領受
[00:00:08.000 --> 00:00:11.200]  大家再翻到聖經我們讀過的《路加福音》
[00:00:11.200 --> 00:00:13.200]  剛才的第四章
[00:00:13.200 --> 00:00:20.800]  我們仔細思想的是聖經所提及
[00:00:20.800 --> 00:00:23.800]  神的角度、福音的權能
[00:00:23.800 --> 00:00:27.200]  我相信等於當你信主一段時間
[00:00:27.200 --> 00:00:29.680]  你就會立刻發現
[00:00:29.680 --> 00:00:32.080]  聖經所說的福音
[00:00:32.080 --> 00:00:34.080]  基督教所傳的福音
[00:00:34.080 --> 00:00:38.080]  有兩個重要的範圍或重點
[00:00:38.080 --> 00:00:40.080]  第一是真理
[00:00:40.080 --> 00:00:42.080]  第二是權能
[00:00:42.080 --> 00:00:46.880]  真理和權能是不會分開的
[00:00:46.880 --> 00:00:48.880]  但我們見到很多時候
[00:00:48.880 --> 00:00:50.880]  很多其他的宗教
[00:00:50.880 --> 00:00:52.880]  當他們傳達出來的時候
[00:00:52.880 --> 00:00:55.680]  我們知道有不少人生的哲理
[00:00:55.680 --> 00:00:57.680]  但問題是
[00:00:57.680 --> 00:01:01.680]  他們沒有能力走出那些哲理
[00:01:01.680 --> 00:01:03.680]  但當主耶穌來到的時候
[00:01:03.680 --> 00:01:05.680]  祂不單把真理帶給我們
[00:01:05.680 --> 00:01:07.680]  還賜下聖靈
[00:01:07.680 --> 00:01:09.680]  讓我們有能力走出真理
[00:01:09.680 --> 00:01:12.680]  能夠勝過罪
[00:01:12.680 --> 00:01:13.680]  大家記得
[00:01:13.680 --> 00:01:15.680]  士郎傳特別提及
[00:01:15.680 --> 00:01:18.680]  當我們信而受洗
[00:01:18.680 --> 00:01:22.680]  就必領受所賜的聖靈
[00:01:22.680 --> 00:01:26.680]  聖經應許神要將聖靈賜給你、賜給我
[00:01:26.680 --> 00:01:28.680]  聖經說
[00:01:28.680 --> 00:01:30.680]  當我們等候聖靈的時候
[00:01:30.680 --> 00:01:33.680]  就必得著能力作主的見證
[00:01:33.680 --> 00:01:37.680]  領受聖靈就可以勝過罪惡
[00:01:37.680 --> 00:01:38.680]  有聖靈的能力
