
[00:00:00.000 --> 00:00:04.400]  光眾多後書最主要的本來是處理一個問題
[00:00:04.400 --> 00:00:06.800]  就是光眾多教會的信徒
[00:00:06.800 --> 00:00:10.600]  本來領受了福音之後
[00:00:10.600 --> 00:00:12.800]  他們都走在一條正確的道路上
[00:00:12.800 --> 00:00:16.400]  但是在過程當中有一些假仙子
[00:00:16.400 --> 00:00:19.400]  可以說是假仕途來到當中去誘惑他們
[00:00:19.400 --> 00:00:23.000]  這一班光眾多教會的弟兄姐妹
[00:00:23.000 --> 00:00:25.800]  他們相信了一些假的使者
[00:00:25.800 --> 00:00:30.800]  使他們一步一步遠離上帝的路
[00:00:30.800 --> 00:00:32.400]  也因為這樣的緣故
[00:00:32.400 --> 00:00:33.400]  他們和保羅
[00:00:33.400 --> 00:00:36.600]  光眾多教會的信徒和保羅之間的關係
[00:00:36.600 --> 00:00:39.400]  也都一步一步疏遠
[00:00:39.400 --> 00:00:44.200]  捨棄他們勸他們回轉回到上帝的身邊
[00:00:44.200 --> 00:00:47.200]  就是這個如何回轉回到上帝身邊呢
[00:00:47.200 --> 00:00:49.800]  保羅去講這個福和的真理
[00:00:49.800 --> 00:00:51.400]  講信仰的基礎
[00:00:51.400 --> 00:00:55.200]  接著才去講我就是福音的使者
[00:00:55.200 --> 00:00:58.400]  上帝差棄來全講這個福和的真理
[00:00:58.400 --> 00:01:00.400]  你們如果遠離我
[00:01:00.400 --> 00:01:04.000]  就即是遠離上帝的真理
[00:01:04.000 --> 00:01:07.200]  保羅其實在一個前提裡面
[00:01:07.200 --> 00:01:08.200]  或者一個基礎裡面
[00:01:08.200 --> 00:01:12.400]  去講出整本書的一個信息
[00:01:12.400 --> 00:01:15.200]  在光眾多後期的第六章
[00:01:15.200 --> 00:01:17.400]  一開始可以說
[00:01:17.400 --> 00:01:23.800]  保羅去帶出了一個作為僕人的心態
[00:01:23.800 --> 00:01:28.400]  或者一個標準是什麼
[00:01:28.400 --> 00:01:30.000]  正如剛才所講
[00:01:30.000 --> 00:01:32.800]  其實保羅在光眾多後書第一章
[00:01:32.800 --> 00:01:37.800]  就已經講你們在我的心目當中的位置是很重要的
[00:01:37.800 --> 00:01:40.200]  我在上上記掛著你們
[00:01:40.200 --> 00:01:41.800]  接著在第二章至第五章
[00:01:41.800 --> 00:01:44.000]  他講出了他作為一個使者
[00:01:44.000 --> 00:01:46.200]  究竟他如何成為
[00:01:46.200 --> 00:01:50.000]  或者如何做上帝那個福音的使者呢
[00:01:50.000 --> 00:01:51.600]  接著在第五章
[00:01:51.600 --> 00:01:53.800]  保羅在這裡去講出
[00:01:53.800 --> 00:01:59.400]  作為使者就要帶出一個福和的真理
[00:01:59.400 --> 00:02:03.400]  人和上帝之間那一種福和的關係
[00:02:03.400 --> 00:02:05.400]  接著在第六章至第九章
[00:02:05.400 --> 00:02:06.800]  保羅就是可以這麼說
[00:02:06.800 --> 00:02:09.400]  去勸一幫哥林多的信徒
[00:02:09.400 --> 00:02:12.200]  你們要和上帝有一個福和的關係
[00:02:12.200 --> 00:02:15.000]  當你們和上帝有一個福和關係的時候
[00:02:15.000 --> 00:02:17.000]  你們和我之間的關係
[00:02:17.000 --> 00:02:23.000]  自然會有一個福和和好的關係在裡面
[00:02:23.000 --> 00:02:25.000]  保羅是用這樣的思路
[00:02:25.000 --> 00:02:28.400]  一路幫助一幫哥林多教會的信徒
[00:02:28.400 --> 00:02:32.400]  第六章一開始
[00:02:32.400 --> 00:02:39.000]  保羅就帶出了有兩部分很重要的方向
[00:02:39.000 --> 00:02:41.000]  第一部分就是保羅帶出了
[00:02:41.000 --> 00:02:46.600]  上帝的救恩、福和的真理
[00:02:46.600 --> 00:02:48.000]  已經很清楚表明瞭
[00:02:48.000 --> 00:02:49.400]  在第五章的結尾
[00:02:49.400 --> 00:02:52.400]  保羅說上帝已經席著耶穌
[00:02:52.400 --> 00:02:57.000]  讓人和上帝有一個福和和好的關係
[00:02:57.000 --> 00:03:04.200]  現在這個恩典已經臨到我們每一個人的生命當中
[00:03:04.200 --> 00:03:09.400]  所以我們應當要去珍惜這些機會
[00:03:09.400 --> 00:03:11.800]  珍惜這種福分
