
[00:00:00.000 --> 00:00:03.000]  天父,我們感謝禰
[00:00:03.000 --> 00:00:10.000]  禰是坐在寶座上,右手拿著書卷,就是你救恩計劃的神
[00:00:10.000 --> 00:00:13.000]  我們也感謝主耶穌
[00:00:13.000 --> 00:00:18.000]  祂是猶大之派的師子,大衛的根,宜經的聖
[00:00:18.000 --> 00:00:23.000]  可以展開救恩計劃的書卷
[00:00:23.000 --> 00:00:25.000]  成全救恩
[00:00:25.000 --> 00:00:30.000]  讓我們能夠確切實實的是天父的兒女
[00:00:30.000 --> 00:00:34.000]  而且有榮耀的盼望在前面
[00:00:34.000 --> 00:00:39.000]  我們也感謝禰賜下聖靈的能力的工作
[00:00:39.000 --> 00:00:46.000]  將福音帶到全世界各地各方各民各族那裡去
[00:00:46.000 --> 00:00:52.000]  也賜給我們特權,能夠參與福音的工作
[00:00:52.000 --> 00:00:57.000]  能夠被禰使用做禰的見證人
[00:00:57.000 --> 00:01:01.000]  感謝主,使我們在這個末世的時候
[00:01:01.000 --> 00:01:05.000]  能夠親眼看見禰的預言的成就
[00:01:05.000 --> 00:01:08.000]  就是福音傳遍天下
[00:01:08.000 --> 00:01:15.000]  我們也知道,我們已經接近末世的時候
[00:01:15.000 --> 00:01:21.000]  因為福音傳遍天下,然後末期就來到
[00:01:21.000 --> 00:01:27.000]  主啊,我們願意預備好我們自己面對禰的再來
[00:01:27.000 --> 00:01:33.000]  能夠挺身昂首,喜樂地等候禰的再來
[00:01:33.000 --> 00:01:38.000]  求主,使我們今天晚上,這個最後一次的時間
[00:01:38.000 --> 00:01:41.000]  得到禰的幫助
[00:01:41.000 --> 00:01:45.000]  讓我們能夠每一個人有所領受
[00:01:45.000 --> 00:01:51.000]  以我們恭敬的教徒奉主耶穌基督的名,阿們
[00:01:51.000 --> 00:02:12.000]  今天晚上來到我們開始錄的播放,請最後一堂
[00:02:12.000 --> 00:02:19.000]  今天晚上因為沒有講義,所以話語的問題就比較嚴重
[00:02:19.000 --> 00:02:25.000]  我就想來想去,考慮來考慮去
[00:02:25.000 --> 00:02:32.000]  為了要令大多數的大型的節目聽得比較明白
[00:02:32.000 --> 00:02:38.000]  所以我就決定用廣東話來講
[00:02:38.000 --> 00:02:45.000]  當然我的廣東話是很水平,但是就比例來講
[00:02:45.000 --> 00:02:51.000]  或者聽廣東話明白多一點的大型節目是前多數
[00:02:51.000 --> 00:02:58.000]  所以我就這樣勉為其難來用廣東話來講
[00:02:58.000 --> 00:03:06.000]  我手中有22個問題
[00:03:06.000 --> 00:03:12.000]  另外有10個是完全跟啓示錄無關的
[00:03:12.000 --> 00:03:17.000]  所以我就不回答那些問題
[00:03:17.000 --> 00:03:20.000]  原本是32個問題
[00:03:20.000 --> 00:03:24.000]  現在與啓示錄有關的是22個
[00:03:24.000 --> 00:03:34.000]  我就盡量按照時間所許可來回答大概16個
[00:03:34.000 --> 00:03:37.000]  如果時間許可的話
[00:03:37.000 --> 00:03:43.000]  還有一些問題是很難回答
[00:03:43.000 --> 00:03:49.000]  比如說在新天新地裡面是講什麼話
[00:03:49.000 --> 00:03:53.000]  聖經沒有講,所以我沒有辦法回答
[00:03:53.000 --> 00:04:03.000]  這樣情形的問題,我就只好略過
[00:04:03.000 --> 00:04:06.000]  好,現在開始
[00:04:06.000 --> 00:04:12.000]  我的計劃就是大概用50分鐘來回答問題
[00:04:12.000 --> 00:04:22.000]  留下半個小時或者多一點來講我上次預告要講的
[00:04:22.000 --> 00:04:24.000]  就是教育的語言
[00:04:24.000 --> 00:04:29.000]  如何在三種情形之下應驗
[00:04:29.000 --> 00:04:36.000]  第一就是完全按照字面應驗
[00:04:36.000 --> 00:04:42.000]  第二就是象徵性的應驗
[00:04:42.000 --> 00:04:47.000]  第三就是又是字面又是按照象徵性的應驗
[00:04:47.000 --> 00:04:51.000]  兩種配合在一起
[00:04:51.000 --> 00:04:58.000]  舉幾個例子和大家一起查考領壽
[00:04:58.000 --> 00:05:01.000]  好,現在我們開始回答問題
[00:05:01.000 --> 00:05:10.000]  第一個問題,中國的錄和凱斯羅裡面所講的錄有沒有關係
[00:05:10.000 --> 00:05:16.000]  有幾個大兄弟妹妹已經問過我這個問題
[00:05:16.000 --> 00:05:22.000]  可知有些大兄弟妹妹心中這個是問題
[00:05:22.000 --> 00:05:25.000]  所以我就很簡單地回答
[00:05:25.000 --> 00:05:28.000]  每個問題我盡量簡單
[00:05:28.000 --> 00:05:34.000]  有些問題幾句話可以回答
[00:05:34.000 --> 00:05:39.000]  這個問題我只可以很簡短地講
[00:05:39.000 --> 00:05:43.000]  就是中國人所講的龍
[00:05:43.000 --> 00:05:48.000]  是代表一種神秘的能力
[00:05:48.000 --> 00:05:52.000]  但它不是惡龍
[00:05:52.000 --> 00:05:57.000]  是一種意義好的龍
[00:05:57.000 --> 00:06:03.000]  所以跟凱斯羅所講的龍是兩回事
[00:06:03.000 --> 00:06:06.000]  我們不能將它們混為一談
[00:06:06.000 --> 00:06:08.000]  聖經所講的龍
[00:06:08.000 --> 00:06:14.000]  有人因為中國文化背景的原因
[00:06:14.000 --> 00:06:17.000]  不贊成這個龍字
