
[00:00:00.000 --> 00:00:03.000]  我記得有一次在一個夫婦的團契裏面
[00:00:03.000 --> 00:00:05.800]  我聽其中一位弟兄分享他的見證
[00:00:05.800 --> 00:00:10.600]  這位弟兄的太太很早年的時候有事情過身
[00:00:10.600 --> 00:00:13.200]  當他分享的時候
[00:00:13.200 --> 00:00:15.800]  他很清楚地跟弟兄姊妹說了一句話
[00:00:15.800 --> 00:00:17.400]  我今天也記得
[00:00:17.400 --> 00:00:22.400]  他就說弟兄姊妹你們要珍惜你身邊的配偶
[00:00:22.400 --> 00:00:27.400]  從他口中說的一句話有不同的意思
[00:00:28.000 --> 00:00:31.000]  因為我們知道在他太太離開之後
[00:00:31.000 --> 00:00:34.000]  他單獨照顧兩個孩子成長
[00:00:34.000 --> 00:00:37.400]  他很堅定地照顧家庭
[00:00:37.400 --> 00:00:39.200]  但他就告訴我們
[00:00:39.200 --> 00:00:41.800]  有太太有丈夫的人知道
[00:00:41.800 --> 00:00:44.400]  你們要珍惜你們的配偶
[00:00:44.400 --> 00:00:47.600]  這句話給我們很多思想
[00:00:47.600 --> 00:00:51.400]  沒錯有些時候家人配偶在身邊
[00:00:51.400 --> 00:00:53.600]  習以為常不覺得什麼特別
[00:00:53.600 --> 00:00:56.600]  但一旦他們離開的時候
[00:00:56.600 --> 00:00:59.000]  或者某些緣故不在身邊的時候
[00:00:59.000 --> 00:01:02.200]  才明白他們對自己有多重要
[00:01:02.200 --> 00:01:04.400]  有多寶貴
[00:01:04.400 --> 00:01:07.400]  我是說弟兄姊妹
[00:01:07.400 --> 00:01:09.800]  當你有弟兄姊妹在身邊的時候
[00:01:09.800 --> 00:01:12.000]  或者你覺得很習慣
[00:01:12.000 --> 00:01:15.000]  他們在不在都好像沒什麼重要
[00:01:15.000 --> 00:01:17.000]  但當你發覺你單獨一人
[00:01:17.000 --> 00:01:19.400]  沒有弟兄姊妹在你身邊的時候
[00:01:19.400 --> 00:01:23.400]  你才會察覺到原來他們對自己這麼重要
[00:01:23.400 --> 00:01:24.600]  這麼寶貴
[00:01:25.200 --> 00:01:29.200]  所以珍惜你身邊有的弟兄姊妹
[00:01:29.200 --> 00:01:31.000]  很多人都說
[00:01:31.000 --> 00:01:34.200]  我們在家中也有崇拜
[00:01:34.200 --> 00:01:36.200]  現在在香港、世界上
[00:01:36.200 --> 00:01:39.600]  有很多很明顯、很強的個人主義
[00:01:39.600 --> 00:01:41.400]  很多人就說不用了
[00:01:41.400 --> 00:01:43.800]  星期日早上我打電視
[00:01:43.800 --> 00:01:45.000]  有什麼呢?
[00:01:45.000 --> 00:01:47.400]  有電視崇拜
[00:01:47.400 --> 00:01:49.000]  一個人對著電視
[00:01:49.000 --> 00:01:51.200]  可以一邊喝可樂一邊崇拜
[00:01:51.200 --> 00:01:52.800]  多好啊
[00:01:53.400 --> 00:01:55.600]  為什麼一定要回來教會崇拜呢?
[00:01:55.600 --> 00:01:57.800]  但大家很清楚知道
[00:01:57.800 --> 00:01:59.200]  聖經清楚說
[00:01:59.200 --> 00:02:01.600]  神所拯救的不是一個人
[00:02:01.600 --> 00:02:04.200]  是一個屬神的群體
[00:02:04.200 --> 00:02:06.400]  而聖經所說的崇拜
[00:02:06.400 --> 00:02:09.600]  是在神面前一個集體的敬拜
[00:02:09.600 --> 00:02:12.600]  神是指名一同的敬拜上帝
[00:02:12.600 --> 00:02:15.400]  而聖經所說的崇拜
[00:02:15.400 --> 00:02:17.400]  同時提及弟兄姊妹之間
[00:02:17.400 --> 00:02:19.800]  有一起團契的生活
[00:02:20.400 --> 00:02:24.400]  崇拜和團契是兩件共同的事情
[00:02:24.400 --> 00:02:26.200]  也是一件的事情
[00:02:26.200 --> 00:02:28.200]  所以聖經很清楚說
[00:02:28.200 --> 00:02:33.600]  神的設計是讓教徒在群體當中成長
[00:02:33.600 --> 00:02:35.800]  也有很多時候
[00:02:35.800 --> 00:02:37.800]  你要實踐神的吩咐
[00:02:37.800 --> 00:02:40.800]  你必須在群體當中才能實踐
[00:02:40.800 --> 00:02:43.000]  聖經說到彼此相愛
[00:02:43.000 --> 00:02:44.200]  彼此建立
[00:02:44.200 --> 00:02:45.600]  彼此輔助
[00:02:45.600 --> 00:02:46.600]  我想問大家
[00:02:46.600 --> 00:02:50.000]  要彼此一個人行不行?
[00:02:50.800 --> 00:02:52.400]  一個人可不可以彼此?
[00:02:52.400 --> 00:02:54.200]  聖經清楚的
[00:02:54.200 --> 00:02:58.000]  神的心意是人在團契的關係當中
[00:02:58.000 --> 00:03:01.000]  才可以實踐祂對我們的吩咐
