
[00:00:00.000 --> 00:00:02.600]  當我們提到社關主日的時候
[00:00:02.600 --> 00:00:05.800]  大家都會體會
[00:00:05.800 --> 00:00:10.000]  我們的信仰絕對不是單單是個人的事情
[00:00:10.000 --> 00:00:13.600]  不單單是個人自己的追求敬虔
[00:00:13.600 --> 00:00:17.800]  而是關乎到整個社群的事情
[00:00:17.800 --> 00:00:20.600]  基督徒的信仰同時表現在一個
[00:00:20.600 --> 00:00:25.600]  向眾人行善的一種生命的見證上面
[00:00:25.600 --> 00:00:28.200]  因此很多基督徒當我們學習來關心社會
[00:00:28.200 --> 00:00:31.800]  關心世界 關心政治的事情上面
[00:00:31.800 --> 00:00:34.800]  我們都會留心付出自己
[00:00:34.800 --> 00:00:36.200]  但是過程裏面
[00:00:36.200 --> 00:00:38.400]  同常聖經勉勵我們要留心
[00:00:38.400 --> 00:00:44.800]  要保持正直 保持公正和良善
[00:00:44.800 --> 00:00:47.200]  大家會留意到香港的社會
[00:00:47.200 --> 00:00:50.400]  今天的爭議性的事件是越來越多
[00:00:50.400 --> 00:00:52.600]  越來越白熱化
[00:00:52.600 --> 00:00:55.400]  其實當然爭議的事情不只是今天才有
[00:00:55.400 --> 00:00:57.000]  過去也有
[00:00:57.000 --> 00:00:58.600]  但是今天爭議性的事情
[00:00:58.600 --> 00:01:02.400]  你會發覺是更加公開地表達出來
[00:01:02.400 --> 00:01:04.400]  很激烈地表達
[00:01:04.400 --> 00:01:06.200]  亦都會見到
[00:01:06.200 --> 00:01:08.800]  有些時候你會見到這些爭議
[00:01:08.800 --> 00:01:13.800]  是甚至透過一些好像敵我分明的一種方式
[00:01:13.800 --> 00:01:17.600]  來作為爭取社會認同的一種策略
[00:01:17.600 --> 00:01:20.800]  將對方描繪成一個敵人
[00:01:20.800 --> 00:01:26.400]  因此就覺得自己的立場是更加的正義
[00:01:26.400 --> 00:01:33.400]  因此讓更多人認同自己的方法或立場
[00:01:33.400 --> 00:01:35.800]  我記得有一次我在北美教會
[00:01:35.800 --> 00:01:41.200]  見到一班同工講及當地一些華人教會的現象
[00:01:41.200 --> 00:01:42.400]  當地有些華人教會
[00:01:42.400 --> 00:01:46.400]  他們都有頗多台灣來的弟兄姊妹
[00:01:46.400 --> 00:01:48.600]  他們在美國來生活
[00:01:48.600 --> 00:01:52.800]  但是當台灣有總統選舉的時候
[00:01:52.800 --> 00:01:55.800]  就發覺教會裏面出現一個情況
[00:01:55.800 --> 00:01:58.400]  有些弟兄姊妹告訴其他人知道
[00:01:58.400 --> 00:02:01.000]  我是綠營的
[00:02:01.000 --> 00:02:04.000]  他們是藍營的
[00:02:04.000 --> 00:02:08.800]  突然間發覺教會好像分了很特別的黨派
[00:02:08.800 --> 00:02:11.000]  在那個時候有一種感受
[00:02:11.000 --> 00:02:15.000]  就好像世界進入了教會
[00:02:15.000 --> 00:02:18.600]  世界那種分門別類彼此排斥的情況
[00:02:18.600 --> 00:02:22.200]  突然間好像進入了教會裏面
[00:02:22.200 --> 00:02:24.400]  當然教徒在社會上學習
[00:02:24.400 --> 00:02:26.600]  來關心其他人的時候
