
[00:00:00.000 --> 00:00:03.800]  我們今天來到聖經的哥羅西書最後一章
[00:00:03.800 --> 00:00:08.000]  亦是我們這個季度最後一次思想哥羅西書的經文
[00:00:08.000 --> 00:00:12.000]  大家翻開聖經哥羅西書第四章
[00:00:12.000 --> 00:00:15.800]  當保羅寫到哥羅西書的最後一段的時候
[00:00:15.800 --> 00:00:21.800]  用很長的篇幅講述很多他對個別弟兄姊妹的文案
[00:00:21.800 --> 00:00:23.300]  當你看到這段經文的時候
[00:00:23.300 --> 00:00:28.300]  就會看到保羅與人相處的情況
[00:00:28.300 --> 00:00:30.300]  亦體會到他的生命
[00:00:30.300 --> 00:00:34.700]  如何透過他與人的關係來表達出來
[00:00:34.700 --> 00:00:36.600]  有人說只要你去認識一個人
[00:00:36.600 --> 00:00:40.200]  他的人際關係 你就會認識他
[00:00:40.200 --> 00:00:43.500]  他如何在人生與人交往相處
[00:00:43.500 --> 00:00:46.900]  你大概知道他是一個怎樣的人
[00:00:46.900 --> 00:00:50.400]  保羅在來到他最後一段的時候
[00:00:50.400 --> 00:00:54.900]  很清楚表達出他不單掛念很多福音的工作
[00:00:54.900 --> 00:00:58.300]  他同時掛念很多弟兄姊妹
[00:00:58.300 --> 00:01:02.000]  反映出他與他們之間有很密切的關係
[00:01:02.000 --> 00:01:04.800]  當他不斷來讚賞他們的時候
[00:01:04.800 --> 00:01:10.500]  同樣讓我們發現保羅是不斷從他的弟兄姊妹當中學習
[00:01:10.500 --> 00:01:13.000]  他們的榜樣成為了他的激勵
[00:01:13.000 --> 00:01:15.700]  而他們如何來侍奉主
[00:01:15.700 --> 00:01:18.900]  上上安慰了保羅的心
[00:01:18.900 --> 00:01:20.900]  所以今天當我們看這段經文的時候
[00:01:20.900 --> 00:01:25.100]  首先我們思想我們與人的關係是怎樣的
[00:01:25.100 --> 00:01:29.000]  第二 我們求主讓我們看到很多很美好的見證
[00:01:29.000 --> 00:01:30.300]  很多的榜樣
[00:01:30.300 --> 00:01:34.700]  讓我們從他們身上有很多寶貴的學習
[00:01:34.700 --> 00:01:37.300]  我們一起思想這段經文
[00:01:37.300 --> 00:01:40.600]  在首先第四章第七節到第九節
[00:01:40.600 --> 00:01:42.400]  提到有兩個人物
[00:01:42.400 --> 00:01:44.600]  第一個是推基古
